	e_energy	sigma
	12.91785156	0.0
	12.92490066	0.0010945728
	12.93850582	0.0012511622
	12.95211098	0.0015608112
	12.96571614	0.0017194893
	12.9793213	0.0013539191
	12.99292646	0.0015142613
	13.00653161	0.0020144305
	13.02013677	0.0020747333
	13.03374193	0.0021016395
	13.04734709	0.0022785814
	13.06095225	0.0023814051
	13.07455741	0.0022064966
	13.08816257	0.002293404
	13.10176772	0.0023321819
	13.11537288	0.0022549814
	13.12897804	0.0021674456
	13.1425832	0.0023575541
	13.15618836	0.0021754933
	13.16979352	0.0023988779
	13.18339868	0.0024999152
	13.19700383	0.0025935342
	13.21060899	0.0025554511
	13.22421415	0.0027688696
	13.23781931	0.0028705995
	13.25142447	0.0032833331
	13.26502963	0.0032332615
	13.27863479	0.0028022783
	13.3058451	0.0021906972
	13.31945026	0.001833779
	13.33305542	0.0023239969
	13.34666058	0.0024709635
	13.36026574	0.0021379672
	13.3738709	0.0021400144
	13.38747605	0.00270479
	13.40108121	0.0027312834
	13.41468637	0.0024831394
	13.42829153	0.0026908306
	13.44189669	0.0026694765
	13.45550185	0.001882968
	13.46910701	0.0028590976
	13.48271216	0.0033624959
	13.49631732	0.003532804
	13.50992248	0.0036946973
	13.52352764	0.0036314746
	13.5371328	0.0043606939
	13.55073796	0.0043949941
	13.56434312	0.0045406226
	13.57794827	0.0046183537
	13.59155343	0.0044981475
	13.60515859	0.0039186232
	13.61876375	0.003955895
	13.63236891	0.0037520629
	13.64597407	0.003834293
	13.65957923	0.0037136512
	13.67318438	0.0042154469
	13.7003947	0.0048862515
	13.71399986	0.004693084
	13.75481534	0.0043831478
	13.76842049	0.0044371485
	13.78202565	0.0045121618
	13.79563081	0.0048898285
	13.80923597	0.0045799766
	13.82284113	0.0044087647
	13.83644629	0.0042373372
	13.85005145	0.0039189092
	13.8636566	0.0039070131
	13.87726176	0.0035512614
	13.89086692	0.0032616777
	13.90447208	0.0030801327
	13.91807724	0.0031025654
	13.9316824	0.0030538838
	13.94528756	0.0030266292
	13.95889272	0.0029432452
	13.97249787	0.0032692829
	13.98610303	0.0032165257
	13.99970819	0.0031801248
	14.01331335	0.0032014491
	14.02691851	0.0031930134
	14.04052367	0.0032707922
	14.05412883	0.0031532141
	14.06773398	0.003013191
	14.08133914	0.003080844
	14.0949443	0.0031939233
	14.10854946	0.0034255569
	14.12215462	0.0033110605
	14.13575978	0.0033801775
	14.14936494	0.0035487374
	14.16297009	0.0028723177
	14.17657525	0.0036515225
	14.19018041	0.0033801252
	14.20378557	0.0036261766
	14.21739073	0.0034870849
	14.23099589	0.003339777
	14.24460105	0.0032410225
	14.2582062	0.0031053723
	14.27181136	0.0031738177
	14.28541652	0.0032238651
	14.29902168	0.0032865262
	14.31262684	0.0034193538
	14.326232	0.0034873803
	14.33983716	0.0038228117
	14.35344231	0.0035819391
	14.36704747	0.0036482284
	14.38065263	0.0037139333
	14.39425779	0.0037971274
	14.40786295	0.0037736817
	14.42146811	0.0037206049
	14.43507327	0.00380418
	14.44867842	0.0036920908
	14.46228358	0.0035778909
	14.47588874	0.0034455967
	14.4894939	0.0034473102
	14.50309906	0.0032259031
	14.51670422	0.0032395107
	14.53030938	0.0034724618
	14.54391453	0.0034534154
	14.55751969	0.0032026356
	14.57112485	0.0034036035
	14.58473001	0.0032887364
	14.59833517	0.0033349262
	14.61194033	0.0033752834
	14.62554549	0.0034160086
	14.63915064	0.0034076738
	14.6527558	0.0034021916
	14.66636096	0.0033936353
	14.67996612	0.0033172874
	14.69357128	0.0033749648
	14.70717644	0.0031423139
