csdata_id	e_energy	sigma
18451	2.39070826	0.0
18452	2.39450791	0.0017147026
18453	2.40811307	0.0081920749
18454	2.42171823	0.016745657
18455	2.43532339	0.02679023
18456	2.44892855	0.037926399
18457	2.46253371	0.049880809000000005
18458	2.47613886	0.062450902999999995
18459	2.48974402	0.075482411
18460	2.50334918	0.088855375
18461	2.51695434	0.10247756
18462	2.5305595	0.11627434
18463	2.54416466	0.13018759
18464	2.55776982	0.14417068
18465	2.57137497	0.158186
18466	2.58498013	0.1722035
18467	2.59858529	0.1861967
18468	2.61219045	0.20014387
18469	2.62579561	0.21402918
18470	2.63940077	0.22783617
18471	2.65300593	0.24155036
18472	2.66661108	0.25516156
18473	2.68021624	0.26865766
18474	2.6938214	0.28202898
18475	2.70742656	0.29526714
18476	2.72103172	0.30836292
18477	2.73463688	0.32130916
18478	2.74824204	0.33409945
18479	2.76184719	0.34672552
18480	2.77545235	0.35918251
18481	2.78905751	0.37147021
18482	2.80266267	0.38358139
18483	2.81626783	0.39550807
18484	2.82987299	0.4072532
18485	2.84347815	0.41880784
18486	2.8570833	0.43017582
18487	2.87068846	0.44134948
18488	2.88429362	0.45233451
18489	2.89789878	0.46312163
18490	2.91150394	0.47371905
18491	2.9251091	0.48412136
18492	2.93871426	0.4943326
18493	2.95231941	0.5043517
18494	2.96592457	0.51417825
18495	2.97952973	0.52382044
18496	2.99313489	0.53327166
18497	3.00674005	0.54254073
18498	3.02034521	0.5516279
18499	3.03395037	0.56053451
18500	3.04755552	0.56926574
18501	3.06116068	0.57782096
18502	3.07476584	0.5862078
18503	3.088371	0.59442481
18504	3.10197616	0.60247637
18505	3.11558132	0.61036801
18506	3.12918648	0.61809685
18507	3.14279163	0.62567695
18508	3.15639679	0.63310103
18509	3.17000195	0.64036866
18510	3.18360711	0.64749763
18511	3.19721227	0.6544819
18512	3.21081743	0.66133365
18513	3.22442259	0.66803477
18514	3.23802774	0.67460747
18515	3.2516329	0.68104749
18516	3.26523806	0.68736082
18517	3.27884322	0.69354425
18518	3.29244838	0.69960325
18519	3.30605354	0.70554178
18520	3.3196587	0.71136106
18521	3.33326385	0.71706479
18522	3.34686901	0.7226492
18523	3.36047417	0.72812361
18524	3.37407933	0.7334893
18525	3.38768449	0.73874526
18526	3.40128965	0.74389287
18527	3.41489481	0.74893656
18528	3.42849997	0.75388267
18529	3.44210512	0.75872323
18530	3.45571028	0.76346667
18531	3.46931544	0.76811523
18532	3.4829206	0.7726716
18533	3.49652576	0.77713689
18534	3.51013092	0.78151567
18535	3.52373608	0.78581193
18536	3.53734123	0.79002592
18537	3.55094639	0.79417243
18538	3.56455155	0.79826876
18539	3.57815671	0.80214289
18540	3.59176187	0.80594314
18541	3.60536703	0.80974315
18542	3.61897219	0.81323886
18543	3.63257734	0.81659422
18544	3.6461825	0.81981623
18545	3.65978766	0.82290995
18546	3.67339282	0.82588046
18547	3.68699798	0.82873514
18548	3.70060314	0.83147673
18549	3.7142083	0.83411269
18550	3.72781345	0.83664568
18551	3.74141861	0.8390786
18552	3.75502377	0.84141666
18553	3.76862893	0.84366012
18554	3.78223409	0.84581426
18555	3.79583925	0.84788421
18556	3.80944441	0.84987034
18557	3.82304956	0.85177791
18558	3.83665472	0.85360722
18559	3.85025988	0.85536112
18560	3.86386504	0.85703987
18561	3.8774702	0.85865119
18562	3.89107536	0.86019304
18563	3.90468052	0.86167279
18564	3.91828567	0.86308377
18565	3.93189083	0.8644359
18566	3.94549599	0.86572926
18567	3.95910115	0.86696453
18568	3.97270631	0.86814426
18569	3.98631147	0.86926865
18570	3.99991663	0.8703429
18571	4.01352178	0.87136715
18572	4.02712694	0.87233945
18573	4.0407321	0.87326721
18574	4.05433726	0.87414815
18575	4.06794242	0.87497598
18576	4.08154758	0.8757782
18577	4.09515274	0.87652095
18578	4.10875789	0.87723395
18579	4.12236305	0.87790406
18580	4.13596821	0.87853785
18581	4.14957337	0.87913807
18582	4.16317853	0.87970102
18583	4.17678369	0.88022569
18584	4.19038885	0.88071975
18585	4.203994	0.88118144
18586	4.21759916	0.88161233
18587	4.23120432	0.88200912
18588	4.24480948	0.88237969
18589	4.25841464	0.88271873
18590	4.2720198	0.88302969
18591	4.28562496	0.88331633
18592	4.29923011	0.88357249
18593	4.31283527	0.8838026
18594	4.32644043	0.88401142
18595	4.34004559	0.88419404
18596	4.35365075	0.88434961
18597	4.36725591	0.88448421
18598	4.38086107	0.88459351
