csdata_id	e_energy	sigma
19733	3.56759747	0.0
19734	3.57815671	0.00051840438
19735	3.59176187	0.0017608067000000002
19736	3.60536703	0.0032501746999999996
19737	3.61897219	0.005073552
19738	3.63257734	0.0070995736
19739	3.6461825	0.0092867967
19740	3.65978766	0.011604168
19741	3.67339282	0.014027808000000001
19742	3.68699798	0.016538233
19743	3.70060314	0.019119411
19744	3.7142083	0.021758037
19745	3.72781345	0.024442806
19746	3.74141861	0.027164046
19747	3.75502377	0.029913517
19748	3.76862893	0.03268394
19749	3.78223409	0.035469075
19750	3.79583925	0.038263351
19751	3.80944441	0.041061963
19752	3.82304956	0.043860456
19753	3.83665472	0.04665509599999999
19754	3.85025988	0.049442524
19755	3.86386504	0.052219437
19756	3.8774702	0.054983568
19757	3.89107536	0.057731914
19758	3.90468052	0.060463043
19759	3.91828567	0.063174357
19760	3.93189083	0.065863792
19761	3.94549599	0.06853127
19762	3.95910115	0.071174538
19763	3.97270631	0.07379179
19764	3.98631147	0.076383329
19765	3.99991663	0.078947144
19766	4.01352178	0.081482393
19767	4.02712694	0.08399017
19768	4.0407321	0.086467271
19769	4.05433726	0.088915319
19770	4.06794242	0.09133178
19771	4.08154758	0.09372053300000001
19772	4.09515274	0.09607598699999999
19773	4.10875789	0.09840149599999999
19774	4.12236305	0.10069529
19775	4.13596821	0.10295902
19776	4.14957337	0.10519143
19777	4.16317853	0.10739213
19778	4.17678369	0.10956203
19779	4.19038885	0.11170154
19780	4.203994	0.11380923
19781	4.21759916	0.11588627
19782	4.23120432	0.11793402
19783	4.24480948	0.11995087
19784	4.25841464	0.12193689
19785	4.2720198	0.123894
19786	4.28562496	0.12582141
19787	4.29923011	0.12771864
19788	4.31283527	0.12958651
19789	4.32644043	0.1314259
19790	4.34004559	0.13323748
19791	4.35365075	0.13502017
19792	4.36725591	0.13677445
19793	4.38086107	0.13850059
19794	4.39446623	0.14020019
19795	4.40807138	0.14187256
19796	4.42167654	0.14351776
19797	4.4352817	0.14513724
19798	4.44888686	0.14672936
19799	4.46249202	0.14829502
19800	4.47609718	0.14983704
19801	4.48970234	0.1513526
19802	4.50330749	0.15284287
19803	4.51691265	0.15430967
19804	4.53051781	0.15575045
19805	4.54412297	0.15716793
