csdata_id	e_energy	sigma
22287	10.94845805	0.0
22288	10.95215267	0.038071237
22289	10.96575782	0.067030235
22290	10.97936298	0.078471034
22291	10.99296814	0.085461598
22292	11.0065733	0.090637669
22293	11.02017846	0.094882466
22294	11.03378362	0.098562725
22295	11.04738878	0.10170409
22296	11.06099394	0.10466988
22297	11.07459909	0.10737759
22298	11.08820425	0.10985783
22299	11.10180941	0.11213161
22300	11.11541457	0.11421604
22301	11.12901973	0.11612828
22302	11.14262489	0.11782177
22303	11.15623005	0.11942371
22304	11.1698352	0.12089665
22305	11.18344036	0.12225592
22306	11.19704552	0.12351502
22307	11.21065068	0.12468737
22308	11.22425584	0.1257835
22309	11.237861	0.12681574
22310	11.25146616	0.1277729
22311	11.26507131	0.1287048
22312	11.27867647	0.1295982
22313	11.29228163	0.13046677
22314	11.30588679	0.13130184
22315	11.31949195	0.13211955
22316	11.33309711	0.1329214
22317	11.34670227	0.13371096
22318	11.36030742	0.13449042
22319	11.37391258	0.13526253
22320	11.38751774	0.13602848
22321	11.4011229	0.13679099
22322	11.41472806	0.13751155
22323	11.42833322	0.13826701
22324	11.44193838	0.13902197
22325	11.45554353	0.13977768
22326	11.46914869	0.14053579
22327	11.48275385	0.14129852
22328	11.49635901	0.14206817
22329	11.50996417	0.14284594
22330	11.52356933	0.14363582
22331	11.53717449	0.14444239
22332	11.55077964	0.14527001
22333	11.5643848	0.1461269
22334	11.57798996	0.14702129
22335	11.59159512	0.14797355
22336	11.60520028	0.14900805
22337	11.61880544	0.15017426
22338	11.6324106	0.15143137
22339	11.64601575	0.15307012
22340	11.65962091	0.15546904
22341	11.67322607	0.15763592
22342	11.68683123	0.16008561
22343	11.70043639	0.16314205
22344	11.71404155	0.16781309
22345	11.72764671	0.17861071
22346	11.74125186	0.24619611
22347	11.75485702	0.33362576
22348	11.76846218	0.17292505
22349	11.78206734	0.16625751
22350	11.7956725	0.17230449
22351	11.80927766	0.17061302
22352	11.82288282	0.16445687
22353	11.83648797	0.16474352
22354	11.85009313	0.1652025
22355	11.86369829	0.16579612
22356	11.87730345	0.16497311
22357	11.89090861	0.16569742
22358	11.90451377	0.16863904
22359	11.91811893	0.16999859
22360	11.93172408	0.17147171
22361	11.94532924	0.17302274
22362	11.9589344	0.17463964
22363	11.97253956	0.1764112
22364	11.98614472	0.17827893
22365	11.99974988	0.18176448
22366	12.01335504	0.17737828
22367	12.0269602	0.17704563
22368	12.04056535	0.17676735
22369	12.05417051	0.17677997
22370	12.06777567	0.17711387
22371	12.08138083	0.17749375
22372	12.09498599	0.17798517
22373	12.10859115	0.17850588
22374	12.12219631	0.17905813
22375	12.13580146	0.17963333
22376	12.14940662	0.18020098
22377	12.16301178	0.18070418
22378	12.17661694	0.18119067
22379	12.1902221	0.18157563
22380	12.20382726	0.18195411
22381	12.21743242	0.18235966
22382	12.23103757	0.18277018
22383	12.24464273	0.18319472
22384	12.25824789	0.18363938
22385	12.27185305	0.18411118
22386	12.28545821	0.18462076
22387	12.29906337	0.1851963
22388	12.31266853	0.1858849
22389	12.32627368	0.18676421
22390	12.33987884	0.18758121
22391	12.353484	0.18686836
22392	12.36708916	0.18593941
22393	12.38069432	0.18609952
22394	12.39429948	0.18657006
22395	12.40790464	0.18703702
22396	12.42150979	0.18746388
22397	12.43511495	0.1878728
22398	12.44872011	0.1882695
22399	12.46232527	0.18865484
22400	12.47593043	0.18903142
22401	12.48953559	0.18939939
22402	12.50314075	0.18975676
22403	12.5167459	0.19010311
22404	12.53035106	0.19043471
22405	12.54395622	0.19074938
22406	12.55756138	0.19104047
22407	12.57116654	0.19130008
22408	12.5847717	0.19151757
22409	12.59837686	0.19167379
22410	12.61198201	0.19173801
22411	12.62558717	0.19165765
22412	12.63919233	0.19133274
22413	12.65279749	0.19057688
22414	12.66640265	0.18925485
22415	12.68000781	0.19110922
22416	12.69361297	0.20108264
22417	12.70721812	0.20162269
22418	12.72082328	0.20073028
22419	12.73442844	0.20016931
22420	12.7480336	0.19999218
22421	12.76163876	0.19981477
22422	12.77524392	0.19957987
22423	12.78884908	0.19828127
22424	12.80245423	0.19877682
22425	12.81605939	0.19517086
22426	12.82966455	0.19314063
22427	12.84326971	0.19140157
22428	12.85687487	0.1911607
22429	12.87048003	0.19453116
22430	12.88408519	0.19917193
22431	12.89769034	0.20140237
22432	12.9112955	0.20319733
22433	12.92490066	0.20334966
22434	12.93850582	0.20496749
22435	12.95211098	0.20484277
22436	12.96571614	0.2059382
22437	12.9793213	0.20691428
22438	12.99292646	0.20697532
22439	13.00653161	0.20642772
22440	13.02013677	0.20530155
22441	13.03374193	0.20437698
22442	13.04734709	0.20458907
22443	13.06095225	0.20514185
22444	13.07455741	0.20576303
22445	13.08816257	0.20615388
22446	13.10176772	0.20661999
22447	13.11537288	0.20706281
22448	13.12897804	0.20741732
22449	13.1425832	0.20776062
22450	13.15618836	0.20819873
22451	13.16979352	0.2085405
22452	13.18339868	0.20894029
22453	13.19700383	0.20891597
22454	13.21060899	0.20935717
22455	13.22421415	0.20997861
22456	13.23781931	0.21015827
22457	13.25142447	0.21032569
22458	13.26502963	0.21104794
22459	13.27863479	0.21112393
22460	13.3058451	0.21065616
22461	13.31945026	0.21155994
22462	13.33305542	0.21198967
22463	13.34666058	0.21249742
22464	13.36026574	0.21304911
22465	13.3738709	0.21336598
22466	13.38747605	0.21389789
22467	13.40108121	0.2145454
22468	13.41468637	0.2144874
22469	13.42829153	0.21516974
22470	13.44189669	0.21569707
22471	13.45550185	0.21714774
22472	13.46910701	0.21690397
22473	13.48271216	0.21723364
22474	13.49631732	0.2176496
22475	13.50992248	0.21804307
22476	13.52352764	0.21849565
22477	13.5371328	0.21898903
22478	13.55073796	0.21946975
22479	13.56434312	0.22011155
22480	13.57794827	0.2209813
22481	13.59155343	0.22130188
22482	13.60515859	0.22281094
22483	13.61876375	0.22172924
22484	13.63236891	0.22095968
22485	13.64597407	0.22022989
22486	13.65957923	0.21968985
22487	13.67318438	0.21890941
22488	13.7003947	0.22102751
22489	13.71399986	0.22180109
22490	13.75481534	0.22356456
22491	13.76842049	0.22327969
22492	13.78202565	0.22357468
22493	13.79563081	0.22342601
22494	13.80923597	0.22395786
22495	13.82284113	0.22508358
22496	13.83644629	0.22571506
22497	13.85005145	0.2264125
22498	13.8636566	0.22699706
22499	13.87726176	0.22760994
22500	13.89086692	0.22848475
22501	13.90447208	0.2288988
22502	13.91807724	0.22895462
