	e_energy	sigma
	13.02126328	0.0
	13.03374193	0.070929931
	13.04734709	0.08119819
	13.06095225	0.075747138
	13.07455741	0.07116226
	13.08816257	0.07575123
	13.10176772	0.079600199
	13.11537288	0.10038774
	13.12897804	0.10326115
	13.1425832	0.10361672
	13.15618836	0.10365284
	13.16979352	0.1049204
	13.18339868	0.10595008
	13.19700383	0.10760751
	13.21060899	0.11523617
	13.22421415	0.1173121
	13.23781931	0.11883863
	13.25142447	0.12390208
	13.26502963	0.12183019
	13.27863479	0.12453219
	13.3058451	0.12277153
	13.31945026	0.12758074
	13.33305542	0.13200483
	13.34666058	0.15223171
	13.36026574	0.14312875
	13.3738709	0.14858679
	13.38747605	0.1497099
	13.40108121	0.14891628
	13.41468637	0.14776705
	13.42829153	0.14365501
	13.44189669	0.13699699
	13.45550185	0.13333177
	13.46910701	0.13555942
	13.48271216	0.13521278
	13.49631732	0.1366365
	13.50992248	0.13567825
	13.52352764	0.13973604
	13.5371328	0.13907695
	13.55073796	0.13433658
	13.56434312	0.12608797
	13.57794827	0.12356027
	13.59155343	0.12183366
	13.60515859	0.12293559
	13.61876375	0.113171
	13.63236891	0.096258455
	13.64597407	0.075650919
	13.65957923	0.082303747
	13.67318438	0.09337055
	13.7003947	0.093220694
	13.71399986	0.088771334
	13.75481534	0.072755887
	13.76842049	0.076926175
	13.78202565	0.083858696
	13.79563081	0.094677144
	13.80923597	0.091996741
	13.82284113	0.093551442
	13.83644629	0.096283928
	13.85005145	0.096995716
	13.8636566	0.098830079
	13.87726176	0.10165859
	13.89086692	0.097763438
	13.90447208	0.10971109
	13.91807724	0.11213133
	13.9316824	0.10726099
	13.94528756	0.10189484
	13.95889272	0.090320535
	13.97249787	0.092122664
	13.98610303	0.094885041
	13.99970819	0.093116117
	14.01331335	0.09553368
	14.02691851	0.097303945
	14.04052367	0.095941676
	14.05412883	0.10024211
	14.06773398	0.093460826
	14.08133914	0.088677133
	14.0949443	0.089924799
	14.10854946	0.094916777
	14.12215462	0.091883248
	14.13575978	0.088189621
	14.14936494	0.086891523
	14.16297009	0.079798558
	14.17657525	0.078089656
	14.19018041	0.074758895
	14.20378557	0.07050451
	14.21739073	0.070485507
	14.23099589	0.067755858
	14.24460105	0.065086453
	14.2582062	0.062111916
	14.27181136	0.059035446
	14.28541652	0.057721865
	14.29902168	0.052967529
	14.31262684	0.049660297
	14.326232	0.047572407
	14.33983716	0.043968
	14.35344231	0.04607707
	14.36704747	0.043581061
	14.38065263	0.046944411
	14.39425779	0.049482337
	14.40786295	0.047347979
	14.42146811	0.051206925
	14.43507327	0.055429668
	14.44867842	0.061872767
	14.46228358	0.063802036
	14.47588874	0.064528748
	14.4894939	0.067196437
	14.50309906	0.068827838
	14.51670422	0.071913049
	14.53030938	0.067165751
	14.54391453	0.065585641
	14.55751969	0.067181862
	14.57112485	0.069557434
	14.58473001	0.071334185
	14.59833517	0.07076451
	14.61194033	0.070632768
	14.62554549	0.071166267
	14.63915064	0.07190374
	14.6527558	0.071118494
	14.66636096	0.073533472
	14.67996612	0.071887529
	14.69357128	0.070699133
	14.70717644	0.070063014
	14.7207816	0.068979393
	14.73438675	0.068453356
	14.74799191	0.065589178
	14.76159707	0.063166335
	14.77520223	0.064014834
	14.78880739	0.060362397
	14.80241255	0.062059557
	14.81601771	0.060625512
	14.82962286	0.056016213
	14.84322802	0.052738329
	14.85683318	0.052466454
	14.87043834	0.05079744
	14.8840435	0.048829669
	14.89764866	0.047550552
	14.91125382	0.047099973
	14.92485898	0.046673777
	14.93846413	0.045352182
	14.95206929	0.045694929
	14.96567445	0.044780248
	14.97927961	0.043921867
	14.99288477	0.042591953
	15.00648993	0.041130153
	15.02009509	0.040644542
	15.03370024	0.040163123
	15.0473054	0.039477318
	15.06091056	0.038454555
	15.07451572	0.037573529
	15.08812088	0.037146393
	15.10172604	0.03766438
	15.1153312	0.037522895
	15.12893635	0.038171291
	15.14254151	0.037771718
	15.15614667	0.035996473
	15.16975183	0.036049151
	15.18335699	0.035667656
	15.19696215	0.035471953
	15.21056731	0.03499433
	15.22417246	0.035002773
	15.23777762	0.035020273
	15.25138278	0.03508161
	15.26498794	0.035761093
	15.2785931	0.036975221
	15.29219826	0.037929631
	15.30580342	0.038227034
	15.31940857	0.039677864
	15.33301373	0.041440625
	15.34661889	0.039949971
	15.36022405	0.04060204
	15.37382921	0.042010246
	15.38743437	0.042115247
	15.40103953	0.042734396
	15.41464468	0.042103581
	15.42824984	0.044043712
	15.441855	0.043145733
	15.45546016	0.041812797
	15.46906532	0.040877678
	15.48267048	0.040297437
	15.50988079	0.038871028
	15.52348595	0.037772447
	15.53709111	0.036556754
	15.55069627	0.037940609
	15.56430143	0.036953726
	15.57790659	0.036778032
	15.59151175	0.036049187
	15.6051169	0.035910028
	15.61872206	0.035362702
	15.63232722	0.035734459
	15.64593238	0.035735155
	15.65953754	0.034714565
	15.6731427	0.035907253
	15.68674786	0.03565209
	15.70035301	0.03601842
	15.71395817	0.035306499
	15.72756333	0.036383679
	15.74116849	0.034741744
	15.75477365	0.033452894
	15.76837881	0.033583603
	15.78198397	0.033027883
	15.79558912	0.031603781
	15.80919428	0.031976056
	15.82279944	0.03156067
	15.8364046	0.031731636
	15.85000976	0.031888421
	15.86361492	0.030742958
	15.87722008	0.029600095
	15.89082524	0.029562388
	15.90443039	0.028706097
	15.91803555	0.027574984
	15.93164071	0.027852108
	15.94524587	0.027662075
	15.95885103	0.028179319
	15.97245619	0.026789155
	15.98606135	0.027121543
	15.9996665	0.026870039
	16.01327166	0.025603329
	16.02687682	0.026049655
	16.04048198	0.025871138
	16.05408714	0.026352079
	16.0676923	0.026060382
	16.08129746	0.026075064
	16.09490261	0.02592759
	16.10850777	0.025986473
	16.12211293	0.02501665
	16.13571809	0.024037137
	16.14932325	0.023348436
	16.16292841	0.023201587
	16.17653357	0.023091781
	16.19013872	0.022629516
	16.20374388	0.022757196
	16.21734904	0.023364536
	16.2309542	0.024192575
	16.24455936	0.023186477
	16.25816452	0.023369399
	16.27176968	0.023947577
	16.28537483	0.02413469
	16.29897999	0.0240316
	16.31258515	0.023300254
	16.32619031	0.023658193
	16.33979547	0.023864262
	16.35340063	0.023333312
	16.36700579	0.023321127
	16.3942161	0.022970911
	16.40782126	0.022487927
	16.42142642	0.022599498
	16.43503158	0.022487702
	16.44863674	0.022416518
	16.4622419	0.022070711
	16.47584705	0.022367818
	16.48945221	0.021891245
	16.50305737	0.021969161
	16.51666253	0.022170307
	16.53026769	0.021795621
	16.54387285	0.021648585
	16.55747801	0.022626837
	16.57108316	0.021494715
	16.58468832	0.02096408
