csdata_id	e_energy	sigma
91684	2.037937209999999	0.0
91685	2.0449264599999992	0.048485821
91686	2.0585316099999993	0.1308835
91687	2.07213677	0.15045537
91688	2.0857419299999993	0.15582328
91689	2.09934709	0.15248057
91690	2.1129522499999993	0.15315126
91691	2.12655741	0.14827652
91692	2.1401625699999993	0.1678269
91693	2.1537677199999994	0.15986271
91694	2.1673728800000003	0.16193858
91695	2.1809780399999994	0.16300657
91696	2.1945832000000003	0.16418141
91697	2.2081883599999994	0.1650824
91698	2.2217935200000003	0.17241999
91699	2.2353986799999994	0.17652839
91700	2.2490038299999995	0.17989845
91701	2.2626089900000004	0.18535622
91702	2.2762141499999995	0.19210268
91703	2.2898193100000004	0.19466731
91704	2.3034244699999995	0.1945609
91705	2.3170296300000004	0.19710366
91706	2.3306347899999995	0.18987605
91707	2.3578451000000005	0.19457059
91708	2.3714502599999996	0.19173607
91709	2.3850554200000005	0.19043514
91710	2.3986605799999996	0.18698519
91711	2.4122657399999987	0.1942859
91712	2.4258708999999996	0.21034059
91713	2.4394760499999997	0.23063048
91714	2.453081209999999	0.2266256
91715	2.4666863699999997	0.22759535
91716	2.480291529999999	0.22794624
91717	2.4938966899999997	0.22351693
91718	2.507501849999999	0.21773369
91719	2.5211070099999997	0.21843483
91720	2.5347121599999998	0.22442409
91721	2.548317319999999	0.22499833
91722	2.56192248	0.22740439
91723	2.575527639999999	0.22158058
91724	2.5891328	0.23428218
91725	2.602737959999999	0.23818032
91726	2.61634312	0.22620778
91727	2.62994827	0.21135568
91728	2.643553429999999	0.20436593
91729	2.65715859	0.20409647
91730	2.670763749999999	0.17742878
91731	2.68436891	0.14418215
91732	2.697974069999999	0.14260601
91733	2.71157923	0.16188448
91734	2.72518438	0.17991208
91735	2.7523947	0.18962756
91736	2.765999859999999	0.17251789
91737	2.80681534	0.15069115
91738	2.82042049	0.15265048
91739	2.834025649999999	0.15982763
91740	2.84763081	0.16867581
91741	2.861235969999999	0.17342463
91742	2.87484113	0.1777913
91743	2.888446289999999	0.17305491
91744	2.90205145	0.16478977
91745	2.9156566	0.15551834
91746	2.9292617599999993	0.16231039
91747	2.94286692	0.1625091
91748	2.9564720799999993	0.15142531
91749	2.97007724	0.15550023
91750	2.9836823999999993	0.15277333
91751	2.99728756	0.15027055
91752	3.0108927199999993	0.16299351
91753	3.0244978699999994	0.17006381
91754	3.0381030300000003	0.17012577
91755	3.0517081899999994	0.15742164
91756	3.0653133500000003	0.1537395
91757	3.0789185099999994	0.15989296
91758	3.0925236700000003	0.16181786
91759	3.1061288299999994	0.15765183
91760	3.1197339799999995	0.15702865
91761	3.1333391400000004	0.15741409
91762	3.1469442999999995	0.15370665
91763	3.1605494600000004	0.14918907
91764	3.1741546199999995	0.14791753
91765	3.1877597800000004	0.15125669
91766	3.2013649399999995	0.15248035
91767	3.2149700899999996	0.14612344
91768	3.2285752500000005	0.14216668
91769	3.2421804099999996	0.14131321
91770	3.2557855700000005	0.13804469
91771	3.2693907299999996	0.1288605
91772	3.2829958900000005	0.12610054
91773	3.2966010499999996	0.12061412
91774	3.3102061999999997	0.11255953
91775	3.3238113599999988	0.11223636
91776	3.3374165199999997	0.10674701
91777	3.351021679999999	0.10417136
91778	3.3646268399999997	0.10181402
91779	3.378231999999999	0.10134758
91780	3.3918371599999997	0.10384367
91781	3.4054423099999998	0.10740055
91782	3.419047469999999	0.10070461
91783	3.4326526299999998	0.10475135
91784	3.446257789999999	0.10888557
91785	3.4598629499999998	0.10823827
91786	3.473468109999999	0.10981476
91787	3.48707327	0.11304417
91788	3.50067842	0.12082816
91789	3.514283579999999	0.12384415
91790	3.52788874	0.12203571
91791	3.541493899999999	0.12349534
91792	3.55509906	0.12435964
91793	3.568704219999999	0.1266655
91794	3.58230938	0.12859299
91795	3.59591453	0.12940453
91796	3.609519689999999	0.12877676
91797	3.62312485	0.12979393
91798	3.636730009999999	0.132399
91799	3.65033517	0.13283697
91800	3.663940329999999	0.13200599
91801	3.67754549	0.13170762
91802	3.69115064	0.1339762
91803	3.704755799999999	0.13397845
91804	3.71836096	0.1341972
91805	3.731966119999999	0.12960985
91806	3.74557128	0.1285413
91807	3.759176439999999	0.12987946
91808	3.7727816	0.12737703
91809	3.78638675	0.12524201
91810	3.7999919099999993	0.12220717
91811	3.81359707	0.11939335
91812	3.8272022299999993	0.11905158
91813	3.84080739	0.11698433
91814	3.8544125499999993	0.11442811
91815	3.86801771	0.10962007
91816	3.8816228600000002	0.1068251
91817	3.8952280199999993	0.10846936
91818	3.9088331800000002	0.10900206
91819	3.9224383399999994	0.09981155400000001
91820	3.9360435000000003	0.094916612
91821	3.9496486599999994	0.093819279
91822	3.9632538200000003	0.093154295
91823	3.9768589799999994	0.09186776699999999
91824	3.9904641299999994	0.091384464
91825	4.00406929	0.09121591300000001
91826	4.0176744499999995	0.09058193099999999
91827	4.03127961	0.091709913
91828	4.0448847699999995	0.0900932
91829	4.05848993	0.08924825900000001
91830	4.0720950899999995	0.09037207900000001
91831	4.0857002399999995	0.088224105
91832	4.0993054	0.08689555300000001
91833	4.1129105599999995	0.087305798
91834	4.12651572	0.085886141
91835	4.14012088	0.085049045
91836	4.1537260400000005	0.08436266
91837	4.1673312	0.08251407200000001
91838	4.18093635	0.083492666
91839	4.194541509999999	0.086321328
91840	4.20814667	0.08644815300000001
91841	4.221751829999999	0.08480984400000001
91842	4.23535699	0.082961907
91843	4.248962149999999	0.082449944
91844	4.26256731	0.08249952099999999
91845	4.27617246	0.081192389
91846	4.289777619999999	0.081660353
91847	4.30338278	0.08050584400000001
91848	4.316987939999999	0.081215864
91849	4.3305931	0.082541858
91850	4.344198259999999	0.080259815
91851	4.35780342	0.081560675
91852	4.37140857	0.083635794
91853	4.385013729999999	0.086526168
91854	4.39861889	0.084325864
91855	4.412224049999999	0.084963219
91856	4.42582921	0.087737532
91857	4.439434369999999	0.08787917699999999
91858	4.45303953	0.08991046800000001
91859	4.46664468	0.08965135800000001
91860	4.480249839999999	0.08926228
91861	4.493855	0.08880384300000001
91862	4.507460159999999	0.08745298300000001
91863	4.52106532	0.086315283
91864	4.534670479999999	0.083048487
91865	4.56188079	0.08396927800000001
91866	4.575485949999999	0.081706608
91867	4.58909111	0.081270655
91868	4.602696269999999	0.08109715099999999
91869	4.61630143	0.07887025
91870	4.629906589999999	0.082478259
91871	4.64351175	0.081882197
91872	4.6571169	0.081258127
91873	4.670722059999999	0.081743231
91874	4.68432722	0.081031092
91875	4.697932379999999	0.079190455
91876	4.71153754	0.07768670400000001
91877	4.725142699999999	0.07989207400000001
91878	4.73874786	0.079481014
91879	4.75235301	0.078985077
91880	4.765958169999999	0.079065392
91881	4.77956333	0.077536495
91882	4.793168489999999	0.07710902
91883	4.80677365	0.074917873
91884	4.820378809999999	0.073582686
91885	4.83398397	0.072155867
91886	4.84758912	0.070862313
91887	4.861194279999999	0.06980866
91888	4.87479944	0.069521951
91889	4.888404599999999	0.067755088
91890	4.90200976	0.067155037
91891	4.915614919999999	0.067564615
91892	4.92922008	0.066990515
91893	4.9428252399999995	0.06688789099999999
91894	4.9564303899999995	0.066277462
91895	4.97003555	0.065335886
91896	4.9836407099999995	0.064469339
91897	4.99724587	0.063178055
91898	5.0108510299999995	0.064438562
91899	5.02445619	0.06528924
91900	5.0380613499999995	0.065833243
91901	5.0516665	0.062394723
91902	5.0652716600000005	0.061346845
91903	5.078876819999998	0.060382238
91904	5.092481979999999	0.060757847000000004
91905	5.10608714	0.060906675
91906	5.1196923000000005	0.06103206
91907	5.133297459999998	0.060471247
91908	5.146902609999998	0.060431689000000004
91909	5.160507769999999	0.060121771
91910	5.17411293	0.059620462
91911	5.187718090000001	0.058352500999999994
91912	5.201323249999998	0.057879871
91913	5.214928409999999	0.05783887
91914	5.22853357	0.058504803
91915	5.24213872	0.057922521
91916	5.255743880000001	0.05758186
91917	5.269349039999998	0.056607675
91918	5.282954199999999	0.057059969
91919	5.29655936	0.058518534000000004
91920	5.310164520000001	0.058691075
91921	5.323769679999998	0.059108015
91922	5.337374829999998	0.061570489000000006
91923	5.350979989999999	0.062300925
91924	5.36458515	0.06271626599999999
91925	5.378190310000001	0.062597636
91926	5.391795469999998	0.062490044
91927	5.405400629999999	0.061633419
91928	5.41900579	0.059019327
91929	5.446216100000001	0.057323988
91930	5.459821259999998	0.056565493
91931	5.473426419999999	0.055207607
91932	5.48703158	0.053311622999999995
91933	5.500636740000001	0.051765722
91934	5.514241899999998	0.051333005
91935	5.527847049999998	0.049757402
91936	5.541452209999999	0.048555195999999995
91937	5.55505737	0.049676027000000005
91938	5.568662530000001	0.049670898
91939	5.582267689999998	0.048925061
91940	5.595872849999999	0.049437557
91941	5.60947801	0.047938455
91942	5.62308316	0.047679668
91943	5.636688320000001	0.048451087999999996
91944	5.650293479999998	0.048371139
91945	5.663898639999999	0.047432687
91946	5.6775038	0.046500743
91947	5.691108960000001	0.047755862
