csdata_id	e_energy	sigma
91180	2.03546461	0.0
91181	2.0449264599999992	0.27234817
91182	2.0585316099999993	0.59975743
91183	2.07213677	0.48871632
91184	2.0857419299999993	0.48815642
91185	2.09934709	0.5083232
91186	2.1129522499999993	0.55347696
91187	2.12655741	0.57823847
91188	2.1401625699999993	0.56395828
91189	2.1537677199999994	0.5511809
91190	2.1673728800000003	0.55033211
91191	2.1809780399999994	0.55751173
91192	2.1945832000000003	0.56487744
91193	2.2081883599999994	0.5725408
91194	2.2217935200000003	0.56999758
91195	2.2353986799999994	0.5806455
91196	2.2490038299999995	0.58131037
91197	2.2626089900000004	0.59162793
91198	2.2762141499999995	0.6040729
91199	2.2898193100000004	0.61565227
91200	2.3034244699999995	0.6349301
91201	2.3170296300000004	0.6310469
91202	2.3306347899999995	0.6233594
91203	2.3578451000000005	0.61250198
91204	2.3714502599999996	0.6183911
91205	2.3850554200000005	0.63033804
91206	2.3986605799999996	0.64262085
91207	2.4122657399999987	0.66778518
91208	2.4258708999999996	0.67433092
91209	2.4394760499999997	0.68458456
91210	2.453081209999999	0.68157265
91211	2.4666863699999997	0.69070973
91212	2.480291529999999	0.7076774
91213	2.4938966899999997	0.71890823
91214	2.507501849999999	0.71431614
91215	2.5211070099999997	0.72514239
91216	2.5347121599999998	0.7297958
91217	2.548317319999999	0.73584903
91218	2.56192248	0.75160093
91219	2.575527639999999	0.7585591
91220	2.5891328	0.77329694
91221	2.602737959999999	0.78540046
91222	2.61634312	0.7875592
91223	2.62994827	0.78917684
91224	2.643553429999999	0.80694008
91225	2.65715859	0.81094207
91226	2.670763749999999	0.80743688
91227	2.68436891	0.78145506
91228	2.697974069999999	0.74245547
91229	2.71157923	0.72212295
91230	2.72518438	0.72215263
91231	2.7523947	0.72613347
91232	2.765999859999999	0.67985321
91233	2.80681534	0.55770956
91234	2.82042049	0.56672089
91235	2.834025649999999	0.61722145
91236	2.84763081	0.67875353
91237	2.861235969999999	0.70324582
91238	2.87484113	0.70805723
91239	2.888446289999999	0.71393663
91240	2.90205145	0.71173532
91241	2.9156566	0.72003143
91242	2.9292617599999993	0.7384434
91243	2.94286692	0.74306137
91244	2.9564720799999993	0.74697907
91245	2.97007724	0.75193781
91246	2.9836823999999993	0.73716697
91247	2.99728756	0.74495897
91248	3.0108927199999993	0.75247853
91249	3.0244978699999994	0.74896918
91250	3.0381030300000003	0.74717443
91251	3.0517081899999994	0.74004015
91252	3.0653133500000003	0.73974174
91253	3.0789185099999994	0.73101919
91254	3.0925236700000003	0.74508622
91255	3.1061288299999994	0.7581646
91256	3.1197339799999995	0.75379785
91257	3.1333391400000004	0.75293275
91258	3.1469442999999995	0.76264839
91259	3.1605494600000004	0.78063344
91260	3.1741546199999995	0.81029763
91261	3.1877597800000004	0.8218515
91262	3.2013649399999995	0.82112435
91263	3.2149700899999996	0.81756728
91264	3.2285752500000005	0.81053978
91265	3.2421804099999996	0.81206238
91266	3.2557855700000005	0.82374638
91267	3.2693907299999996	0.82510412
91268	3.2829958900000005	0.81418728
91269	3.2966010499999996	0.82258098
91270	3.3102061999999997	0.82753131
91271	3.3238113599999988	0.82616465
91272	3.3374165199999997	0.81610947
91273	3.351021679999999	0.81306999
91274	3.3646268399999997	0.80621025
91275	3.378231999999999	0.79610078
91276	3.3918371599999997	0.78590296
91277	3.4054423099999998	0.79789293
91278	3.419047469999999	0.80048227
91279	3.4326526299999998	0.78396561
91280	3.446257789999999	0.77135167
91281	3.4598629499999998	0.76608762
91282	3.473468109999999	0.75866194
91283	3.48707327	0.75190603
91284	3.50067842	0.76806443
91285	3.514283579999999	0.79156019
91286	3.52788874	0.79533606
91287	3.541493899999999	0.79737558
91288	3.55509906	0.80358473
91289	3.568704219999999	0.80322037
91290	3.58230938	0.81458192
91291	3.59591453	0.82716142
91292	3.609519689999999	0.82555464
91293	3.62312485	0.82295467
91294	3.636730009999999	0.84049654
91295	3.65033517	0.84981866
91296	3.663940329999999	0.85507586
91297	3.67754549	0.85150831
91298	3.69115064	0.8611326
91299	3.704755799999999	0.84733282
91300	3.71836096	0.86538685
91301	3.731966119999999	0.86165742
91302	3.74557128	0.86099048
91303	3.759176439999999	0.8607125
91304	3.7727816	0.86309728
91305	3.78638675	0.86442227
91306	3.7999919099999993	0.86405763
91307	3.81359707	0.8682346
91308	3.8272022299999993	0.86592557
91309	3.84080739	0.85535511
91310	3.8544125499999993	0.86143907
91311	3.86801771	0.85999315
91312	3.8816228600000002	0.85906459
91313	3.8952280199999993	0.85992934
91314	3.9088331800000002	0.85514792
91315	3.9224383399999994	0.86015009
91316	3.9360435000000003	0.85683161
91317	3.9496486599999994	0.85959735
91318	3.9632538200000003	0.85163609
91319	3.9768589799999994	0.86666528
91320	3.9904641299999994	0.85679985
91321	4.00406929	0.85735357
91322	4.0176744499999995	0.85326275
91323	4.03127961	0.85214399
91324	4.0448847699999995	0.85437317
91325	4.05848993	0.85682644
91326	4.0720950899999995	0.86024462
91327	4.0857002399999995	0.86128965
91328	4.0993054	0.85885757
91329	4.1129105599999995	0.85723717
91330	4.12651572	0.86002539
91331	4.14012088	0.85809883
91332	4.1537260400000005	0.85046739
91333	4.1673312	0.85922285
91334	4.18093635	0.86166862
91335	4.194541509999999	0.86616826
91336	4.20814667	0.85636445
91337	4.221751829999999	0.83725022
91338	4.23535699	0.8440208
91339	4.248962149999999	0.86287128
91340	4.26256731	0.86231974
91341	4.27617246	0.85963804
91342	4.289777619999999	0.85976872
91343	4.30338278	0.86750145
91344	4.316987939999999	0.86228448
91345	4.3305931	0.8617068
91346	4.344198259999999	0.86149857
91347	4.35780342	0.86499501
91348	4.37140857	0.85409831
91349	4.385013729999999	0.86226844
91350	4.39861889	0.86853328
91351	4.412224049999999	0.86594351
91352	4.42582921	0.86606252
91353	4.439434369999999	0.87167232
91354	4.45303953	0.87831464
91355	4.46664468	0.88205851
91356	4.480249839999999	0.88384207
91357	4.493855	0.89226724
91358	4.507460159999999	0.89627262
91359	4.52106532	0.89808531
91360	4.534670479999999	0.90198933
91361	4.56188079	0.90268987
91362	4.575485949999999	0.90304799
91363	4.58909111	0.89760592
91364	4.602696269999999	0.89316359
91365	4.61630143	0.89485446
91366	4.629906589999999	0.91379787
91367	4.64351175	0.91606559
91368	4.6571169	0.90691139
91369	4.670722059999999	0.89656555
91370	4.68432722	0.89311342
91371	4.697932379999999	0.8958574
91372	4.71153754	0.89416347
91373	4.725142699999999	0.89228728
91374	4.73874786	0.89682044
91375	4.75235301	0.90047157
91376	4.765958169999999	0.90074921
91377	4.77956333	0.8942788
91378	4.793168489999999	0.89945843
91379	4.80677365	0.89893107
91380	4.820378809999999	0.90223102
91381	4.83398397	0.90107701
91382	4.84758912	0.89647586
91383	4.861194279999999	0.89126014
91384	4.87479944	0.89193814
91385	4.888404599999999	0.89135455
91386	4.90200976	0.89009221
91387	4.915614919999999	0.88963029
91388	4.92922008	0.88441564
91389	4.9428252399999995	0.87328155
91390	4.9564303899999995	0.87605131
91391	4.97003555	0.87598895
91392	4.9836407099999995	0.87780367
91393	4.99724587	0.87406608
91394	5.0108510299999995	0.87488101
91395	5.02445619	0.87648496
91396	5.0380613499999995	0.88151776
91397	5.0516665	0.87586809
91398	5.0652716600000005	0.87950093
91399	5.078876819999998	0.88149176
91400	5.092481979999999	0.8947055
91401	5.10608714	0.9349297
91402	5.1196923000000005	0.90815218
91403	5.133297459999998	0.88784557
91404	5.146902609999998	0.88041074
91405	5.160507769999999	0.87818342
91406	5.17411293	0.8777318
91407	5.187718090000001	0.87589002
91408	5.201323249999998	0.87705384
91409	5.214928409999999	0.87918509
91410	5.22853357	0.87700688
91411	5.24213872	0.88512533
91412	5.255743880000001	0.87870387
91413	5.269349039999998	0.88086067
91414	5.282954199999999	0.87455975
91415	5.29655936	0.86998207
91416	5.310164520000001	0.86778795
91417	5.323769679999998	0.8644766
91418	5.337374829999998	0.86415185
91419	5.350979989999999	0.86510301
91420	5.36458515	0.85822895
91421	5.378190310000001	0.87636612
91422	5.391795469999998	0.87787257
91423	5.405400629999999	0.87588323
91424	5.41900579	0.883171
91425	5.446216100000001	0.88330989
91426	5.459821259999998	0.88187947
91427	5.473426419999999	0.8765186
91428	5.48703158	0.88063011
91429	5.500636740000001	0.88266491
91430	5.514241899999998	0.88236626
91431	5.527847049999998	0.88223561
91432	5.541452209999999	0.88445266
91433	5.55505737	0.8850209
91434	5.568662530000001	0.88491723
91435	5.582267689999998	0.89031751
91436	5.595872849999999	0.88749108
91437	5.60947801	0.88980058
91438	5.62308316	0.89604337
91439	5.636688320000001	0.89226405
91440	5.650293479999998	0.88792067
91441	5.663898639999999	0.88868514
91442	5.6775038	0.88574082
91443	5.691108960000001	0.88190664
91444	5.7047141199999984	0.87941812
91445	5.731924429999999	0.88263134
91446	5.74552959	0.87606697
91447	5.759134750000001	0.87751238
91448	5.7727399099999985	0.87607926
91449	5.786345069999999	0.87314619
91450	5.79995023	0.87371393
91451	5.81355538	0.87360829
91452	5.827160540000001	0.86729539
91453	5.840765699999999	0.86827169
91454	5.8543708599999995	0.87081586
91455	5.86797602	0.86940196
91456	5.881581180000001	0.86620568
91457	5.895186339999999	0.85919415
91458	5.9087914999999995	0.85909676
91459	5.92239665	0.86109698
91460	5.9360018100000005	0.8662763
91461	5.949606969999998	0.86445735
91462	5.963212129999999	0.86397568
91463	5.97681729	0.86259
91464	5.9904224500000005	0.86322742
91465	6.004027609999998	0.86831879
91466	6.017632759999998	0.86754747
91467	6.031237919999999	0.872388
91468	6.04484308	0.87082623
91469	6.058448240000001	0.86252468
91470	6.072053399999998	0.86149136
91471	6.085658559999999	0.85903165
91472	6.09926372	0.85727099
91473	6.11286887	0.86217968
91474	6.126474030000001	0.86275385
91475	6.140079189999998	0.86351957
91476	6.153684349999999	0.86806933
91477	6.16728951	0.85239903
91478	6.180894670000001	0.85087818
91479	6.194499829999998	0.85698438
91480	6.208104979999998	0.85684657
91481	6.221710139999999	0.86006953
91482	6.2353153	0.85860095
91483	6.248920460000001	0.85958234
91484	6.262525619999998	0.85619716
91485	6.276130779999999	0.85661108
91486	6.28973594	0.85715171
91487	6.30334109	0.83297019
91488	6.316946250000001	0.84099413
91489	6.330551409999998	0.84193758
91490	6.344156569999999	0.83910322
91491	6.35776173	0.83785158
91492	6.371366890000001	0.83878962
91493	6.384972049999998	0.84552269
91494	6.398577199999998	0.85227454
91495	6.412182359999999	0.8505207
91496	6.42578752	0.85180745
91497	6.439392680000001	0.85802364
91498	6.452997839999998	0.84497901
91499	6.466602999999999	0.84987589
91500	6.48020816	0.84953586
91501	6.49381331	0.85396588
91502	6.507418470000001	0.85124768
91503	6.521023629999998	0.85306742
91504	6.534628789999999	0.85325388
91505	6.54823395	0.84985411
91506	6.561839110000001	0.84340492
91507	6.575444269999998	0.84346278
91508	6.5890494199999985	0.8408742
91509	6.602654579999999	0.8611067
91510	6.61625974	0.84126095
91511	6.629864900000001	0.8399437
91512	6.6434700599999985	0.83813587
91513	6.657075219999999	0.83884592
91514	6.67068038	0.83702751
91515	6.68428553	0.8356249
91516	6.697890690000001	0.83007597
91517	6.711495849999999	0.82689769
91518	6.7251010099999995	0.87240582
91519	6.73870617	0.83042766
91520	6.752311330000001	0.83675546
91521	6.765916489999999	0.84116744
91522	6.779521639999999	0.84308366
91523	6.7931268	0.84586876
91524	6.8067319600000005	0.84624138
91525	6.820337120000001	0.84417881
91526	6.833942279999999	0.84956204
91527	6.84754744	0.84880874
91528	6.8611526000000005	0.84817519
91529	6.874757759999998	0.84577246
91530	6.888362909999998	0.84235007
91531	6.901968069999999	0.84484817
91532	6.91557323	0.8466202
91533	6.929178390000001	0.84497945
91534	6.942783549999998	0.84532778
91535	6.956388709999999	0.84507663
91536	6.96999387	0.84495645
91537	6.98359902	0.84283801
91538	6.997204180000001	0.84208548
91539	7.010809339999998	0.84246419
