	e_energy	sigma
	12.02654306	0.0
	12.0269602	0.45069392
	12.04056535	0.57735883
	12.05417051	0.61226667
	12.06777567	0.63581242
	12.08138083	0.67131075
	12.09498599	0.70988144
	12.10859115	0.74334314
	12.12219631	0.83598395
	12.13580146	0.9982996
	12.14940662	0.89443871
	12.16301178	0.91054902
	12.17661694	0.94478747
	12.1902221	0.97526213
	12.20382726	1.0047045
	12.21743242	1.0351414
	12.23103757	1.0593799
	12.24464273	1.0807934
	12.25824789	1.0977838
	12.27185305	1.1112634
	12.28545821	1.1218161
	12.29906337	1.1301829
	12.31266853	1.1407172
	12.32627368	1.1469795
	12.33987884	1.1539225
	12.353484	1.1402187
	12.36708916	1.0828435
	12.38069432	1.0769414
	12.39429948	1.1021248
	12.40790464	1.0988788
	12.42150979	1.088759
	12.43511495	1.0790713
	12.44872011	1.0704657
	12.46232527	1.0615992
	12.47593043	1.05321
	12.48953559	1.0446391
	12.50314075	1.0362885
	12.5167459	1.0281117
	12.53035106	1.0201452
	12.54395622	1.0124216
	12.55756138	1.0051568
	12.57116654	0.99809947
	12.5847717	0.99147403
	12.59837686	0.98539239
	12.61198201	0.98012236
	12.62558717	0.97595651
	12.63919233	0.97364992
	12.65279749	0.97529488
	12.66640265	0.9857022
	12.68000781	1.0007378
	12.69361297	0.94862568
	12.70721812	0.92269224
	12.72082328	0.91669322
	12.73442844	0.91423479
	12.7480336	0.91310206
	12.76163876	0.91350238
	12.77524392	0.91663485
	12.78884908	0.92571117
	12.80245423	0.92637124
	12.81605939	0.93240462
	12.82966455	1.2342526
	12.84326971	1.2885788
	12.85687487	1.2745233
	12.87048003	1.3399274
	12.88408519	1.3382016
	12.89769034	1.2293397
	12.9112955	1.1100078
	12.92490066	1.0767275
	12.93850582	1.0257286
	12.95211098	1.0139049
	12.96571614	1.0317654
	12.9793213	1.0009365
	12.99292646	0.85808592
	13.00653161	0.78589104
	13.02013677	0.8301093
	13.03374193	0.8361742
	13.04734709	0.85928782
	13.06095225	0.87286131
	13.07455741	0.82526043
	13.08816257	0.77081521
	13.10176772	0.75147745
	13.11537288	0.73938027
	13.12897804	0.73251504
	13.1425832	0.72443474
	13.15618836	0.71635257
	13.16979352	0.70847307
	13.18339868	0.70204389
	13.19700383	0.69941976
	13.21060899	0.69380675
	13.22421415	0.67919482
	13.23781931	0.6728355
	13.25142447	0.65654747
	13.26502963	0.64810567
	13.27863479	0.62030908
	13.3058451	0.59972114
	13.31945026	0.60953611
	13.33305542	0.62084512
	13.34666058	0.62233939
	13.36026574	0.63938225
	13.3738709	0.66918233
	13.38747605	0.65872871
	13.40108121	0.64527923
	13.41468637	0.63401829
	13.42829153	0.61870363
	13.44189669	0.61194809
	13.45550185	0.60557678
	13.46910701	0.59655766
	13.48271216	0.58806682
	13.49631732	0.58092124
	13.50992248	0.57573235
	13.52352764	0.56708747
	13.5371328	0.56152088
	13.55073796	0.52771026
	13.56434312	0.46490798
	13.57794827	0.44504702
	13.59155343	0.44107406
	13.60515859	0.43462026
	13.61876375	0.43627507
	13.63236891	0.46839596
	13.64597407	0.49631389
	13.65957923	0.5043025
	13.67318438	0.49119751
	13.7003947	0.44730107
	13.71399986	0.4519881
	13.75481534	0.45229071
	13.76842049	0.45307471
	13.78202565	0.43611349
	13.79563081	0.42681185
	13.80923597	0.42538126
	13.82284113	0.42375942
	13.83644629	0.41646152
	13.85005145	0.41541958
	13.8636566	0.40932854
	13.87726176	0.39904417
	13.89086692	0.37565829
	13.90447208	0.38151966
