	e_energy	sigma
	12.14526195	0.0
	12.14940662	0.18710172
	12.16301178	0.22920342
	12.17661694	0.24868023
	12.1902221	0.27020574
	12.20382726	0.28926087
	12.21743242	0.30620453
	12.23103757	0.32724888
	12.24464273	0.36859229
	12.25824789	0.39621291
	12.27185305	0.42365182
	12.28545821	0.44962852
	12.29906337	0.47343846
	12.31266853	0.49509685
	12.32627368	0.51647434
	12.33987884	0.54196278
	12.353484	0.55707845
	12.36708916	0.53120083
	12.38069432	0.55130769
	12.39429948	0.51732398
	12.40790464	0.53878915
	12.42150979	0.54849455
	12.43511495	0.55412688
	12.44872011	0.55577089
	12.46232527	0.5572122
	12.47593043	0.557437
	12.48953559	0.55658244
	12.50314075	0.55489296
	12.5167459	0.55247429
	12.53035106	0.54942666
	12.54395622	0.54583263
	12.55756138	0.54188176
	12.57116654	0.53740213
	12.5847717	0.53254707
	12.59837686	0.52735984
	12.61198201	0.52187151
	12.62558717	0.51625857
	12.63919233	0.51090817
	12.65279749	0.50855437
	12.66640265	0.52291894
	12.68000781	0.62293187
	12.69361297	0.67259567
	12.70721812	0.60059107
	12.72082328	0.56404833
	12.73442844	0.54550072
	12.7480336	0.53462418
	12.76163876	0.52762289
	12.77524392	0.52284578
	12.78884908	0.51926512
	12.80245423	0.51573468
	12.81605939	0.51124444
	12.82966455	0.5418714
	12.84326971	0.61660935
	12.85687487	0.59995754
	12.87048003	0.66912085
	12.88408519	0.70770654
	12.89769034	0.65124309
	12.9112955	0.54488681
	12.92490066	0.52579379
	12.93850582	0.49544839
	12.95211098	0.47759532
	12.96571614	0.47558022
	12.9793213	0.47866961
	12.99292646	0.47692079
	13.00653161	0.47585238
	13.02013677	0.40915629
	13.03374193	0.38520425
	13.04734709	0.40264552
	13.06095225	0.40884505
	13.07455741	0.40010793
	13.08816257	0.39639297
	13.10176772	0.37299492
	13.11537288	0.35748587
	13.12897804	0.35145668
	13.1425832	0.34847858
	13.15618836	0.34581201
	13.16979352	0.34389486
	13.18339868	0.34221564
	13.19700383	0.33991453
	13.21060899	0.33922029
	13.22421415	0.33797992
	13.23781931	0.33659175
	13.25142447	0.32760525
	13.26502963	0.32013721
	13.27863479	0.30853709
	13.3058451	0.30468562
	13.31945026	0.30319761
	13.33305542	0.29969495
	13.34666058	0.29441236
	13.36026574	0.30126594
	13.3738709	0.30113004
	13.38747605	0.29781507
	13.40108121	0.2950173
	13.41468637	0.29646814
	13.42829153	0.28489874
	13.44189669	0.28701117
	13.45550185	0.2799688
	13.46910701	0.27751331
	13.48271216	0.27257495
	13.49631732	0.26743207
	13.50992248	0.25927957
	13.52352764	0.24856411
	13.5371328	0.24675006
	13.55073796	0.24271912
	13.56434312	0.23960646
	13.57794827	0.23568885
	13.59155343	0.23523899
	13.60515859	0.23274783
	13.61876375	0.22713448
	13.63236891	0.22082229
	13.64597407	0.23261011
	13.65957923	0.25243521
	13.67318438	0.25330481
	13.7003947	0.23470052
	13.71399986	0.22962906
	13.75481534	0.24615312
	13.76842049	0.22508074
	13.78202565	0.21464034
	13.79563081	0.21704555
	13.80923597	0.21243682
	13.82284113	0.20942816
	13.83644629	0.21043448
	13.85005145	0.21103869
	13.8636566	0.20445483
	13.87726176	0.20103772
	13.89086692	0.19692181
	13.90447208	0.18919216
	13.91807724	0.18077574
	13.9316824	0.18479189
	13.94528756	0.18492487
	13.95889272	0.17100229
	13.97249787	0.17393079
	13.98610303	0.17613852
	13.99970819	0.17387225
	14.01331335	0.17149067
	14.02691851	0.17392823
	14.04052367	0.17439116
	14.05412883	0.17186054
	14.06773398	0.16231955
	14.08133914	0.16106593
	14.0949443	0.15951431
	14.10854946	0.15585197
	14.12215462	0.15094097
	14.13575978	0.15006447
	14.14936494	0.14709664
	14.16297009	0.14385228
	14.17657525	0.14037497
	14.19018041	0.13925976
	14.20378557	0.13985836
	14.21739073	0.13431255
	14.23099589	0.13201954
	14.24460105	0.13383544
	14.2582062	0.1360372
	14.27181136	0.13499207
	14.28541652	0.13560107
	14.29902168	0.13525061
	14.31262684	0.13451866
	14.326232	0.13202475
	14.33983716	0.13007937
	14.35344231	0.13021382
	14.36704747	0.13340179
	14.38065263	0.13147941
	14.39425779	0.13066276
	14.40786295	0.13246589
	14.42146811	0.13032154
	14.43507327	0.12846743
	14.44867842	0.1244684
	14.46228358	0.1236805
	14.47588874	0.12297188
	14.4894939	0.12050758
	14.50309906	0.11835595
	14.51670422	0.1169675
	14.53030938	0.11546789
	14.54391453	0.11585623
	14.55751969	0.11848906
	14.57112485	0.1148883
	14.58473001	0.11629597
	14.59833517	0.11272382
	14.61194033	0.10940943
	14.62554549	0.10656754
	14.63915064	0.10801809
	14.6527558	0.10634709
	14.66636096	0.10580012
	14.67996612	0.1060908
	14.69357128	0.10275015
	14.70717644	0.10294246
	14.7207816	0.10146702
	14.73438675	0.10074296
	14.74799191	0.099054557
	14.76159707	0.096580545
	14.77520223	0.093653415
	14.78880739	0.091509493
	14.80241255	0.099111569
	14.81601771	0.097951906
	14.82962286	0.09668782
	14.84322802	0.094498684
	14.85683318	0.095632588
	14.87043834	0.093620671
	14.8840435	0.091874479
	14.89764866	0.091235801
	14.91125382	0.090913666
	14.92485898	0.090145667
	14.93846413	0.088590736
	14.95206929	0.088341589
	14.96567445	0.08745602
	14.97927961	0.086682436
	14.99288477	0.085737692
	15.00648993	0.084117451
	15.02009509	0.082194907
	15.03370024	0.082208523
	15.0473054	0.082717043
	15.06091056	0.081258526
	15.07451572	0.08067595
	15.08812088	0.080292963
	15.10172604	0.078807103
	15.1153312	0.07760941
	15.12893635	0.078093709
	15.14254151	0.076497888
	15.15614667	0.073868016
	15.16975183	0.072859313
	15.18335699	0.071574793
	15.19696215	0.070574121
	15.21056731	0.070624243
	15.22417246	0.069207865
	15.23777762	0.069117355
	15.25138278	0.069406597
	15.26498794	0.069834507
	15.2785931	0.069771149
	15.29219826	0.069918946
	15.30580342	0.070155447
	15.31940857	0.07048598
	15.33301373	0.071072162
	15.34661889	0.070299239
	15.36022405	0.070921082
	15.37382921	0.070517165
	15.38743437	0.070883888
	15.40103953	0.070263351
	15.41464468	0.068966547
	15.42824984	0.068289305
	15.441855	0.06691705
	15.45546016	0.065863499
	15.46906532	0.066413111
	15.48267048	0.065755401
	15.50988079	0.063239928
	15.52348595	0.061624254
	15.53709111	0.061390476
	15.55069627	0.061257596
	15.56430143	0.06090905
	15.57790659	0.061488695
	15.59151175	0.060555076
	15.6051169	0.060750469
	15.61872206	0.059527118
	15.63232722	0.059400835
	15.64593238	0.058373306
	15.65953754	0.058673137
	15.6731427	0.057959905
	15.68674786	0.057510504
	15.70035301	0.057652153
	15.71395817	0.056793864
	15.72756333	0.056206745
	15.74116849	0.056331103
	15.75477365	0.056255918
	15.76837881	0.055688364
	15.78198397	0.055153197
	15.79558912	0.053924289
	15.80919428	0.054066191
	15.82279944	0.05258782
	15.8364046	0.052096769
	15.85000976	0.05188019
	15.86361492	0.05013777
	15.87722008	0.049981942
	15.89082524	0.049771983
	15.90443039	0.050319171
	15.91803555	0.049808005
	15.93164071	0.05003629
	15.94524587	0.049839095
	15.95885103	0.049195962
	15.97245619	0.049303652
	15.98606135	0.049662772
	15.9996665	0.049605905
	16.01327166	0.048936283
	16.02687682	0.048937558
	16.04048198	0.048649082
	16.05408714	0.047863173
	16.0676923	0.047944365
	16.08129746	0.048339532
	16.09490261	0.04867162
	16.10850777	0.048383114
	16.12211293	0.049081986
	16.13571809	0.048901357
	16.14932325	0.048290237
	16.16292841	0.048372212
	16.17653357	0.048557499
	16.19013872	0.048369565
	16.20374388	0.048049
	16.21734904	0.047917587
	16.2309542	0.048467547
	16.24455936	0.04811298
	16.25816452	0.047478285
	16.27176968	0.046563506
	16.28537483	0.04602671
	16.29897999	0.045581529
	16.31258515	0.045536518
	16.32619031	0.044656309
	16.33979547	0.044301154
	16.35340063	0.043546494
	16.36700579	0.041409873
	16.3942161	0.038670306
	16.40782126	0.038165272
	16.42142642	0.036849627
	16.43503158	0.036057802
	16.44863674	0.034858893
	16.4622419	0.034081695
	16.47584705	0.034509344
	16.48945221	0.033977155
	16.50305737	0.033938475
	16.51666253	0.033678041
	16.53026769	0.034179911
	16.54387285	0.032825781
	16.55747801	0.033350506
	16.57108316	0.034087442
	16.58468832	0.033099071
	16.59829348	0.033032239
	16.61189864	0.033568699
	16.6255038	0.033452399
	16.63910896	0.033300688
	16.65271412	0.032786421
	16.67992443	0.032533513
	16.69352959	0.031651691
	16.70713475	0.031490192
	16.72073991	0.029714532
	16.73434507	0.030573666
	16.74795023	0.02928811
	16.76155538	0.029616566
	16.77516054	0.028719152
	16.7887657	0.028775092
	16.80237086	0.029159571
	16.81597602	0.028558799
	16.82958118	0.028261147
	16.84318634	0.027952012
	16.8567915	0.027768658
	16.87039665	0.028406497
	16.88400181	0.028106557
	16.89760697	0.028089742
	16.91121213	0.027745433
	16.92481729	0.027597066
	16.93842245	0.027053448
	16.95202761	0.02682963
	16.96563276	0.026904243
	16.97923792	0.02622463
	16.99284308	0.026903493
	17.00644824	0.026481191
	17.0200534	0.026072219
	17.03365856	0.026385211
	17.04726372	0.026377879
	17.06086887	0.026101959
	17.07447403	0.025435679
	17.08807919	0.025195817
	17.10168435	0.025064445
	17.11528951	0.024890787
	17.12889467	0.024879184
	17.14249983	0.02519555
	17.15610498	0.024253448
	17.16971014	0.024132718
	17.1833153	0.024179445
	17.19692046	0.02396132
	17.21052562	0.024226263
	17.22413078	0.023091555
	17.23773594	0.023182685
	17.25134109	0.02275636
	17.26494625	0.022455395
	17.27855141	0.022564443
	17.29215657	0.022771389
	17.30576173	0.022885177
	17.31936689	0.023122981
	17.33297205	0.02383992
	17.3465772	0.026157075
	17.36018236	0.032219636
	17.37378752	0.05601293
	17.38739268	0.082552838
	17.40099784	0.052570661
	17.414603	0.036772232
	17.42820816	0.030937909
	17.44181331	0.027481862
	17.45541847	0.02563468
	17.46902363	0.024627914
	17.48262879	0.024202871
	17.49623395	0.023685489
	17.50983911	0.023445978
	17.52344427	0.023931757
	17.53704942	0.02138263
	17.55065458	0.02109632
	17.56425974	0.02086786
	17.5778649	0.020563412
	17.59147006	0.020541792
	17.60507522	0.020452045
	17.61868038	0.020418941
	17.63228553	0.020543787
	17.64589069	0.020158608
	17.65949585	0.020519608
	17.67310101	0.020425091
	17.68670617	0.020343095
	17.70031133	0.020268691
	17.71391649	0.020048433
	17.72752164	0.019875508
	17.7411268	0.019705253
	17.75473196	0.019719593
	17.76833712	0.020129355
	17.78194228	0.019741041
	17.79554744	0.019515892
	17.8091526	0.019522196
	17.82275776	0.019393597
	17.83636291	0.019187776
	17.84996807	0.019025769
	17.86357323	0.018948618
	17.87717839	0.018744903
	17.89078355	0.018512519
	17.90438871	0.018572808
	17.91799387	0.018508778
	17.93159902	0.01831504
	17.94520418	0.018304145
	17.95880934	0.018338742
	17.9724145	0.018310081
	17.98601966	0.018135721
	17.99962482	0.017932836
	18.01322998	0.017884102
	18.02683513	0.017943628
	18.04044029	0.017904339
	18.05404545	0.017959277
	18.06765061	0.017705336
	18.08125577	0.017662486
	18.09486093	0.017584924
	18.10846609	0.01751339
	18.12207124	0.01747898
	18.1356764	0.017309011
	18.14928156	0.017298744
	18.16288672	0.017174978
	18.17649188	0.017088707
	18.19009704	0.016859888
	18.2037022	0.016696225
	18.21730735	0.016543277
	18.23091251	0.016541813
	18.24451767	0.016932331
	18.25812283	0.016918656
	18.27172799	0.017367251
	18.28533315	0.017182458
	18.29893831	0.016878082
	18.31254346	0.016269503
	18.32614862	0.01610165
	18.33975378	0.015804226
	18.35335894	0.016088088
	18.3669641	0.01593219
	18.38056926	0.015987089
	18.39417442	0.015720619
	18.40777957	0.015789143
	18.42138473	0.015731305
	18.43498989	0.015474742
	18.44859505	0.015200099
	18.46220021	0.01498496
	18.47580537	0.014916266
	18.48941053	0.01498315
	18.50301568	0.014681047
	18.51662084	0.014558238
	18.530226	0.014488805
	18.54383116	0.014213875
	18.55743632	0.014366349
	18.57104148	0.014151137
	18.58464664	0.01399567
	18.59825179	0.014148055
	18.61185695	0.013962856
	18.62546211	0.013839939
	18.63906727	0.013817966
