csdata_id	e_energy	sigma
86294	0.9225212799999998	0.0
86295	0.929303449999999	1.3182243999999999
86296	0.9429086099999999	1.3320436000000002
86297	0.956513769999999	1.4006764999999999
86298	0.9701189299999999	1.5040988000000002
86299	0.98372408	1.623134
86300	0.9973292399999991	1.7550523999999998
86301	1.0109344	1.8991582999999999
86302	1.0245395599999991	1.8615939
86303	1.03814472	2.0000019
86304	1.0517498799999991	2.1531817
86305	1.06535504	2.310323
86306	1.0789601999999991	2.5068507
86307	1.0925653499999992	2.6915102
86308	1.10617051	2.7110024
86309	1.1197756699999992	2.8931077000000003
86310	1.1333808300000001	3.0928102
86311	1.1469859899999992	3.3233527
86312	1.1605911500000001	3.5242199999999997
86313	1.1741963099999992	3.6930313999999997
86314	1.1878014599999993	3.6710135999999998
86315	1.2014066200000002	3.7680907999999995
86316	1.2150117799999993	3.9344400999999998
86317	1.2286169400000002	3.8524703000000002
86318	1.2422220999999993	3.9257424
86319	1.2558272600000002	3.9798127999999995
86320	1.2694324199999993	4.0165823
86321	1.2830375699999994	4.0391883
86322	1.2966427300000003	4.0521223
86323	1.3102478899999994	4.0467631
86324	1.3238530500000003	4.0324325
86325	1.3374582099999994	4.0114671
86326	1.3510633700000003	3.9859491
86327	1.3646685299999994	3.9578879000000002
86328	1.3782736799999995	3.8604089
86329	1.3918788400000004	3.8261071
86330	1.4054839999999995	3.8017657999999996
86331	1.4190891600000004	3.8743363
86332	1.4326943199999995	3.7741443
86333	1.4462994800000004	3.6410857000000005
86334	1.4599046399999995	3.620503
86335	1.4735097899999996	3.6253239
86336	1.4871149499999987	3.6150417999999997
86337	1.5007201099999996	3.6037114000000003
86338	1.5143252699999987	3.5936172999999996
86339	1.5279304299999996	3.5849989
86340	1.5415355899999987	3.5782915999999996
86341	1.5551407499999996	3.5735997999999998
86342	1.5687458999999997	3.5654382000000004
86343	1.5823510599999988	3.5646748999999995
86344	1.5959562199999997	3.5657681000000006
86345	1.6095613799999988	3.5685802000000004
86346	1.6231665399999997	3.5730934999999997
86347	1.6367716999999988	3.579244
86348	1.6503768599999997	3.5870641000000005
86349	1.6639820099999998	3.5966677000000002
86350	1.677587169999999	3.6083461000000003
86351	1.6911923299999998	3.6260538999999996
86352	1.704797489999999	3.6433845000000002
86353	1.7184026499999998	3.6587223
86354	1.732007809999999	3.6095357000000003
86355	1.7456129699999998	3.5159992
86356	1.7592181199999999	3.5573295
86357	1.772823279999999	3.5969615
86358	1.78642844	3.6271912000000004
86359	1.800033599999999	3.6570451
