csdata_id	e_energy	sigma
86880	1.05452397	0.0
86881	1.06535504	0.25745813
86882	1.0789601999999991	0.3843903
86883	1.0925653499999992	0.4189241
86884	1.10617051	0.48130774
86885	1.1197756699999992	0.53332305
86886	1.1333808300000001	0.60957645
86887	1.1469859899999992	0.74062788
86888	1.1605911500000001	0.86499737
86889	1.1741963099999992	1.0021585
86890	1.1878014599999993	1.1453744
86891	1.2014066200000002	1.2851325
86892	1.2150117799999993	1.4228257
86893	1.2286169400000002	1.5678169
86894	1.2422220999999993	1.555511
86895	1.2558272600000002	1.6655623
86896	1.2694324199999993	1.7648601000000002
86897	1.2830375699999994	1.8543422999999999
86898	1.2966427300000003	1.9423071
86899	1.3102478899999994	2.0140731
86900	1.3238530500000003	2.0791679
86901	1.3374582099999994	2.1392672000000004
86902	1.3510633700000003	2.195913
86903	1.3646685299999994	2.0632946
86904	1.3782736799999995	2.1027536000000002
86905	1.3918788400000004	2.1633292
86906	1.4054839999999995	2.2365421000000003
86907	1.4190891600000004	2.2637686
86908	1.4326943199999995	2.2823175
86909	1.4462994800000004	2.3090166
86910	1.4599046399999995	2.3408404
86911	1.4735097899999996	2.3862132000000003
86912	1.4871149499999987	2.4251111
86913	1.5007201099999996	2.465694
86914	1.5143252699999987	2.3301277000000002
86915	1.5279304299999996	2.3600272
86916	1.5415355899999987	2.3911967
86917	1.5551407499999996	2.4235831
86918	1.5687458999999997	2.4571547000000002
86919	1.5823510599999988	2.4918857999999995
86920	1.5959562199999997	2.5277281000000005
86921	1.6095613799999988	2.5646399
86922	1.6231665399999997	2.6025975
86923	1.6367716999999988	2.6416154
86924	1.6503768599999997	2.6817207
86925	1.6639820099999998	2.7231445
86926	1.677587169999999	2.766223
86927	1.6911923299999998	2.817221
86928	1.704797489999999	2.8675579
86929	1.7184026499999998	2.9257258999999998
86930	1.732007809999999	2.9682619999999997
86931	1.7456129699999998	2.9284982999999998
86932	1.7592181199999999	2.9555390999999998
86933	1.772823279999999	3.0002662
86934	1.78642844	3.0430761000000004
86935	1.800033599999999	3.0797415
86936	1.81363876	3.1046894
86937	1.827243919999999	3.0833877999999997
86938	1.84084908	3.3224311
86939	1.85445423	3.4082029
86940	1.868059389999999	3.607986
86941	1.88166455	3.4997941
86942	1.895269709999999	3.510607
86943	1.90887487	3.4260062000000007
86944	1.9224800299999991	3.267709
86945	1.93608519	3.1705487
86946	1.94969034	3.1704684
86947	1.9632954999999992	3.2294848999999997
86948	1.97690066	3.2943557
86949	1.9905058199999992	3.3650137000000004
86950	2.00411098	3.4485261
86951	2.017716139999999	3.6393069
86952	2.0313213	3.574438
86953	2.0449264599999992	3.3879281000000003
86954	2.0585316099999993	3.0224557
86955	2.07213677	2.9687066000000004
86956	2.0857419299999993	2.938164
86957	2.09934709	2.972225
86958	2.1129522499999993	3.0002138
86959	2.12655741	3.0964308
86960	2.1401625699999993	3.1483117999999997
86961	2.1537677199999994	3.2031257
86962	2.1673728800000003	3.2360959
86963	2.1809780399999994	3.2566811
86964	2.1945832000000003	3.2741574
86965	2.2081883599999994	3.2818616
86966	2.2217935200000003	3.3398638999999997
86967	2.2353986799999994	3.3533443
86968	2.2490038299999995	3.3647661
86969	2.2626089900000004	3.3682107000000006
86970	2.2762141499999995	3.3780507000000006
86971	2.2898193100000004	3.3869663999999995
86972	2.3034244699999995	3.3945165
86973	2.3170296300000004	3.3976943
86974	2.3306347899999995	3.3901662000000004
86975	2.3578451000000005	3.4297237000000003
86976	2.3714502599999996	3.4439002
86977	2.3850554200000005	3.4211288
86978	2.3986605799999996	3.4143738
86979	2.4122657399999987	3.3948538
86980	2.4258708999999996	3.3911648999999997
86981	2.4394760499999997	3.3857654000000004
86982	2.453081209999999	3.386614
86983	2.4666863699999997	3.4045568999999998
86984	2.480291529999999	3.3832489999999997
86985	2.4938966899999997	3.408493
86986	2.507501849999999	3.411608
86987	2.5211070099999997	3.4208341
86988	2.5347121599999998	3.4147301
86989	2.548317319999999	3.4135132000000006
86990	2.56192248	3.4224598
86991	2.575527639999999	3.4263190000000003
86992	2.5891328	3.4320129999999995
86993	2.602737959999999	3.4332796
86994	2.61634312	3.4355247
86995	2.62994827	3.4538053
86996	2.643553429999999	3.4515542999999997
86997	2.65715859	3.462143
86998	2.670763749999999	3.492124
86999	2.68436891	3.5001689
87000	2.697974069999999	3.5664912
87001	2.71157923	3.6603022000000003
87002	2.72518438	3.7333559999999997
87003	2.7523947	3.6225787000000005
87004	2.765999859999999	3.6651055
87005	2.80681534	3.6611095000000002
87006	2.82042049	3.6114699999999997
87007	2.834025649999999	3.5864615
87008	2.84763081	3.6037021
87009	2.861235969999999	3.6376468999999996
87010	2.87484113	3.6606157
87011	2.888446289999999	3.6783026
87012	2.90205145	3.6828993999999997
87013	2.9156566	3.6926921999999998
87014	2.9292617599999993	3.6896382000000005
87015	2.94286692	3.6882116999999996
87016	2.9564720799999993	3.7030809000000002
87017	2.97007724	3.6857332
87018	2.9836823999999993	3.6669232000000003
87019	2.99728756	3.6899132000000003
87020	3.0108927199999993	3.657708
87021	3.0244978699999994	3.6352367999999995
87022	3.0381030300000003	3.5850456
87023	3.0517081899999994	3.6607011
87024	3.0653133500000003	3.6653142999999995
87025	3.0789185099999994	3.6656972000000003
87026	3.0925236700000003	3.6571198
87027	3.1061288299999994	3.6665216
87028	3.1197339799999995	3.6612958
87029	3.1333391400000004	3.6655316
87030	3.1469442999999995	3.6340835
87031	3.1605494600000004	3.6483129
87032	3.1741546199999995	3.6612187999999994
87033	3.1877597800000004	3.6634652
87034	3.2013649399999995	3.6608328
87035	3.2149700899999996	3.6640233999999996
87036	3.2285752500000005	3.6680989
87037	3.2421804099999996	3.6724525000000003
87038	3.2557855700000005	3.6834191
87039	3.2693907299999996	3.7018983
87040	3.2829958900000005	3.7261054
87041	3.2966010499999996	3.7118403
87042	3.3102061999999997	3.7145086000000003
87043	3.3238113599999988	3.7248528
87044	3.3374165199999997	3.7304042
87045	3.351021679999999	3.7239678
87046	3.3646268399999997	3.7269769999999998
87047	3.378231999999999	3.7328945
87048	3.3918371599999997	3.732913
87049	3.4054423099999998	3.7256468000000003
87050	3.419047469999999	3.7097589999999996
87051	3.4326526299999998	3.7149127999999996
87052	3.446257789999999	3.7221461000000002
87053	3.4598629499999998	3.7357142999999997
87054	3.473468109999999	3.7656182
87055	3.48707327	3.7781659
87056	3.50067842	3.8126226
87057	3.514283579999999	3.8029827000000003
87058	3.52788874	3.8038202000000005
87059	3.541493899999999	3.7971137
87060	3.55509906	3.7934519
87061	3.568704219999999	3.7797837999999997
87062	3.58230938	3.7866226999999997
87063	3.59591453	3.7842364
87064	3.609519689999999	3.7861239
87065	3.62312485	3.7901108
87066	3.636730009999999	3.795864
87067	3.65033517	3.7818494
87068	3.663940329999999	3.7810998999999996
87069	3.67754549	3.7813327000000005
87070	3.69115064	3.7808258
87071	3.704755799999999	3.7855434999999997
87072	3.71836096	3.7899065999999997
87073	3.731966119999999	3.7957861000000004
87074	3.74557128	3.7946014999999997
87075	3.759176439999999	3.7946480000000005
87076	3.7727816	3.8010697
87077	3.78638675	3.8030877
87078	3.7999919099999993	3.8038089
87079	3.81359707	3.8001782
87080	3.8272022299999993	3.8066964
87081	3.84080739	3.8060487000000003
87082	3.8544125499999993	3.8054351000000004
87083	3.86801771	3.7948519999999997
87084	3.8816228600000002	3.7865427000000005
87085	3.8952280199999993	3.7924175000000004
87086	3.9088331800000002	3.7867587
87087	3.9224383399999994	3.7949089999999996
87088	3.9360435000000003	3.7905881
87089	3.9496486599999994	3.7958741999999996
87090	3.9632538200000003	3.7977098
87091	3.9768589799999994	3.7953303
87092	3.9904641299999994	3.8048906000000002
87093	4.00406929	3.8181001000000006
87094	4.0176744499999995	3.8097102
87095	4.03127961	3.8223559999999996
87096	4.0448847699999995	3.8285911
87097	4.05848993	3.8355540999999995
87098	4.0720950899999995	3.8345377
87099	4.0857002399999995	3.8373372000000003
87100	4.0993054	3.8419741000000003
87101	4.1129105599999995	3.8428705
87102	4.12651572	3.8447508999999997
87103	4.14012088	3.8461947
87104	4.1537260400000005	3.8490137000000004
87105	4.1673312	3.8569729
87106	4.18093635	3.8663758
87107	4.194541509999999	3.8677249
87108	4.20814667	3.8741958
87109	4.221751829999999	3.8653781000000005
87110	4.23535699	3.8468473
87111	4.248962149999999	3.8627119
87112	4.26256731	3.8741653
87113	4.27617246	3.8787955000000003
87114	4.289777619999999	3.8822913999999997
87115	4.30338278	3.8837368999999997
87116	4.316987939999999	3.8941449999999995
87117	4.3305931	3.8982835
87118	4.344198259999999	3.8998456
87119	4.35780342	3.8891229
87120	4.37140857	3.8982953
87121	4.385013729999999	3.8973875
87122	4.39861889	3.8960519999999996
87123	4.412224049999999	3.8959018
87124	4.42582921	3.8954959000000002
87125	4.439434369999999	3.8946016
87126	4.45303953	3.8934547
87127	4.46664468	3.8930406000000004
87128	4.480249839999999	3.8943169
