	e_energy	sigma
	13.31994413	0.0
	13.33305542	0.0085794061
	13.34666058	0.015795393
	13.36026574	0.026382271
	13.3738709	0.03731004
	13.38747605	0.049546721
	13.40108121	0.062248351
	13.41468637	0.067564192
	13.42829153	0.076557511
	13.44189669	0.083349553
	13.45550185	0.085011868
	13.46910701	0.094111773
	13.48271216	0.10160413
	13.49631732	0.10607923
	13.50992248	0.091659875
	13.52352764	0.096740883
	13.5371328	0.10352703
	13.55073796	0.10865684
	13.56434312	0.1112979
	13.57794827	0.11016532
	13.59155343	0.11488285
	13.60515859	0.12350035
	13.61876375	0.11964032
	13.63236891	0.12516082
	13.64597407	0.11754686
	13.65957923	0.098574115
	13.67318438	0.074618291
	13.7003947	0.12743469
	13.71399986	0.1153353
	13.75481534	0.068444601
	13.76842049	0.063584483
	13.78202565	0.065390785
	13.79563081	0.062034035
	13.80923597	0.063511841
	13.82284113	0.065364289
	13.83644629	0.066105339
	13.85005145	0.068875576
	13.8636566	0.065817912
	13.87726176	0.06667965
	13.89086692	0.070551885
	13.90447208	0.064373127
	13.91807724	0.061571314
	13.9316824	0.082568304
	13.94528756	0.081788156
	13.95889272	0.091194425
	13.97249787	0.089328225
	13.98610303	0.10277365
	13.99970819	0.096675182
	14.01331335	0.09889244
	14.02691851	0.10296086
	14.04052367	0.10297827
	14.05412883	0.11085004
	14.06773398	0.11959566
	14.08133914	0.12050243
	14.0949443	0.13105936
	14.10854946	0.12426015
	14.12215462	0.1242736
	14.13575978	0.12712432
	14.14936494	0.12875982
	14.16297009	0.12831882
	14.17657525	0.12823053
	14.19018041	0.1291709
	14.20378557	0.12577941
	14.21739073	0.11473213
	14.23099589	0.10857509
	14.24460105	0.1102393
	14.2582062	0.10752003
	14.27181136	0.10287023
	14.28541652	0.10078849
	14.29902168	0.10675378
	14.31262684	0.10448701
	14.326232	0.10247762
	14.33983716	0.096485849
	14.35344231	0.10482546
	14.36704747	0.10670134
	14.38065263	0.1103661
	14.39425779	0.10652835
	14.40786295	0.10729321
	14.42146811	0.10850997
	14.43507327	0.1118923
	14.44867842	0.11356611
	14.46228358	0.11545718
	14.47588874	0.11344221
	14.4894939	0.11549524
	14.50309906	0.11509049
	14.51670422	0.11291543
	14.53030938	0.11259051
	14.54391453	0.10790249
	14.55751969	0.11776522
	14.57112485	0.11627368
	14.58473001	0.11513795
	14.59833517	0.11937801
	14.61194033	0.1195996
	14.62554549	0.1189322
	14.63915064	0.11940256
	14.6527558	0.11943564
	14.66636096	0.11866786
	14.67996612	0.12299276
	14.69357128	0.12150329
	14.70717644	0.12356273
	14.7207816	0.12710536
	14.73438675	0.12818719
	14.74799191	0.13135742
	14.76159707	0.13277807
	14.77520223	0.13084462
	14.78880739	0.13273258
	14.80241255	0.13228948
	14.81601771	0.13333944
	14.82962286	0.13511618
	14.84322802	0.13540865
	14.85683318	0.13704726
	14.87043834	0.13778965
	14.8840435	0.13885212
	14.89764866	0.13528257
	14.91125382	0.12983073
	14.92485898	0.12881569
	14.93846413	0.14038116
	14.95206929	0.14306274
	14.96567445	0.14789618
	14.97927961	0.14710965
	14.99288477	0.14422279
	15.00648993	0.14306837
	15.02009509	0.13944886
	15.03370024	0.13921581
	15.0473054	0.13582225
	15.06091056	0.1403247
	15.07451572	0.13818326
	15.08812088	0.13938934
	15.10172604	0.13414137
	15.1153312	0.13645166
	15.12893635	0.13438337
	15.14254151	0.13524095
	15.15614667	0.13356068
	15.16975183	0.13089319
	15.18335699	0.12771645
	15.19696215	0.12302034
	15.21056731	0.12186287
	15.22417246	0.12001251
	15.23777762	0.11812407
	15.25138278	0.11466458
	15.26498794	0.11155441
	15.2785931	0.10889622
	15.29219826	0.10473195
	15.30580342	0.10953326
	15.31940857	0.11186491
	15.33301373	0.11052126
	15.34661889	0.11640728
	15.36022405	0.11958353
	15.37382921	0.12174255
	15.38743437	0.12750034
	15.40103953	0.12871539
	15.41464468	0.12994108
	15.42824984	0.13086016
	15.441855	0.13047925
	15.45546016	0.13441735
	15.46906532	0.13446646
	15.48267048	0.13298314
	15.50988079	0.1332439
	15.52348595	0.13551092
	15.53709111	0.13545328
	15.55069627	0.13562532
	15.56430143	0.13817102
	15.57790659	0.14311557
	15.59151175	0.13818099
	15.6051169	0.13733709
	15.61872206	0.13582056
	15.63232722	0.13980739
	15.64593238	0.13918945
	15.65953754	0.13980227
	15.6731427	0.13850229
	15.68674786	0.13768312
	15.70035301	0.14020762
	15.71395817	0.14280097
	15.72756333	0.14226705
