csdata_id	e_energy	sigma
89146	12.85288937	0.0
89147	12.85687487	0.18177106
89148	12.87048003	0.24210864
89149	12.88408519	0.39825542
89150	12.89769034	0.53015088
89151	12.9112955	0.57164063
89152	12.92490066	0.57367045
89153	12.93850582	0.61677923
89154	12.95211098	0.96581281
89155	12.96571614	1.1373735
89156	12.9793213	1.062612
89157	12.99292646	1.0054587
89158	13.00653161	0.89450006
89159	13.02013677	0.79017297
89160	13.03374193	0.71908639
89161	13.04734709	0.72080546
89162	13.06095225	0.65215334
89163	13.07455741	0.67024181
89164	13.08816257	0.6670855
89165	13.10176772	0.68534992
89166	13.11537288	0.69551884
89167	13.12897804	0.70592617
89168	13.1425832	0.71679785
89169	13.15618836	0.7269717
89170	13.16979352	0.73863008
89171	13.18339868	0.74639817
89172	13.19700383	0.75217471
89173	13.21060899	0.76484513
89174	13.22421415	0.76797871
89175	13.23781931	0.77242323
89176	13.25142447	0.78886134
89177	13.26502963	0.79568891
89178	13.27863479	0.81175783
89179	13.3058451	0.87072305
89180	13.31945026	0.88874174
89181	13.33305542	0.88108062
89182	13.34666058	0.89856781
89183	13.36026574	0.91717269
89184	13.3738709	0.98696347
89185	13.38747605	0.96779551
89186	13.40108121	0.87483521
89187	13.41468637	0.83209855
89188	13.42829153	0.9064016
89189	13.44189669	0.90481342
89190	13.45550185	0.92791426
89191	13.46910701	0.94609012
89192	13.48271216	0.94340777
89193	13.49631732	0.94510322
89194	13.50992248	0.95976766
89195	13.52352764	0.96066826
89196	13.5371328	0.95377817
89197	13.55073796	0.9672185
89198	13.56434312	0.92826562
89199	13.57794827	0.93491615
89200	13.59155343	0.87375842
89201	13.60515859	0.8011412
89202	13.61876375	0.73375121
89203	13.63236891	0.71624932
89204	13.64597407	0.65591114
89205	13.65957923	0.66161129
89206	13.67318438	0.76000407
89207	13.7003947	0.88346094
89208	13.71399986	0.81862676
89209	13.75481534	0.88528012
89210	13.76842049	0.813733
89211	13.78202565	0.82128632
89212	13.79563081	0.80643332
89213	13.80923597	0.80458819
89214	13.82284113	0.81428215
89215	13.83644629	0.82138217
89216	13.85005145	0.81901286
89217	13.8636566	0.81916462
89218	13.87726176	0.81304804
89219	13.89086692	0.81223609
89220	13.90447208	0.81444183
89221	13.91807724	0.84189423
89222	13.9316824	0.85290951
89223	13.94528756	0.84499178
89224	13.95889272	0.83482612
89225	13.97249787	0.83376296
89226	13.98610303	0.79049241
89227	13.99970819	0.80251724
89228	14.01331335	0.821299
89229	14.02691851	0.843982
89230	14.04052367	0.85774337
89231	14.05412883	0.83037118
89232	14.06773398	0.87683459
89233	14.08133914	0.85649486
89234	14.0949443	0.86880687
89235	14.10854946	0.84273935
89236	14.12215462	0.82468435
89237	14.13575978	0.79468987
89238	14.14936494	0.78270226
89239	14.16297009	0.76978378
89240	14.17657525	0.7572159
89241	14.19018041	0.7357471
89242	14.20378557	0.72512266
89243	14.21739073	0.7096951
89244	14.23099589	0.69624244
89245	14.24460105	0.67870234
89246	14.2582062	0.66041372
89247	14.27181136	0.64542722
89248	14.28541652	0.63062707
89249	14.29902168	0.63144407
89250	14.31262684	0.6270858
89251	14.326232	0.6347089
89252	14.33983716	0.64395341
89253	14.35344231	0.68898687
89254	14.36704747	0.69666206
89255	14.38065263	0.6825729
89256	14.39425779	0.70474138
89257	14.40786295	0.70172591
89258	14.42146811	0.70079684
89259	14.43507327	0.69473317
89260	14.44867842	0.6775386
89261	14.46228358	0.67151997
89262	14.47588874	0.68283196
89263	14.4894939	0.6926915
89264	14.50309906	0.70021105
89265	14.51670422	0.70354
89266	14.53030938	0.7096037
89267	14.54391453	0.71273298
89268	14.55751969	0.70980483
89269	14.57112485	0.70519296
89270	14.58473001	0.70746647
89271	14.59833517	0.70852551
89272	14.61194033	0.73061615
89273	14.62554549	0.75063552
89274	14.63915064	0.76498356
89275	14.6527558	0.76569683
89276	14.66636096	0.76752448
89277	14.67996612	0.76477814
89278	14.69357128	0.77090665
89279	14.70717644	0.77797423
89280	14.7207816	0.78586984
89281	14.73438675	0.76444703
89282	14.74799191	0.76674713
89283	14.76159707	0.78340362
89284	14.77520223	0.76429878
89285	14.78880739	0.7531422
89286	14.80241255	0.75905028
89287	14.81601771	0.74678941
89288	14.82962286	0.73095637
89289	14.84322802	0.72840512
89290	14.85683318	0.72295907
89291	14.87043834	0.71347536
89292	14.8840435	0.70311242
89293	14.89764866	0.69684371
89294	14.91125382	0.68977977
89295	14.92485898	0.67684926
89296	14.93846413	0.66712184
89297	14.95206929	0.67890807
89298	14.96567445	0.66949701
89299	14.97927961	0.68476876
89300	14.99288477	0.68323002
89301	15.00648993	0.67935071
89302	15.02009509	0.67851591
89303	15.03370024	0.66355632
89304	15.0473054	0.65752254
89305	15.06091056	0.65973933
89306	15.07451572	0.65888673
89307	15.08812088	0.65681623
89308	15.10172604	0.65703541
89309	15.1153312	0.65610407
89310	15.12893635	0.64572433
89311	15.14254151	0.62722387
89312	15.15614667	0.62220838
89313	15.16975183	0.6265715
89314	15.18335699	0.63023799
89315	15.19696215	0.62686157
89316	15.21056731	0.62640185
89317	15.22417246	0.62608559
89318	15.23777762	0.6265988
89319	15.25138278	0.63131202
89320	15.26498794	0.63741584
89321	15.2785931	0.63693959
89322	15.29219826	0.63935357
89323	15.30580342	0.64745538
89324	15.31940857	0.6531881
89325	15.33301373	0.6706291
89326	15.34661889	0.66958667
89327	15.36022405	0.66933773
89328	15.37382921	0.67961465
89329	15.38743437	0.6754253
89330	15.40103953	0.67756618
89331	15.41464468	0.68198456
89332	15.42824984	0.67975796
89333	15.441855	0.67649966
89334	15.45546016	0.66597845
89335	15.46906532	0.66933898
89336	15.48267048	0.67695385
89337	15.50988079	0.67428753
89338	15.52348595	0.67246096
89339	15.53709111	0.66962714
89340	15.55069627	0.67060221
89341	15.56430143	0.6695886
89342	15.57790659	0.67378166
89343	15.59151175	0.67114943
89344	15.6051169	0.66877828
89345	15.61872206	0.66312624
89346	15.63232722	0.66853339
89347	15.64593238	0.65472013
89348	15.65953754	0.65489164
89349	15.6731427	0.65295002
89350	15.68674786	0.65472712
89351	15.70035301	0.65482841
89352	15.71395817	0.65306242
89353	15.72756333	0.65532297
89354	15.74116849	0.65500502
89355	15.75477365	0.6600244
89356	15.76837881	0.65645734
89357	15.78198397	0.65377704
89358	15.79558912	0.65617465
89359	15.80919428	0.65066365
89360	15.82279944	0.64242246
89361	15.8364046	0.64134541
89362	15.85000976	0.64588607
89363	15.86361492	0.64569062
89364	15.87722008	0.6387132
89365	15.89082524	0.63650061
89366	15.90443039	0.64162586
89367	15.91803555	0.63525334
89368	15.93164071	0.63268345
89369	15.94524587	0.63364529
89370	15.95885103	0.63427067
89371	15.97245619	0.63256035
89372	15.98606135	0.63508688
89373	15.9996665	0.63556588
89374	16.01327166	0.6351822
89375	16.02687682	0.63901184
89376	16.04048198	0.64210574
89377	16.05408714	0.62380098
89378	16.0676923	0.60050749
89379	16.08129746	0.60112443
89380	16.09490261	0.5993062
89381	16.10850777	0.60088396
89382	16.12211293	0.6003617
89383	16.13571809	0.58979839
89384	16.14932325	0.58779813
89385	16.16292841	0.58580471
89386	16.17653357	0.58987185
89387	16.19013872	0.59279127
89388	16.20374388	0.60745894
89389	16.21734904	0.61708633
89390	16.2309542	0.59778406
89391	16.24455936	0.5831005
89392	16.25816452	0.5856038
89393	16.27176968	0.58703263
89394	16.28537483	0.59103781
89395	16.29897999	0.5918017
89396	16.31258515	0.59600429
89397	16.32619031	0.59781936
89398	16.33979547	0.61421585
89399	16.35340063	0.61251043
89400	16.36700579	0.61326174
89401	16.3942161	0.60522769
89402	16.40782126	0.59578145
89403	16.42142642	0.58610767
89404	16.43503158	0.58716117
89405	16.44863674	0.58886265
89406	16.4622419	0.58966797
89407	16.47584705	0.59057605
89408	16.48945221	0.59154449
89409	16.50305737	0.59420261
89410	16.51666253	0.59708169
89411	16.53026769	0.59615201
89412	16.54387285	0.59730439
89413	16.55747801	0.59774663
89414	16.57108316	0.60518417
89415	16.58468832	0.6069837
89416	16.59829348	0.60827572
89417	16.61189864	0.61296507
89418	16.6255038	0.61931908
89419	16.63910896	0.62464482
89420	16.65271412	0.62788707
89421	16.67992443	0.62784625
89422	16.69352959	0.61938603
89423	16.70713475	0.61390992
89424	16.72073991	0.61144483
89425	16.73434507	0.60370755
89426	16.74795023	0.59629594
89427	16.76155538	0.59115919
89428	16.77516054	0.58879402
89429	16.7887657	0.58463348
89430	16.80237086	0.58510391
89431	16.81597602	0.58044232
89432	16.82958118	0.57318953
89433	16.84318634	0.57264255
89434	16.8567915	0.57091804
89435	16.87039665	0.58163337
89436	16.88400181	0.59735756
89437	16.89760697	0.59564761
89438	16.91121213	0.59137659
89439	16.92481729	0.58717983
89440	16.93842245	0.58762007
89441	16.95202761	0.58415775
89442	16.96563276	0.58417515
89443	16.97923792	0.5821416
89444	16.99284308	0.57881669
89445	17.00644824	0.57933008
89446	17.0200534	0.57497351
89447	17.03365856	0.57529153
89448	17.04726372	0.57642462
89449	17.06086887	0.57347529
89450	17.07447403	0.57896713
89451	17.08807919	0.58037697
89452	17.10168435	0.58276644
89453	17.11528951	0.58314006
89454	17.12889467	0.57954284
89455	17.14249983	0.57590767
89456	17.15610498	0.58144749
89457	17.16971014	0.57669826
89458	17.1833153	0.57831882
89459	17.19692046	0.5740911
89460	17.21052562	0.56893395
89461	17.22413078	0.57454014
89462	17.23773594	0.5704725
89463	17.25134109	0.54844024
89464	17.26494625	0.55599002
89465	17.27855141	0.5591483
89466	17.29215657	0.56131465
89467	17.30576173	0.56495966
89468	17.31936689	0.56564979
89469	17.33297205	0.56267369
89470	17.3465772	0.55683747
89471	17.36018236	0.5554445
89472	17.37378752	0.55575006
89473	17.38739268	0.55458574
89474	17.40099784	0.56268458
89475	17.414603	0.56024179
89476	17.42820816	0.56191596
89477	17.44181331	0.55668885
89478	17.45541847	0.55093978
89479	17.46902363	0.54596427
89480	17.48262879	0.54128857
89481	17.49623395	0.55406117
89482	17.50983911	0.61350485
89483	17.52344427	0.59124489
89484	17.53704942	0.57028824
89485	17.55065458	0.55837733
89486	17.56425974	0.56537985
89487	17.5778649	0.56373225
89488	17.59147006	0.56128852
89489	17.60507522	0.55670269
89490	17.61868038	0.55172151
89491	17.63228553	0.54718592
89492	17.64589069	0.5443835
89493	17.65949585	0.54833245
89494	17.67310101	0.54404034
89495	17.68670617	0.54678294
89496	17.70031133	0.54963881
89497	17.71391649	0.55401555
89498	17.72752164	0.55484209
89499	17.7411268	0.5525987
89500	17.75473196	0.55266409
89501	17.76833712	0.55137137
89502	17.78194228	0.54838902
89503	17.79554744	0.5486427
89504	17.8091526	0.55025386
89505	17.82275776	0.55053502
89506	17.83636291	0.55334106
89507	17.84996807	0.55382621
