	e_energy	sigma
	3.57816	0.39011
	3.59176	0.47454
	3.60537	0.59658
	3.61897	0.70396
	3.63258	0.81329
	3.64618	0.92145
	3.65979	1.0345
	3.67339	1.1363
	3.687	1.2334
	3.7006	1.3259
	3.71421	1.4137
	3.72781	1.4973
	3.74142	1.5769
	3.75502	1.6524
	3.76863	1.7249
	3.78223	1.7944
	3.79584	1.8612
	3.80944	1.9254
	3.82305	1.9875
	3.83665	2.0474
	3.85026	2.1055
	3.86387	2.1618
	3.87747	2.2162
	3.89108	2.2694
	3.90468	2.3212
	3.91829	2.3716
	3.93189	2.4208
	3.9455	2.4687
	3.9591	2.5155
	3.97271	2.5611
	3.98631	2.6057
	3.99992	2.6492
	4.01352	2.6917
	4.02713	2.7329
	4.04073	2.7734
	4.05434	2.813
	4.06794	2.8517
	4.08155	2.8895
	4.09515	2.9264
	4.10876	2.9624
	4.12236	2.9977
	4.13597	3.0321
	4.14957	3.0658
	4.16318	3.0987
	4.17678	3.1309
	4.19039	3.1624
	4.20399	3.193
	4.2176	3.2232
	4.2312	3.2527
	4.24481	3.2815
	4.25841	3.3098
	4.27202	3.3375
	4.28562	3.3646
	4.29923	3.3912
	4.31284	3.4173
	4.32644	3.4429
	4.34005	3.4679
	4.35365	3.4925
	4.36726	3.5167
	4.38086	3.5404
	4.39447	3.5637
	4.40807	3.5865
	4.42168	3.609
	4.43528	3.6311
	4.44889	3.6528
	4.46249	3.6742
	4.4761	3.6952
	4.4897	3.7158
	4.50331	3.7362
	4.51691	3.7562
	4.53052	3.776
	4.54412	3.7954
	4.55773	3.8145
	4.57133	3.8333
	4.58494	3.852
	4.59854	3.8703
	4.61215	3.8883
	4.62575	3.9061
	4.63936	3.9237
	4.65296	3.941
	4.66657	3.9581
	4.68017	3.975
	4.69378	3.9917
	4.70738	4.0081
	4.72099	4.0244
	4.7346	4.0404
	4.7482	4.0562
	4.76181	4.0719
	4.77541	4.0874
	4.78902	4.1027
	4.80262	4.1178
	4.81623	4.1327
	4.82983	4.1475
	4.84344	4.1621
	4.85704	4.1766
	4.87065	4.1909
	4.88425	4.205
	4.89786	4.219
	4.91146	4.2329
	4.92507	4.2466
	4.93867	4.2601
	4.95228	4.2735
	4.96588	4.2868
	4.97949	4.3
	4.99309	4.313
	5.0067	4.3259
	5.0203	4.3387
	5.03391	4.3514
	5.04751	4.3639
	5.06112	4.3763
	5.07472	4.3887
	5.08833	4.4009
	5.10193	4.4129
	5.11554	4.4249
	5.12914	4.4368
	5.14275	4.4486
	5.15636	4.4603
	5.16996	4.4719
	5.18357	4.4834
	5.19717	4.4947
	5.21078	4.506
	5.22438	4.5172
	5.23799	4.5283
	5.25159	4.5394
	5.2652	4.5503
	5.2788	4.5612
	5.29241	4.572
	5.30601	4.5827
	5.31962	4.5933
	5.33322	4.6039
	5.34683	4.6143
	5.36043	4.6247
	5.37404	4.635
	5.38764	4.6453
	5.40125	4.6554
	5.41485	4.6655
	5.42846	4.6756
	5.44206	4.6855
	5.45567	4.6954
	5.46927	4.7052
	5.48288	4.715
	5.49648	4.7247
	5.51009	4.7344
	5.52369	4.744
	5.5373	4.7535
	5.5509	4.763
	5.56451	4.7724
	5.57812	4.7818
	5.59172	4.7911
	5.60533	4.8003
	5.61893	4.8095
	5.63254	4.8187
	5.64614	4.8278
	5.65975	4.8368
	5.67335	4.8458
	5.68696	4.8547
	5.70056	4.8636
	5.71417	4.8724
	5.72777	4.8812
	5.74138	4.89
	5.75498	4.8987
	5.76859	4.9074
	5.78219	4.916
	5.7958	4.9246
	5.8094	4.9331
	5.82301	4.9416
	5.83661	4.95
	5.85022	4.9584
	5.86382	4.9668
	5.87743	4.9751
	5.89103	4.9834
	5.90464	4.9916
	5.91824	4.9998
	5.93185	5.0079
	5.94545	5.016
	5.95906	5.0241
	5.97266	5.0322
	5.98627	5.0402
	5.99987	5.0481
	6.01348	5.0561
	6.02709	5.064
	6.04069	5.0718
	6.0543	5.0797
	6.0679	5.0874
	6.08151	5.0952
	6.09511	5.1029
	6.10872	5.1106
	6.12232	5.1182
	6.13593	5.1258
	6.14953	5.1334
	6.16314	5.1409
	6.17674	5.1484
	6.19035	5.1559
	6.20395	5.1633
	6.21756	5.1707
	6.23116	5.1781
	6.24477	5.1855
	6.25837	5.1928
	6.27198	5.2
	6.28558	5.2073
	6.29919	5.2145
	6.31279	5.2217
	6.3264	5.2289
	6.34	5.236
	6.35361	5.2431
	6.36721	5.2502
	6.38082	5.2572
	6.39442	5.2642
	6.40803	5.2712
	6.42163	5.2782
	6.43524	5.2851
	6.44885	5.292
	6.46245	5.2988
	6.47606	5.3057
	6.48966	5.3125
	6.50327	5.3193
	6.51687	5.3261
	6.53048	5.3328
	6.54408	5.3395
	6.55769	5.3462
	6.57129	5.3528
	6.5849	5.3595
	6.5985	5.3661
	6.61211	5.3727
	6.62571	5.3792
	6.63932	5.3858
	6.65292	5.3923
	6.66653	5.3988
	6.68013	5.4052
	6.69374	5.4117
	6.70734	5.4181
	6.72095	5.4245
	6.73455	5.4309
	6.74816	5.4372
	6.76176	5.4435
	6.77537	5.4498
	6.78897	5.4561
	6.80258	5.4624
	6.81618	5.4686
	6.82979	5.4748
	6.84339	5.481
	6.857	5.4872
	6.87061	5.4934
	6.88421	5.4995
	6.89782	5.5056
	6.91142	5.5117
	6.92503	5.5178
	6.93863	5.5238
	6.95224	5.5298
	6.96584	5.5359
	6.97945	5.5418
	6.99305	5.5478
