csdata_id	e_energy	sigma
46	0.00136	1.83007
47	0.00272	1.82884
48	0.00408	2.04704
49	0.00544	2.27602
50	0.0068	2.53511
51	0.00816	2.85417
52	0.00952	3.15167
53	0.01088	3.4748
54	0.01225	3.82279
55	0.01361	4.19703
56	0.01497	4.60592
57	0.01633	5.05652
58	0.01769	5.55594
59	0.01905	6.1114
60	0.02041	6.72992
61	0.02177	7.41784
62	0.02313	8.18211
63	0.02449	9.03237
64	0.02585	9.98004
65	0.02721	11.0396
66	0.02857	12.2278
67	0.02993	13.5651
68	0.03129	15.0746
69	0.03265	16.7835
70	0.03401	18.7241
71	0.03537	20.9336
72	0.03674	23.4571
73	0.0381	26.3493
74	0.03946	29.6772
75	0.04082	33.5232
76	0.04218	37.9896
77	0.04354	43.204
78	0.0449	49.3257
79	0.04626	56.5554
80	0.04762	65.1468
81	0.04898	75.4224
82	0.05034	87.7942
83	0.0517	102.79
84	0.05306	121.089
85	0.05442	143.561
86	0.05578	171.31
87	0.05714	205.708
88	0.0585	248.387
89	0.05987	301.119
90	0.06123	365.451
91	0.06259	441.873
92	0.06395	528.325
93	0.06531	618.205
94	0.06667	699.15
95	0.06803	755.147
96	0.06939	773.283
97	0.07075	751.102
98	0.07211	697.61
99	0.07347	627.159
100	0.07483	552.532
101	0.07619	481.868
102	0.07755	418.981
103	0.07891	364.882
104	0.08027	319.14
105	0.08163	280.743
106	0.08299	248.553
107	0.08436	221.505
108	0.08572	198.679
109	0.08708	179.311
110	0.08844	162.779
111	0.0898	148.582
112	0.09116	136.313
113	0.09252	125.649
114	0.09388	116.325
115	0.09524	108.129
116	0.0966	100.886
117	0.09796	94.4543
118	0.09932	88.7157
119	0.10068	83.5734
120	0.10204	78.9465
121	0.1034	74.7673
122	0.10476	70.979
123	0.10612	67.5332
124	0.10749	64.3893
125	0.10885	61.5121
126	0.11021	58.8717
127	0.11157	56.4422
128	0.11293	54.2014
129	0.11429	52.1296
130	0.11565	50.2099
131	0.11701	48.4273
132	0.11837	46.7687
133	0.11973	45.2224
134	0.12109	43.7782
135	0.12245	42.4267
136	0.12381	41.1601
137	0.12517	39.9708
138	0.12653	38.8524
139	0.12789	37.799
140	0.12925	36.8054
141	0.13061	35.8669
142	0.13198	34.9792
143	0.13334	34.1386
144	0.1347	33.3415
145	0.13606	32.585
146	0.14966	26.7308
147	0.16327	22.9312
148	0.17687	20.287
149	0.19048	18.3547
150	0.20409	16.8882
151	0.21769	15.7417
152	0.2313	14.8234
153	0.2449	14.0732
154	0.25851	13.4497
155	0.27211	12.9244
156	0.28572	12.4757
157	0.29933	12.0889
158	0.31293	11.7517
159	0.32654	11.4555
160	0.34014	11.1933
161	0.35375	10.9597
162	0.36735	10.7502
163	0.38096	10.5613
164	0.39457	10.3901
165	0.40817	10.2342
166	0.54423	9.20069
167	0.68028	8.64164
168	0.81634	8.27999
169	0.9524	8.01919
170	1.08846	7.81814
171	1.22451	7.65528
172	1.36057	7.51945
173	1.49663	7.40315
174	1.63268	7.30178
175	1.76874	7.21172
176	1.9048	7.13035
177	2.04085	7.05507
178	2.17691	6.98329
179	2.31297	6.91059
180	2.44903	6.80963
181	2.58508	6.68895
182	2.72114	6.59339
183	2.8572	6.51952
184	2.99325	6.46235
185	3.12931	6.41776
186	3.26537	6.38251
187	3.40142	6.35399
188	3.53748	6.32946
189	3.58918	6.31949
190	3.5919	6.31921
191	3.60551	6.31612
192	3.61912	6.31303
193	3.63272	6.30996
