csdata_id	e_energy	sigma
201573	10.0	0.007
201574	10.5	0.008
201575	11.0	0.019
201576	11.5	0.037
201577	12.0	0.058
201578	12.5	0.082
201579	13.0	0.105
201580	13.5	0.125
201581	14.0	0.143
201582	14.5	0.155
201583	15.0	0.163
201584	15.5	0.165
201585	16.0	0.162
201586	16.5	0.153
201587	17.0	0.14
201588	17.5	0.124
201589	18.0	0.11
201590	18.5	0.101
201591	19.0	0.093
201592	19.5	0.086
201593	20.0	0.08
201594	25.0	0.041
201595	30.0	0.024
201596	35.0	0.015
201597	40.0	0.01
201598	45.0	0.007
201599	50.0	0.005
