csdata_id	e_energy	sigma
201888	30.0	0.0325
201889	35.0	0.0904
201890	40.0	0.166
201891	45.0	0.245
201892	50.0	0.319
201893	55.0	0.39
201894	60.0	0.438
201895	65.0	0.482
201896	70.0	0.523
201897	75.0	0.561
201898	80.0	0.587
201899	85.0	0.605
201900	90.0	0.632
201901	95.0	0.645
201902	100.0	0.656
201903	110.0	0.66
201904	120.0	0.661
201905	140.0	0.652
201906	160.0	0.633
201907	180.0	0.595
201908	200.0	0.566
201909	225.0	0.516
201910	250.0	0.493
201911	275.0	0.458
201912	300.0	0.438
201913	350.0	0.393
201914	400.0	0.351
201915	450.0	0.324
201916	500.0	0.299
201917	550.0	0.274
201918	600.0	0.248
201919	650.0	0.234
201920	700.0	0.217
201921	750.0	0.205
201922	800.0	0.2
201923	850.0	0.192
201924	900.0	0.183
201925	950.0	0.176
201926	1000.0	0.167
