csdata_id	e_energy	sigma
201830	16.0	0.0211
201831	16.5	0.0466
201832	17.0	0.0713
201833	17.5	0.0985
201834	18.0	0.129
201835	18.5	0.164
201836	19.0	0.199
201837	19.5	0.23
201838	20.0	0.27
201839	20.5	0.308
201840	21.0	0.344
201841	21.5	0.38
201842	22.0	0.418
201843	22.5	0.455
201844	23.0	0.492
201845	23.5	0.528
201846	24.0	0.565
201847	24.5	0.603
201848	25.0	0.64
201849	30.0	0.929
201850	35.0	1.16
201851	40.0	1.37
201852	45.0	1.52
201853	50.0	1.6
201854	55.0	1.66
201855	60.0	1.72
201856	65.0	1.74
201857	70.0	1.78
201858	75.0	1.8
201859	80.0	1.81
201860	85.0	1.82
201861	90.0	1.83
201862	95.0	1.85
201863	100.0	1.85
201864	110.0	1.83
201865	120.0	1.81
201866	140.0	1.78
201867	160.0	1.72
201868	180.0	1.67
201869	200.0	1.61
201870	225.0	1.55
201871	250.0	1.48
201872	275.0	1.41
201873	300.0	1.37
201874	350.0	1.28
201875	400.0	1.2
201876	450.0	1.11
201877	500.0	1.05
201878	550.0	0.998
201879	600.0	0.943
201880	650.0	0.88
201881	700.0	0.844
201882	750.0	0.796
201883	800.0	0.765
201884	850.0	0.738
201885	900.0	0.719
201886	950.0	0.698
201887	1000.0	0.676
