csdata_id	e_energy	sigma
201958	16.0	0.0211
201959	16.5	0.0466
201960	17.0	0.0713
201961	17.5	0.0985
201962	18.0	0.129
201963	18.5	0.164
201964	19.0	0.199
201965	19.5	0.23
201966	20.0	0.27
201967	20.5	0.308
201968	21.0	0.344
201969	21.5	0.38
201970	22.0	0.418
201971	22.5	0.455
201972	23.0	0.492
201973	23.5	0.528
201974	24.0	0.565
201975	24.5	0.603
201976	25.0	0.64
201977	30.0	0.962
201978	35.0	1.25
201979	40.0	1.54
201980	45.0	1.77
201981	50.0	1.91
201982	55.0	2.05
201983	60.0	2.16
201984	65.0	2.22
201985	70.0	2.3
201986	75.0	2.36
201987	80.0	2.4
201988	85.0	2.43
201989	90.0	2.47
201990	95.0	2.5
201991	100.0	2.51
201992	110.0	2.5
201993	120.0	2.48
201994	140.0	2.45
201995	160.0	2.36
201996	180.0	2.28
201997	200.0	2.19
201998	225.0	2.08
201999	250.0	1.98
202000	275.0	1.89
202001	300.0	1.82
202002	350.0	1.68
202003	400.0	1.56
202004	450.0	1.45
202005	500.0	1.36
202006	550.0	1.28
202007	600.0	1.2
202008	650.0	1.12
202009	700.0	1.07
202010	750.0	1.01
202011	800.0	0.971
202012	850.0	0.936
202013	900.0	0.907
202014	950.0	0.879
202015	1000.0	0.847
