csdata_id	e_energy	sigma
201441	0.0015	0.043
201442	0.0017	0.134
201443	0.002	0.19
201444	0.0025	0.236
201445	0.003	0.262
201446	0.0035	0.278
201447	0.004	0.29
201448	0.0045	0.298
201449	0.005	0.305
201450	0.0055	0.309
201451	0.006	0.313
201452	0.007	0.319
201453	0.008	0.324
201454	0.009	0.327
201455	0.01	0.329
201456	0.015	0.335
201457	0.02	0.337
201458	0.03	0.338
201459	0.04	0.338
201460	0.06	0.338
201461	0.08	0.339
201462	0.1	0.34
201463	0.12	0.342
201464	0.14	0.344
201465	0.16	0.346
201466	0.2	0.351
201467	0.35	0.375
201468	0.55	0.415
201469	0.7	0.45
201470	0.8	0.475
201471	1.0	0.529
201472	1.25	0.608
