csdata_id	e_energy	sigma
201137	1.002	9.91
201138	1.012	9.88
201139	1.023	9.86
201140	1.033	9.96
201141	1.044	10.05
201142	1.055	10.04
201143	1.066	10.01
201144	1.078	10.21
201145	1.089	10.1
201146	1.101	10.17
201147	1.113	10.07
201148	1.125	10.06
201149	1.137	9.95
201150	1.15	10.03
201151	1.162	10.22
201152	1.175	10.31
201153	1.188	10.15
201154	1.202	10.14
201155	1.215	10.34
201156	1.229	10.27
201157	1.243	10.33
201158	1.258	10.32
201159	1.272	10.43
201160	1.287	10.42
201161	1.302	10.31
201162	1.317	10.44
201163	1.333	10.36
201164	1.349	10.61
201165	1.365	10.66
201166	1.381	10.55
201167	1.398	10.75
201168	1.415	10.76
201169	1.432	10.8
201170	1.45	10.96
201171	1.468	10.97
201172	1.487	10.98
201173	1.505	11.24
201174	1.524	11.29
201175	1.544	11.4
201176	1.563	11.58
201177	1.584	11.79
201178	1.604	11.86
201179	1.625	12.04
201180	1.647	12.3
201181	1.668	12.66
201182	1.691	13.0
201183	1.713	13.51
201184	1.736	13.79
201185	1.76	14.44
201186	1.784	15.28
201187	1.809	16.36
201188	1.834	17.46
201189	1.853	18.61
201190	1.866	19.12
201191	1.879	20.23
201192	1.892	21.19
201193	1.906	22.26
201194	1.922	23.23
201195	1.936	24.26
201196	1.951	25.4
201197	1.965	25.95
201198	1.98	25.88
201199	1.994	25.84
201200	2.009	25.61
201201	2.024	25.37
201202	2.039	24.52
201203	2.055	23.81
201204	2.07	23.69
201205	2.086	23.83
201206	2.102	24.13
201207	2.118	25.26
201208	2.134	27.18
201209	2.151	29.13
201210	2.167	30.77
201211	2.184	32.78
201212	2.201	33.22
201213	2.219	33.58
201214	2.236	32.62
201215	2.254	31.11
201216	2.272	29.75
201217	2.29	28.32
201218	2.308	27.14
201219	2.326	26.19
201220	2.345	26.36
201221	2.364	27.64
201222	2.383	28.82
201223	2.403	30.79
201224	2.422	32.06
201225	2.463	31.8
201226	2.483	30.85
201227	2.504	29.19
201228	2.525	27.25
201229	2.546	25.83
201230	2.567	25.18
201231	2.589	25.19
201232	2.611	25.63
201233	2.633	27.03
201234	2.656	27.9
201235	2.679	27.78
201236	2.702	26.74
201237	2.725	25.9
201238	2.749	24.33
201239	2.773	22.95
201240	2.798	22.19
201241	2.822	22.32
201242	2.848	22.49
201243	2.873	22.84
201244	2.899	23.28
201245	2.925	22.39
201246	2.951	21.64
201247	2.978	20.51
201248	3.005	19.73
201249	3.033	19.29
201250	3.061	19.3
201251	3.089	19.17
201252	3.118	19.24
201253	3.147	18.69
201254	3.176	18.22
201255	3.206	17.46
201256	3.236	16.95
201257	3.267	16.75
201258	3.298	16.69
201259	3.328	16.6
201260	3.36	16.51
201261	3.391	16.02
201262	3.423	15.9
201263	3.456	15.37
201264	3.489	15.16
201265	3.523	15.05
201266	3.557	15.05
201267	3.591	14.55
201268	3.626	14.51
201269	3.662	14.16
201270	3.698	14.14
201271	3.734	13.86
201272	3.772	13.71
201273	3.809	13.63
201274	3.848	13.34
201275	3.886	13.5
201276	3.926	13.31
201277	3.966	13.09
201278	4.007	13.21
201279	4.048	12.92
201280	4.09	12.89
201281	4.132	12.88
201282	4.176	12.48
201283	4.22	12.44
201284	4.264	12.54
201285	4.31	12.34
201286	4.356	12.31
201287	4.402	12.25
201288	4.45	12.19
201289	4.498	12.15
201290	4.547	11.95
201291	4.597	12.0
201292	4.648	11.99
201293	4.7	11.89
201294	4.752	11.9
201295	4.806	11.79
201296	4.86	11.74
