csdata_id	e_energy	sigma
202779	18.8	0.0
202780	19.0	1.2e-23
202781	19.6	4.8e-23
202782	20.0	7.1e-23
202783	30.0	7.2e-22
202784	35.0	1.01e-21
202785	40.0	1.21e-21
202786	45.0	1.36e-21
202787	50.0	1.47e-21
202788	60.0	1.6e-21
202789	80.0	1.71e-21
202790	90.0	1.73e-21
202791	100.0	1.74e-21
202792	150.0	1.7e-21
202793	300.0	1.32e-21
202794	500.0	1.03e-21
202795	700.0	8.3e-22
202796	1000.0	6.4e-22
202797	1500.0	4.7e-22
202798	2000.0	3.7e-22
202799	4000.0	2.15e-22
202800	7000.0	1.38e-22
202801	10000.0	1.04e-22
