csdata_id	e_energy	sigma
202054	12.0	0.0
202055	13.0	0.0
202056	13.5	0.0
202057	14.0	0.0
202058	14.5	0.0
202059	15.0	0.0
202060	15.5	0.0
202061	16.0	0.0
202062	17.0	0.0
202063	18.0	0.0
202064	19.0	0.0
202065	20.0	0.0
202066	22.0	0.0
202067	24.0	0.0
202068	26.0	0.0
202069	28.0	0.0
202070	30.0	9.75e-19
202071	33.0	2.05e-18
202072	36.0	3.75e-18
202073	39.0	5.4e-18
202074	42.0	7.85e-18
202075	45.0	9.6e-18
202076	50.0	1.35e-17
202077	55.0	1.7e-17
202078	60.0	1.95e-17
202079	70.0	2.35e-17
202080	80.0	2.65e-17
202081	90.0	2.9e-17
202082	100.0	3.05e-17
202083	120.0	3.15e-17
202084	140.0	3.1e-17
202085	160.0	3.03e-17
202086	180.0	2.92e-17
202087	200.0	2.8e-17
202088	250.0	2.48e-17
202089	300.0	2.22e-17
202090	350.0	1.98e-17
202091	400.0	1.83e-17
