csdata_id	e_energy	sigma
201958	12.0	0.0
201959	13.0	0.0
201960	13.5	0.0
201961	14.0	0.0
201962	14.5	0.0
201963	15.0	0.0
201964	15.5	0.0
201965	16.0	0.0
201966	17.0	0.0
201967	18.0	0.0
201968	19.0	0.0
201969	20.0	0.0
201970	22.0	0.0
201971	24.0	0.0
201972	26.0	0.0
201973	28.0	0.0
201974	30.0	9.75e-19
201975	33.0	2.05e-18
201976	36.0	3.75e-18
201977	39.0	5.4e-18
201978	42.0	7.85e-18
201979	45.0	9.6e-18
201980	50.0	1.35e-17
201981	55.0	1.7e-17
201982	60.0	1.95e-17
201983	70.0	2.35e-17
201984	80.0	2.65e-17
201985	90.0	2.9e-17
201986	100.0	3.05e-17
201987	120.0	3.15e-17
201988	140.0	3.1e-17
201989	160.0	3.03e-17
201990	180.0	2.92e-17
201991	200.0	2.8e-17
201992	250.0	2.48e-17
201993	300.0	2.22e-17
201994	350.0	1.98e-17
201995	400.0	1.83e-17
