csdata_id	e_energy	sigma
202072	12.0	0.0
202073	13.0	0.0
202074	13.5	1.04e-18
202075	14.0	2.2360000000000003e-18
202076	14.5	3.25e-18
202077	15.0	4.342e-18
202078	15.5	5.304e-18
202079	16.0	6.292e-18
202080	17.0	8.112e-18
202081	18.0	9.75e-18
202082	19.0	1.1362e-17
202083	20.0	1.2766e-17
202084	22.0	1.521e-17
202085	24.0	1.7342000000000002e-17
202086	26.0	1.911e-17
202087	28.0	2.0332000000000002e-17
202088	30.0	2.1398e-17
202089	33.0	2.2698e-17
202090	36.0	2.3711999999999998e-17
202091	39.0	2.4492e-17
202092	42.0	2.522e-17
202093	45.0	2.574e-17
202094	50.0	2.6520000000000004e-17
202095	55.0	2.678e-17
202096	60.0	2.704e-17
202097	70.0	2.756e-17
202098	80.0	2.8080000000000005e-17
202099	90.0	2.782e-17
202100	100.0	2.73e-17
202101	120.0	2.626e-17
202102	140.0	2.496e-17
202103	160.0	2.3660000000000002e-17
202104	180.0	2.249e-17
202105	200.0	2.1398e-17
202106	250.0	1.885e-17
202107	300.0	1.69e-17
202108	350.0	1.521e-17
202109	400.0	1.3832e-17
