csdata_id	e_energy	sigma
202092	12.0	0.0
202093	13.0	0.0
202094	13.5	2.96e-18
202095	14.0	6.364e-18
202096	14.5	9.25e-18
202097	15.0	1.2357999999999998e-17
202098	15.5	1.5096e-17
202099	16.0	1.7908e-17
202100	17.0	2.3088e-17
202101	18.0	2.7749999999999998e-17
202102	19.0	3.2338e-17
202103	20.0	3.6334e-17
202104	22.0	4.329e-17
202105	24.0	4.9358000000000005e-17
202106	26.0	5.439e-17
202107	28.0	5.786800000000001e-17
202108	30.0	6.0902e-17
202109	33.0	6.4602e-17
202110	36.0	6.748799999999999e-17
202111	39.0	6.970799999999999e-17
202112	42.0	7.177999999999999e-17
202113	45.0	7.325999999999999e-17
202114	50.0	7.548000000000001e-17
202115	55.0	7.622e-17
202116	60.0	7.696e-17
202117	70.0	7.844e-17
202118	80.0	7.992e-17
202119	90.0	7.918e-17
202120	100.0	7.77e-17
202121	120.0	7.474e-17
202122	140.0	7.103999999999999e-17
202123	160.0	6.734e-17
202124	180.0	6.401e-17
202125	200.0	6.0902e-17
202126	250.0	5.3649999999999994e-17
202127	300.0	4.8099999999999995e-17
202128	350.0	4.329e-17
202129	400.0	3.9368e-17
