csdata_id	e_energy	sigma
202168	12.0	0.0
202169	13.0	0.0
202170	13.5	0.0
202171	14.0	0.0
202172	14.5	2.2e-18
202173	15.0	3.5e-18
202174	15.5	5.4e-18
202175	16.0	8e-18
202176	17.0	1.27e-17
202177	18.0	1.83e-17
202178	19.0	2.38e-17
202179	20.0	2.9e-17
202180	22.0	3.92e-17
202181	24.0	4.78e-17
202182	26.0	5.56e-17
202183	28.0	6.22e-17
202184	30.0	6.75e-17
202185	33.0	7.22e-17
202186	36.0	7.57e-17
202187	39.0	7.77e-17
202188	42.0	7.9e-17
202189	45.0	8e-17
202190	50.0	8.1e-17
202191	55.0	8.07e-17
202192	60.0	8.05e-17
202193	70.0	7.95e-17
202194	80.0	7.7e-17
202195	90.0	7.42e-17
202196	100.0	7.17e-17
202197	120.0	6.63e-17
202198	140.0	6.22e-17
202199	160.0	5.85e-17
202200	180.0	5.53e-17
202201	200.0	5.25e-17
202202	250.0	4.7e-17
202203	300.0	4.3e-17
202204	350.0	3.95e-17
202205	400.0	3.7e-17
