csdata_id	e_energy	sigma
202244	12.0	0.0
202245	13.0	0.0
202246	13.5	4e-18
202247	14.0	8.6e-18
202248	14.5	1.47e-17
202249	15.0	2.02e-17
202250	15.5	2.5799999999999998e-17
202251	16.0	3.22e-17
202252	17.0	4.39e-17
202253	18.0	5.58e-17
202254	19.0	6.75e-17
202255	20.0	7.81e-17
202256	22.0	9.77e-17
202257	24.0	1.145e-16
202258	26.0	1.2910000000000002e-16
202259	28.0	1.4040000000000002e-16
202260	30.0	1.498e-16
202261	33.0	1.5949999999999998e-16
202262	36.0	1.669e-16
202263	39.0	1.719e-16
202264	42.0	1.76e-16
202265	45.0	1.79e-16
202266	50.0	1.8300000000000002e-16
202267	55.0	1.837e-16
202268	60.0	1.845e-16
202269	70.0	1.855e-16
202270	80.0	1.85e-16
202271	90.0	1.8120000000000002e-16
202272	100.0	1.767e-16
202273	120.0	1.673e-16
202274	140.0	1.5819999999999999e-16
202275	160.0	1.4950000000000001e-16
202276	180.0	1.418e-16
202277	200.0	1.348e-16
202278	250.0	1.195e-16
202279	300.0	1.08e-16
202280	350.0	9.8e-17
202281	400.0	9.019999999999999e-17
