	e_energy	sigma
	12.99292646	1281.2804
	13.00653161	1419.4563
	13.02013677	2306.5083
	13.03374193	1847.791
	13.04734709	1462.8488
	13.06095225	1269.8756
	13.07455741	1104.3303
	13.08816257	1148.2858
	13.10176772	995.25295
	13.11537288	887.10429
	13.12897804	802.14251
	13.1425832	728.86044
	13.15618836	654.1981
	13.16979352	747.14896
	13.18339868	719.41809
	13.19700383	686.93481
	13.21060899	666.44908
	13.22421415	649.91151
	13.23781931	635.32454
	13.25142447	618.83962
	13.26502963	606.3392
	13.27863479	593.98386
	13.3058451	520.35046
	13.31945026	516.86711
	13.33305542	514.15528
	13.34666058	508.45522
	13.36026574	501.30008
	13.3738709	473.78521
	13.38747605	476.86356
	13.40108121	475.5527
	13.41468637	474.37479
	13.42829153	470.43719
	13.44189669	471.71865
	13.45550185	465.19548
	13.46910701	459.12395
	13.48271216	485.95711
	13.49631732	476.81749
	13.50992248	467.89157
	13.52352764	457.60128
	13.5371328	456.84479
	13.55073796	451.03647
	13.56434312	446.10712
	13.57794827	440.76008
	13.59155343	436.87041
	13.60515859	452.14264
	13.61876375	450.20772
	13.63236891	452.6296
	13.64597407	450.94083
	13.65957923	447.01523
	13.67318438	441.90939
	13.7003947	449.02687
	13.71399986	448.56147
	13.75481534	446.83906
	13.76842049	445.6559
	13.78202565	451.63088
	13.79563081	455.42436
	13.80923597	458.09909
	13.82284113	435.66924
	13.83644629	425.57315
	13.85005145	422.53949
	13.8636566	411.67103
	13.87726176	409.06348
	13.89086692	410.50922
	13.90447208	409.70437
	13.91807724	410.15378
	13.9316824	416.04742
	13.94528756	411.58189
	13.95889272	409.99907
	13.97249787	408.76918
	13.98610303	410.49947
	13.99970819	411.96361
	14.01331335	413.40431
	14.02691851	414.60235
	14.04052367	417.03229
	14.05412883	423.47675
	14.06773398	427.72981
	14.08133914	427.88246
	14.0949443	424.16404
	14.10854946	419.70832
	14.12215462	416.77709
	14.13575978	412.62009
	14.14936494	410.34192
	14.16297009	407.56525
	14.17657525	406.6942
	14.19018041	405.21397
	14.20378557	404.31431
	14.21739073	402.87961
	14.23099589	401.00627
	14.24460105	399.78112
	14.2582062	399.21986
	14.27181136	398.66231
	14.28541652	398.57759
	14.29902168	399.53319
	14.31262684	396.99493
	14.326232	394.32309
	14.33983716	391.84045
	14.35344231	392.54925
	14.36704747	391.65431
	14.38065263	388.96793
	14.39425779	386.17475
	14.40786295	378.38395
	14.42146811	370.96912
	14.43507327	363.55329
	14.44867842	358.738
	14.46228358	357.25182
	14.47588874	354.12704
	14.4894939	352.71281
	14.50309906	352.52434
	14.51670422	352.41586
	14.53030938	353.99441
	14.54391453	356.69718
	14.55751969	352.94304
	14.57112485	351.62053
	14.58473001	353.93112
	14.59833517	355.1947
	14.61194033	355.67979
	14.62554549	356.08261
	14.63915064	356.61123
	14.6527558	356.03826
	14.66636096	357.87008
	14.67996612	357.7285
	14.69357128	358.5462
	14.70717644	358.53191
	14.7207816	359.55231
	14.73438675	358.21608
	14.74799191	357.36892
	14.76159707	358.75348
	14.77520223	359.28648
	14.78880739	359.6455
	14.80241255	359.61002
	14.81601771	358.66452
	14.82962286	358.56018
	14.84322802	358.30953
	14.85683318	358.04082
	14.87043834	356.60411
	14.8840435	357.23765
	14.89764866	355.904
	14.91125382	354.64245
	14.92485898	354.10008
	14.93846413	351.66027
	14.95206929	349.69838
	14.96567445	348.20551
	14.97927961	346.76383
	14.99288477	346.55435
	15.00648993	346.34835
	15.02009509	346.60937
	15.03370024	344.2468
	15.0473054	342.97024
	15.06091056	340.80293
	15.07451572	339.00791
	15.08812088	337.68491
	15.10172604	336.05291
	15.1153312	335.03889
	15.12893635	333.7619
	15.14254151	331.53425
	15.15614667	331.01689
	15.16975183	329.73475
	15.18335699	328.50165
	15.19696215	327.38526
	15.21056731	326.53751
	15.22417246	325.39441
	15.23777762	323.56791
	15.25138278	320.98657
	15.26498794	318.68115
	15.2785931	316.14279
	15.29219826	314.08165
	15.30580342	312.26427
	15.31940857	308.78316
	15.33301373	306.00686
	15.34661889	305.4138
	15.36022405	303.0221
	15.37382921	300.83348
	15.38743437	298.65868
	15.40103953	297.25127
	15.41464468	296.57588
	15.42824984	297.46747
	15.441855	298.23697
	15.45546016	298.62677
	15.46906532	299.22919
