	e_energy	sigma
	11.61880544	31.586851
	11.6324106	37.662964
	11.64601575	54.783353
	11.65962091	118.34867
	11.67322607	168.62877
	11.68683123	222.68741
	11.70043639	276.80071
	11.71404155	329.48395
	11.72764671	373.96746
	11.74125186	410.11438
	11.75485702	437.76138
	11.76846218	457.60143
	11.78206734	470.42208
	11.7956725	469.61041
	11.80927766	452.82882
	11.82288282	428.40899
	11.83648797	406.29647
	11.85009313	387.23307
	11.86369829	371.0661
	11.87730345	356.62583
	11.89090861	343.52139
	11.90451377	335.75367
	11.91811893	328.77411
	11.93172408	323.01231
	11.94532924	317.68132
	11.9589344	312.60845
	11.97253956	307.63497
	11.98614472	303.21116
	11.99974988	302.06563
	12.01335504	291.18096
	12.0269602	286.51391
	12.04056535	267.87315
	12.05417051	262.58072
	12.06777567	255.84925
	12.08138083	252.38899
	12.09498599	249.43645
	12.10859115	246.78432
	12.12219631	243.6391
	12.13580146	240.91993
	12.14940662	237.8907
	12.16301178	233.70883
	12.17661694	229.3967
	12.1902221	226.35492
	12.20382726	223.80722
	12.21743242	222.44179
	12.23103757	220.05897
	12.24464273	216.08451
	12.25824789	213.29385
	12.27185305	210.48239
	12.28545821	207.70051
	12.29906337	204.97598
	12.31266853	202.41131
	12.32627368	199.98441
	12.33987884	198.22842
	12.353484	197.7113
	12.36708916	196.04595
	12.38069432	193.80162
	12.39429948	191.7157
	12.40790464	189.85403
	12.42150979	188.26051
	12.43511495	186.81567
	12.44872011	185.50307
	12.46232527	184.30583
	12.47593043	183.20787
	12.48953559	182.12101
	12.50314075	181.22338
	12.5167459	180.40501
	12.53035106	179.65885
	12.54395622	178.98531
	12.55756138	178.35861
	12.57116654	177.79168
	12.5847717	177.27631
	12.59837686	176.81665
	12.61198201	176.40693
	12.62558717	176.07608
	12.63919233	175.86152
	12.65279749	175.86763
	12.66640265	176.29089
	12.68000781	176.93317
	12.69361297	173.71488
	12.70721812	172.13916
	12.72082328	171.61617
	12.73442844	171.15839
	12.7480336	170.50987
	12.76163876	169.2341
	12.77524392	165.3214
	12.78884908	149.33998
	12.80245423	157.8109
	12.81605939	165.80304
	12.82966455	167.10421
	12.84326971	167.28967
	12.85687487	167.43281
	12.87048003	170.33303
	12.88408519	178.96592
	12.89769034	190.90576
	12.9112955	195.08487
	12.92490066	195.87293
	12.93850582	198.59607
	12.95211098	199.58718
	12.96571614	200.47157
	12.9793213	202.87807
	12.99292646	209.04734
	13.00653161	207.8971
	13.02013677	200.48661
	13.03374193	194.99679
	13.04734709	182.13329
	13.06095225	166.83658
	13.07455741	162.73169
	13.08816257	160.48906
	13.10176772	159.04479
	13.11537288	158.9394
	13.12897804	158.21005
	13.1425832	157.45184
	13.15618836	157.73634
	13.16979352	156.75774
	13.18339868	156.18222
	13.19700383	156.13166
	13.21060899	155.63361
	13.22421415	154.78256
	13.23781931	154.96262
	13.25142447	154.86918
	13.26502963	154.69599
	13.27863479	153.65154
	13.3058451	152.8118
	13.31945026	152.84644
	13.33305542	152.72513
	13.34666058	153.07286
	13.36026574	153.07354
	13.3738709	153.24452
	13.38747605	153.8022
	13.40108121	153.66922
	13.41468637	153.48515
	13.42829153	151.71968
	13.44189669	151.8636
	13.45550185	152.16202
	13.46910701	148.78026
	13.48271216	149.27655
	13.49631732	150.53232
	13.50992248	147.78081
	13.52352764	146.68763
	13.5371328	145.71334
	13.55073796	144.1804
	13.56434312	142.83071
	13.57794827	142.06866
	13.59155343	140.44216
	13.60515859	141.07218
	13.61876375	137.7285
	13.63236891	134.93584
	13.64597407	131.83824
	13.65957923	127.70552
	13.67318438	128.26583
	13.7003947	128.30491
	13.71399986	120.43737
	13.75481534	130.44119
	13.76842049	131.98499
	13.78202565	132.90275
	13.79563081	130.1011
	13.80923597	129.12948
	13.82284113	128.60905
	13.83644629	128.54362
	13.85005145	128.90139
	13.8636566	131.19405
	13.87726176	131.40966
	13.89086692	131.18862
	13.90447208	132.73315
	13.91807724	133.18147
	13.9316824	131.26398
	13.94528756	130.76966
	13.95889272	130.60974
	13.97249787	129.73863
	13.98610303	129.54378
	13.99970819	128.5526
	14.01331335	127.36026
	14.02691851	127.12171
	14.04052367	127.69073
	14.05412883	127.74691
	14.06773398	127.91075
	14.08133914	126.65113
	14.0949443	125.37766
	14.10854946	124.6442
	14.12215462	124.04995
	14.13575978	123.78074
	14.14936494	123.07134
	14.16297009	122.5165
	14.17657525	121.85188
	14.19018041	122.53582
	14.20378557	121.76654
	14.21739073	120.63104
	14.23099589	118.91888
	14.24460105	118.06843
	14.2582062	117.25822
	14.27181136	116.45552
	14.28541652	115.82636
	14.29902168	114.96176
	14.31262684	114.11954
	14.326232	113.40401
	14.33983716	113.22971
	14.35344231	113.07041
	14.36704747	112.1822
	14.38065263	112.35884
	14.39425779	110.60452
	14.40786295	110.31768
	14.42146811	110.25286
	14.43507327	110.35262
	14.44867842	112.41319
	14.46228358	113.15685
	14.47588874	112.84903
	14.4894939	112.83716
	14.50309906	113.21064
	14.51670422	113.13136
	14.53030938	111.72687
	14.54391453	111.55139
	14.55751969	111.34576
	14.57112485	111.66545
	14.58473001	111.57518
	14.59833517	111.10276
	14.61194033	110.99532
	14.62554549	110.17045
	14.63915064	110.17707
	14.6527558	109.51976
	14.66636096	109.51272
	14.67996612	109.16351
	14.69357128	109.01478
	14.70717644	108.69396
	14.7207816	108.14513
	14.73438675	108.30065
	14.74799191	107.64743
	14.76159707	106.70855
	14.77520223	105.70612
	14.78880739	105.81863
	14.80241255	105.94867
	14.81601771	105.78223
	14.82962286	105.42682
	14.84322802	104.83765
	14.85683318	104.6365
	14.87043834	104.18594
	14.8840435	103.63657
