	e_energy	sigma
	3.57815671	0.38762584
	3.59176187	0.4647005
	3.60536703	0.56831891
	3.61897219	0.66408585
	3.63257734	0.76373722
	3.6461825	0.86482931
	3.65978766	0.96719056
	3.67339282	1.0667482
	3.68699798	1.1647425
	3.70060314	1.2608359
	3.7142083	1.3548813
	3.72781345	1.4468358
	3.74141861	1.5367256
	3.75502377	1.6252111
	3.76862893	1.7111166
	3.78223409	1.7952281
	3.79583925	1.8776541
	3.80944441	1.9584724
	3.82304956	2.037805
	3.83665472	2.1157163
	3.85025988	2.1922806
	3.86386504	2.2675842
	3.8774702	2.342018
	3.89107536	2.4149113
	3.90468052	2.4866723
	3.91828567	2.5573633
	3.93189083	2.6270173
	3.94549599	2.6956451
	3.95910115	2.7632872
	3.97270631	2.8299651
	3.98631147	2.8956989
	3.99991663	2.9605107
	4.01352178	3.0244348
	4.02712694	3.0876088
	4.0407321	3.1497477
	4.05433726	3.2110432
	4.06794242	3.2714971
	4.08154758	3.3311392
	4.09515274	3.3899733
	4.10875789	3.4479934
	4.12236305	3.5052583
	4.13596821	3.5617439
	4.14957337	3.6175008
	4.16317853	3.672507
	4.17678369	3.7267917
	4.19038885	3.7803748
	4.203994	3.8333157
	4.21759916	3.8855204
	4.23120432	3.9370552
	4.24480948	3.9879317
	4.25841464	4.0381774
	4.2720198	4.0877832
	4.28562496	4.1367851
	4.29923011	4.1851839
	4.31283527	4.2329823
	4.32644043	4.2802219
	4.34004559	4.3268885
	4.35365075	4.3729899
	4.36725591	4.4185523
	4.38086107	4.4635849
	4.39446623	4.5080895
	4.40807138	4.5520993
	4.42167654	4.5956494
	4.4352817	4.6386475
	4.44888686	4.6811677
	4.46249202	4.7232296
	4.47609718	4.7648154
	4.48970234	4.8059699
	4.50330749	4.846635
	4.51691265	4.8868912
	4.53051781	4.9267283
	4.54412297	4.9661414
	4.55772813	5.0051492
	4.57133329	5.0437219
	4.58493845	5.0819115
	4.5985436	5.1197117
	4.61214876	5.15713
	4.62575392	5.1941737
	4.63935908	5.2308282
	4.65296424	5.2671383
	4.6665694	5.3031214
	4.68017456	5.3386979
	4.69377971	5.373939
	4.70738487	5.4088366
	4.72099003	5.4433996
	4.73459519	5.4776528
	4.74820035	5.5115536
	4.76180551	5.5451666
	4.77541067	5.5784567
	4.78901582	5.6113882
	4.80262098	5.6440216
	4.81622614	5.6763827
	4.8298313	5.708457
	4.84343646	5.7402161
	4.85704162	5.7716928
	4.87064678	5.8028921
	4.88425193	5.8337691
	4.89785709	5.8643704
	4.91146225	5.8947532
	4.92506741	5.9248268
	4.93867257	5.9546789
	4.95227773	5.9842231
	4.96588289	6.0135195
	4.97948804	6.0425844
	4.9930932	6.0713289
	5.00669836	6.0998548
	5.02030352	6.1281405
	5.03390868	6.156144
	5.04751384	6.1839398
	5.061119	6.2115156
	5.07472415	6.2388437
	5.08832931	6.2659276
	5.10193447	6.2927875
	5.11553963	6.3193819
	5.12914479	6.3457854
	5.14274995	6.3719971
	5.15635511	6.3979573
	5.16996026	6.4236968
	5.18356542	6.4491732
	5.19717058	6.4744938
	5.21077574	6.4996011
	5.2243809	6.5244916
	5.23798606	6.5492108
	5.25159122	6.5736542
	5.26519637	6.59793
	5.27880153	6.6220263
	5.29240669	6.6459096
	5.30601185	6.6696173
	5.31961701	6.6931189
	5.33322217	6.7164467
	5.34682733	6.7395152
	5.36043249	6.7624505
	5.37403764	6.785199
	5.3876428	6.807767
	5.40124796	6.8301551
	5.41485312	6.8523647
	5.42845828	6.8743942
	5.44206344	6.8962656
	5.4556686	6.9179569
	5.46927375	6.9394689
	5.48287891	6.9608078
	5.49648407	6.9819792
	5.51008923	7.0029959
	5.52369439	7.0238375
	5.53729955	7.0444117
	5.55090471	7.0649592
	5.56450986	7.0853273
	5.57811502	7.1055323
	5.59172018	7.1255921
	5.60532534	7.1454854
	5.6189305	7.1652146
	5.63253566	7.184805
	5.64614082	7.2042437
	5.65974597	7.2235414
	5.67335113	7.2426894
	5.68695629	7.2616816
	5.70056145	7.2805308
	5.71416661	7.2992378
	5.72777177	7.3178099
	5.74137693	7.3361712
	5.75498208	7.3544481
	5.76858724	7.3725963
	5.7821924	7.3906057
	5.79579756	7.4084826
	5.80940272	7.4262619
	5.82300788	7.443876
	5.83661304	7.461344
	5.85021819	7.4786899
	5.86382335	7.4959039
	5.87742851	7.5129876
	5.89103367	7.5298965
	5.90463883	7.5467179
	5.91824399	7.5634261
	5.93184915	7.5800205
	5.9454543	7.5964766
	5.95905946	7.6128026
	5.97266462	7.6289409
	5.98626978	7.6450391
	5.99987494	7.66101
	6.0134801	7.6768682
