	e_energy	sigma
	13.34753729	0.0
	13.36026574	1.081992
	13.3738709	1.4417091
	13.38747605	2.0099884
	13.40108121	1.9146388
	13.41468637	2.5123234
	13.42829153	2.7933663
	13.44189669	3.0455543
	13.45550185	3.2263654
	13.46910701	3.3508314
	13.48271216	3.5222645
	13.49631732	3.5436315
	13.50992248	3.5012824
	13.52352764	3.5209626
	13.5371328	3.0369941
	13.55073796	2.9801579
	13.56434312	2.8557316
	13.57794827	2.851607
	13.59155343	2.8029804
	13.60515859	2.8798069
	13.61876375	2.6018985
	13.63236891	2.7350257
	13.64597407	2.7083666
	13.65957923	2.7326306
	13.67318438	2.8316846
	13.7003947	2.8745836
	13.71399986	2.9570953
	13.75481534	2.4436739
	13.76842049	2.8266345
	13.78202565	2.5237404
	13.79563081	3.2293515
	13.80923597	3.0902085
	13.82284113	2.5546419
	13.83644629	2.4330148
	13.85005145	2.352079
	13.8636566	2.1954685
	13.87726176	2.1748602
	13.89086692	2.3641886
	13.90447208	2.3397458
	13.91807724	2.4413975
	13.9316824	2.169306
	13.94528756	1.9058241
	13.95889272	1.7312356
	13.97249787	1.9099491
	13.98610303	1.9962285
	13.99970819	1.6610197
	14.01331335	1.6390216
	14.02691851	1.7165573
	14.04052367	1.6653769
	14.05412883	1.5606518
	14.06773398	1.5873538
	14.08133914	1.5793881
	14.0949443	1.4948533
	14.10854946	1.5110795
	14.12215462	1.5152641
	14.13575978	1.5560649
	14.14936494	1.564386
	14.16297009	1.5324518
	14.17657525	1.5453247
	14.19018041	1.5544796
	14.20378557	1.6342073
	14.21739073	1.4658615
	14.23099589	1.4843221
	14.24460105	1.4501823
	14.2582062	1.4591876
	14.27181136	1.4101751
	14.28541652	1.4297691
	14.29902168	1.5060459
	14.31262684	1.5175199
	14.326232	1.5300333
	14.33983716	1.4744354
	14.35344231	1.4168645
	14.36704747	1.3978433
	14.38065263	1.4173627
	14.39425779	1.4487559
	14.40786295	1.4099951
	14.42146811	1.4926917
	14.43507327	1.4127003
	14.44867842	1.2813377
	14.46228358	1.2195347
	14.47588874	1.2210854
	14.4894939	1.1836597
	14.50309906	1.1458779
	14.51670422	1.1568622
	14.53030938	1.1756591
	14.54391453	1.130251
	14.55751969	1.1015244
	14.57112485	1.1076172
	14.58473001	1.1613804
	14.59833517	1.1176925
	14.61194033	1.0486303
	14.62554549	1.0424684
	14.63915064	0.99065803
	14.6527558	0.96927796
	14.66636096	1.004204
	14.67996612	1.0347341
	14.69357128	1.0334728
	14.70717644	1.0257172
	14.7207816	1.0330085
	14.73438675	1.0334211
	14.74799191	0.98067641
	14.76159707	1.0280643
	14.77520223	1.0499249
	14.78880739	1.0350533
	14.80241255	1.0069264
	14.81601771	1.008477
	14.82962286	1.0080129
	14.84322802	1.0191054
	14.85683318	1.0044056
	14.87043834	0.95060844
	14.8840435	0.95094631
