	e_energy	sigma
	13.2921058	0.0
	13.3058451	1.892988
	13.31945026	2.4897868
	13.33305542	3.3669263
	13.34666058	3.5268675
	13.36026574	3.2132536
	13.3738709	3.5606084
	13.38747605	2.3305174
	13.40108121	2.5277339
	13.41468637	2.5478628
	13.42829153	3.0731623
	13.44189669	3.2451605
	13.45550185	3.4950033
	13.46910701	3.4770464
	13.48271216	3.5836441
	13.49631732	3.679782
	13.50992248	3.6661813
	13.52352764	3.6936731
	13.5371328	3.7577832
	13.55073796	3.7827465
	13.56434312	3.8263712
	13.57794827	3.9024511
	13.59155343	3.8959033
	13.60515859	3.9154566
	13.61876375	3.6548213
	13.63236891	3.8077954
	13.64597407	4.0364939
	13.65957923	3.9669036
	13.67318438	4.4682642
	13.7003947	4.186686
	13.71399986	3.8734041
	13.75481534	4.4760222
	13.76842049	4.6455403
	13.78202565	3.89754
	13.79563081	4.0861125
	13.80923597	3.8294582
	13.82284113	3.6317936
	13.83644629	3.2191386
	13.85005145	3.084439
	13.8636566	2.8667598
	13.87726176	2.8014522
	13.89086692	2.8576049
	13.90447208	2.4762063
	13.91807724	2.6954525
	13.9316824	2.8237587
	13.94528756	2.6398877
	13.95889272	2.6183436
	13.97249787	2.7136362
	13.98610303	2.9932784
	13.99970819	2.8727035
	14.01331335	2.8723695
	14.02691851	2.6220079
	14.04052367	2.5424696
	14.05412883	2.5020459
	14.06773398	2.783584
	14.08133914	2.6710529
	14.0949443	2.6481847
	14.10854946	2.5055154
	14.12215462	2.3580279
	14.13575978	2.2456021
	14.14936494	2.2300787
	14.16297009	2.1682769
	14.17657525	2.1506835
	14.19018041	2.0711438
	14.20378557	2.0856396
	14.21739073	1.94714
	14.23099589	1.8344648
	14.24460105	1.8066823
	14.2582062	1.7707381
	14.27181136	1.8362021
	14.28541652	1.8443595
	14.29902168	1.9274894
	14.31262684	1.9822336
	14.326232	2.0336163
	14.33983716	2.1185775
	14.35344231	2.1675681
	14.36704747	2.0098112
	14.38065263	2.0498403
	14.39425779	1.963829
	14.40786295	1.9135305
	14.42146811	1.876141
	14.43507327	1.7262914
	14.44867842	1.6190819
	14.46228358	1.5685578
	14.47588874	1.4721333
	14.4894939	1.4168788
	14.50309906	1.3901832
	14.51670422	1.4113225
	14.53030938	1.3583269
	14.54391453	1.3303212
	14.55751969	1.3260356
	14.57112485	1.3338508
	14.58473001	1.3917885
	14.59833517	1.4170686
	14.61194033	1.4617223
	14.62554549	1.4515685
	14.63915064	1.4435524
	14.6527558	1.4410203
	14.66636096	1.4660022
	14.67996612	1.4400866
	14.69357128	1.408595
	14.70717644	1.4181999
	14.7207816	1.4197319
	14.73438675	1.4233302
	14.74799191	1.3614037
	14.76159707	1.3883686
	14.77520223	1.4023118
	14.78880739	1.456346
	14.80241255	1.4053411
	14.81601771	1.394311
	14.82962286	1.3565117
	14.84322802	1.3464423
	14.85683318	1.3223802
	14.87043834	1.2576985
	14.8840435	1.2160475
