	e_energy	sigma
	13.19303956	0.0
	13.19700383	0.3797207
	13.21060899	0.82247759
	13.22421415	0.98991457
	13.23781931	1.2803116
	13.25142447	1.4937036
	13.26502963	1.6529944
	13.27863479	1.9895033
	13.3058451	1.5979211
	13.31945026	1.6586099
	13.33305542	2.1771031
	13.34666058	2.1449074
	13.36026574	1.8279156
	13.3738709	1.6726448
	13.38747605	1.0713457
	13.40108121	0.95640825
	13.41468637	1.1303534
	13.42829153	0.94820352
	13.44189669	0.85450602
	13.45550185	0.88078665
	13.46910701	0.76981115
	13.48271216	0.80355505
	13.49631732	0.80105637
	13.50992248	0.62957566
	13.52352764	0.52593009
	13.5371328	0.51902602
	13.55073796	0.50126933
	13.56434312	0.47168913
	13.57794827	0.44664493
	13.59155343	0.43506554
	13.60515859	0.43807955
	13.61876375	0.51516512
	13.63236891	0.56944991
	13.64597407	0.56728321
	13.65957923	0.6067809
	13.67318438	0.61393346
	13.7003947	0.30356619
	13.71399986	0.35260442
	13.75481534	0.50907718
	13.76842049	0.47025116
	13.78202565	0.53045491
	13.79563081	0.83542266
	13.80923597	0.76816082
	13.82284113	0.69391767
	13.83644629	0.72642946
	13.85005145	0.84200843
	13.8636566	0.83627884
	13.87726176	0.8413903
	13.89086692	0.86026682
	13.90447208	0.7359536
	13.91807724	0.65782044
	13.9316824	0.77096947
	13.94528756	0.69685871
	13.95889272	0.64056452
	13.97249787	0.59436858
	13.98610303	0.53198991
	13.99970819	0.47989375
	14.01331335	0.46397874
	14.02691851	0.47447328
	14.04052367	0.46082148
	14.05412883	0.44014742
	14.06773398	0.46301449
	14.08133914	0.49918052
	14.0949443	0.51687983
	14.10854946	0.53341541
	14.12215462	0.53131947
	14.13575978	0.5841746
	14.14936494	0.57803869
	14.16297009	0.60314249
	14.17657525	0.58287419
	14.19018041	0.57877648
	14.20378557	0.5362799
	14.21739073	0.540583
	14.23099589	0.57864774
	14.24460105	0.58193276
	14.2582062	0.5960137
	14.27181136	0.6019703
	14.28541652	0.6064537
	14.29902168	0.60722491
	14.31262684	0.57992482
	14.326232	0.54598521
	14.33983716	0.49414281
	14.35344231	0.53875052
	14.36704747	0.60446775
	14.38065263	0.62588976
	14.39425779	0.64746293
	14.40786295	0.66602886
	14.42146811	0.64621431
	14.43507327	0.61488268
	14.44867842	0.63613294
	14.46228358	0.65463487
	14.47588874	0.63647868
	14.4894939	0.61274575
	14.50309906	0.64078285
	14.51670422	0.66029125
	14.53030938	0.57085926
	14.54391453	0.51647574
	14.55751969	0.45808125
	14.57112485	0.47534967
	14.58473001	0.50480505
	14.59833517	0.51737097
	14.61194033	0.47803101
	14.62554549	0.43578693
	14.63915064	0.44606694
	14.6527558	0.46041156
	14.66636096	0.46316064
	14.67996612	0.47319335
	14.69357128	0.48086127
	14.70717644	0.48457108
	14.7207816	0.48581287
	14.73438675	0.46755022
	14.74799191	0.45465377
	14.76159707	0.49295011
	14.77520223	0.4909292
	14.78880739	0.47845006
	14.80241255	0.47322288
	14.81601771	0.47249178
	14.82962286	0.49941881
	14.84322802	0.48143881
	14.85683318	0.48639635
	14.87043834	0.4826937
