	e_energy	sigma
	13.26777923	0.0
	13.27863479	3.2960837
	13.3058451	8.1228807
	13.31945026	10.536818
	13.33305542	15.208062
	13.34666058	17.908948
	13.36026574	15.916305
	13.3738709	19.376462
	13.38747605	21.258114
	13.40108121	23.559116
	13.41468637	25.563016
	13.42829153	26.582686
	13.44189669	27.854497
	13.45550185	29.244269
	13.46910701	29.286178
	13.48271216	29.717205
	13.49631732	30.010653
	13.50992248	30.103757
	13.52352764	30.628836
	13.5371328	31.253785
	13.55073796	31.994769
	13.56434312	32.885276
	13.57794827	38.433502
	13.59155343	40.514004
	13.60515859	41.020562
	13.61876375	41.398245
	13.63236891	44.342941
	13.64597407	44.246337
	13.65957923	45.702429
	13.67318438	47.06735
	13.7003947	51.677027
	13.71399986	48.640016
	13.75481534	50.474568
	13.76842049	49.135061
	13.78202565	49.160067
	13.79563081	50.139738
	13.80923597	49.947523
	13.82284113	49.542812
	13.83644629	50.127598
	13.85005145	50.89209
	13.8636566	51.408069
	13.87726176	52.19132
	13.89086692	52.949812
	13.90447208	52.525651
	13.91807724	52.253494
	13.9316824	52.88251
	13.94528756	53.058963
	13.95889272	53.377743
	13.97249787	53.746473
	13.98610303	55.392564
	13.99970819	55.980399
	14.01331335	55.30831
	14.02691851	54.772923
	14.04052367	53.592008
	14.05412883	53.097432
	14.06773398	52.909359
	14.08133914	53.092678
	14.0949443	53.380211
	14.10854946	52.782595
	14.12215462	52.268592
	14.13575978	52.531887
	14.14936494	52.727886
	14.16297009	52.928583
	14.17657525	52.748897
	14.19018041	53.091386
	14.20378557	53.423723
	14.21739073	53.041315
	14.23099589	52.95607
	14.24460105	53.814381
	14.2582062	54.16446
	14.27181136	53.914243
	14.28541652	53.817036
	14.29902168	53.804304
	14.31262684	53.887628
	14.326232	54.077195
	14.33983716	54.161099
	14.35344231	53.771034
	14.36704747	54.631276
	14.38065263	54.654307
	14.39425779	54.651073
	14.40786295	54.366331
	14.42146811	54.178279
	14.43507327	53.944868
	14.44867842	53.480549
	14.46228358	53.588464
