	e_energy	sigma
	12.98346461	0.0
	12.99292646	1.6302075
	13.00653161	3.236811
	13.02013677	3.7886215
	13.03374193	4.1373523
	13.04734709	4.9958846
	13.06095225	5.5719709
	13.07455741	7.0170234
	13.08816257	5.9455215
	13.10176772	5.2677457
	13.11537288	4.7926569
	13.12897804	4.6545004
	13.1425832	4.4831096
	13.15618836	4.2949061
	13.16979352	4.3365378
	13.18339868	4.2325258
	13.19700383	4.065954
	13.21060899	3.9509281
	13.22421415	3.8820623
	13.23781931	3.7657598
	13.25142447	3.5359221
	13.26502963	3.5467767
	13.27863479	3.5970308
	13.3058451	4.1591552
	13.31945026	4.096227
	13.33305542	3.8068559
	13.34666058	3.9780947
	13.36026574	3.9544398
	13.3738709	4.0010648
	13.38747605	3.9578267
	13.40108121	3.8909709
	13.41468637	3.9292834
	13.42829153	3.8157746
	13.44189669	3.8335097
	13.45550185	3.7905921
	13.46910701	3.7629084
	13.48271216	3.8117694
	13.49631732	3.7624885
	13.50992248	3.7422838
	13.52352764	3.7407918
	13.5371328	3.5642934
	13.55073796	3.5408198
	13.56434312	3.6783436
	13.57794827	3.6781077
	13.59155343	3.5872807
	13.60515859	3.4469175
	13.61876375	3.3549925
	13.63236891	3.4161604
	13.64597407	3.3640597
	13.65957923	3.2069685
	13.67318438	2.8276128
	13.7003947	3.0173351
	13.71399986	2.4918266
	13.75481534	2.1696661
	13.76842049	2.2940655
	13.78202565	2.5395266
	13.79563081	2.6911426
	13.80923597	2.7404785
	13.82284113	2.7412813
	13.83644629	2.8163324
	13.85005145	2.8006831
	13.8636566	2.7938909
	13.87726176	2.7227074
	13.89086692	2.631794
	13.90447208	2.6571773
	13.91807724	2.5533183
	13.9316824	2.6015244
	13.94528756	2.5393695
	13.95889272	2.5585753
	13.97249787	2.539112
	13.98610303	2.4796145
	13.99970819	2.3850492
	14.01331335	2.3126107
	14.02691851	2.2671739
	14.04052367	2.3254409
	14.05412883	2.2919683
	14.06773398	2.2640265
	14.08133914	2.2320372
	14.0949443	2.2131488
	14.10854946	2.2006022
	14.12215462	2.1114862
	14.13575978	2.0681514
	14.14936494	2.103045
	14.16297009	2.0751302
	14.17657525	2.0504628
	14.19018041	2.0576348
	14.20378557	2.0390668
	14.21739073	2.0197496
	14.23099589	2.0045794
	14.24460105	1.952568
	14.2582062	1.8958497
	14.27181136	1.8494566
	14.28541652	1.7615765
	14.29902168	1.6615099
	14.31262684	1.5925689
	14.326232	1.5661164
	14.33983716	1.4985169
	14.35344231	1.5627412
	14.36704747	1.5218832
	14.38065263	1.5450186
	14.39425779	1.5485536
