	e_energy	sigma
	12.91785156	0.0
	12.92490066	1.1321625
	12.93850582	1.6498663
	12.95211098	2.7690811
	12.96571614	3.549211
	12.9793213	3.0147392
	12.99292646	4.2550885
	13.00653161	3.7259636
	13.02013677	5.733178
	13.03374193	5.208464
	13.04734709	5.4897364
	13.06095225	6.2389095
	13.07455741	7.4015791
	13.08816257	6.8584125
	13.10176772	6.5374652
	13.11537288	6.5584855
	13.12897804	6.6609231
	13.1425832	6.8150752
	13.15618836	6.4923613
	13.16979352	6.6973553
	13.18339868	6.9996858
	13.19700383	7.3560996
	13.21060899	7.7528903
	13.22421415	6.8271319
	13.23781931	7.0353249
	13.25142447	7.1307982
	13.26502963	7.3674162
	13.27863479	7.2997256
	13.3058451	7.6588173
	13.31945026	8.0370988
	13.33305542	8.6391651
	13.34666058	9.3730099
	13.36026574	10.764209
	13.3738709	11.236921
	13.38747605	8.7896892
	13.40108121	7.9147684
	13.41468637	7.5038554
	13.42829153	7.4091521
	13.44189669	7.3793953
	13.45550185	7.0512388
	13.46910701	6.8152011
	13.48271216	7.0220692
	13.49631732	6.7883174
	13.50992248	6.6620705
	13.52352764	6.5861198
	13.5371328	6.9013387
	13.55073796	6.887693
	13.56434312	6.5878949
	13.57794827	6.685653
	13.59155343	6.764955
	13.60515859	6.8895838
	13.61876375	7.016754
	13.63236891	6.870062
	13.64597407	6.9921059
	13.65957923	7.1915639
	13.67318438	7.5911148
	13.7003947	8.2799911
	13.71399986	7.7569875
	13.75481534	8.736783
	13.76842049	8.7057411
	13.78202565	8.801985
	13.79563081	8.1240248
	13.80923597	8.0508773
	13.82284113	8.0943122
	13.83644629	8.2340965
	13.85005145	8.1592708
	13.8636566	8.0449974
	13.87726176	7.9368891
	13.89086692	7.6550157
	13.90447208	7.666204
	13.91807724	7.6326049
	13.9316824	7.7613539
	13.94528756	7.7492415
	13.95889272	7.6581922
	13.97249787	7.57789
	13.98610303	7.6094258
	13.99970819	7.6130239
	14.01331335	7.6284684
	14.02691851	7.5904819
	14.04052367	7.495867
	14.05412883	7.4166976
	14.06773398	7.2711769
	14.08133914	7.2298466
	14.0949443	7.1933294
	14.10854946	7.1557418
	14.12215462	7.0437918
	14.13575978	7.0593904
	14.14936494	7.1398432
	14.16297009	7.1947699
	14.17657525	7.2050754
	14.19018041	7.1774641
	14.20378557	7.1990294
	14.21739073	7.2212945
	14.23099589	7.2894525
	14.24460105	7.3944359
	14.2582062	7.4473341
	14.27181136	7.5578309
	14.28541652	7.6458062
	14.29902168	7.7066042
	14.31262684	7.804369
	14.326232	7.9877292
	14.33983716	8.2260454
	14.35344231	8.4323787
	14.36704747	8.4964028
	14.38065263	8.7802327
	14.39425779	8.5926248
	14.40786295	8.5972307
	14.42146811	8.5953742
	14.43507327	8.5768738
	14.44867842	8.3697552
	14.46228358	8.2870301
	14.47588874	8.2324503
	14.4894939	8.2776164
	14.50309906	8.3542794
	14.51670422	8.2819369
	14.53030938	8.3120569
	14.54391453	8.4815367
	14.55751969	8.4518373
	14.57112485	8.4987819
	14.58473001	8.5298482
	14.59833517	8.4158125
	14.61194033	8.3976726
	14.62554549	8.4942073
	14.63915064	8.4716371
	14.6527558	8.5129272
	14.66636096	8.4805913
	14.67996612	8.4561849
	14.69357128	8.5130106
	14.70717644	8.6011945
	14.7207816	8.6175291
	14.73438675	8.640571
	14.74799191	8.6578103
	14.76159707	8.7387925
	14.77520223	8.8036749
	14.78880739	8.7457451
	14.80241255	8.7381258
	14.81601771	8.8370473
	14.82962286	8.9158485
	14.84322802	8.8849341
	14.85683318	8.9222364
	14.87043834	9.0149335
	14.8840435	9.022461
	14.89764866	8.9786716
	14.91125382	9.0017609
	14.92485898	9.0481347
	14.93846413	9.0248997
	14.95206929	9.0177507
	14.96567445	9.057463
	14.97927961	9.0983177
	14.99288477	9.1140303
	15.00648993	9.15054
	15.02009509	9.1863612
	15.03370024	9.2150362
	15.0473054	9.2672411
	15.06091056	9.2747255
	15.07451572	9.2921381
	15.08812088	9.343107
	15.10172604	9.4213636
	15.1153312	9.4617074
	15.12893635	9.4802439
	15.14254151	9.5175461
	15.15614667	9.5271133
	15.16975183	9.5357292
	15.18335699	9.5491884
	15.19696215	9.5986642
	15.21056731	9.6202094
	15.22417246	9.6397765
	15.23777762	9.6954958
	15.25138278	9.7206128
	15.26498794	9.7597817
	15.2785931	9.7681564
	15.29219826	9.8847248
	15.30580342	9.9323118
	15.31940857	9.8605306
	15.33301373	9.8596645
	15.34661889	9.8713724
	15.36022405	9.8707344
	15.37382921	9.7871661
	15.38743437	9.7836865
	15.40103953	9.8081048
	15.41464468	9.7973805
	15.42824984	9.8260639
	15.441855	9.8592262
	15.45546016	9.8753221
	15.46906532	9.9471748
	15.48267048	10.01618
	15.50988079	10.079451
	15.52348595	10.090635
	15.53709111	10.09004
	15.55069627	10.091063
	15.56430143	10.133586
	15.57790659	10.142509
	15.59151175	10.131566
	15.6051169	10.15184
	15.61872206	10.14081
	15.63232722	10.153125
	15.64593238	10.135592
	15.65953754	10.185497
	15.6731427	10.212236
	15.68674786	10.254624
	15.70035301	10.30055
	15.71395817	10.27197
	15.72756333	10.279886
	15.74116849	10.302342
	15.75477365	10.29626
	15.76837881	10.299909
	15.78198397	10.31742
	15.79558912	10.309281
	15.80919428	10.335116
	15.82279944	10.320205
	15.8364046	10.347492
	15.85000976	10.353237
	15.86361492	10.358892
	15.87722008	10.362083
	15.89082524	10.369518
	15.90443039	10.371443
	15.91803555	10.365696
	15.93164071	10.36222
	15.94524587	10.389763
	15.95885103	10.369467
	15.97245619	10.3778
	15.98606135	10.381203
	15.9996665	10.388146
	16.01327166	10.38407
	16.02687682	10.415267
	16.04048198	10.423131
	16.05408714	10.435165
	16.0676923	10.4738
	16.08129746	10.499978
	16.09490261	10.513349
	16.10850777	10.517107
	16.12211293	10.53254
	16.13571809	10.552861
	16.14932325	10.570743
	16.16292841	10.579514
	16.17653357	10.608381
	16.19013872	10.62005
	16.20374388	10.640047
	16.21734904	10.67459
	16.2309542	10.684178
	16.24455936	10.690186
	16.25816452	10.712752
	16.27176968	10.711306
	16.28537483	10.715317
	16.29897999	10.74347
	16.31258515	10.760132
	16.32619031	10.797835
	16.33979547	10.796767
	16.35340063	10.817054
	16.36700579	10.834146
	16.3942161	10.873944
	16.40782126	10.880147
	16.42142642	10.894564
	16.43503158	10.896934
	16.44863674	10.894192
	16.4622419	10.912611
	16.47584705	10.92776
	16.48945221	10.935281
	16.50305737	10.944981
	16.51666253	10.942209
	16.53026769	10.948957
	16.54387285	10.939238
	16.55747801	10.962955
	16.57108316	10.998699
	16.58468832	10.990644
	16.59829348	10.992591
	16.61189864	10.997942
	16.6255038	10.99243
	16.63910896	11.014933
	16.65271412	11.010416
	16.67992443	11.008397
	16.69352959	11.003104
	16.70713475	11.018317
	16.72073991	11.004574
	16.73434507	11.028697
	16.74795023	11.059335
	16.76155538	11.069111
	16.77516054	11.069876
	16.7887657	11.082617
	16.80237086	11.079883
	16.81597602	11.073041
	16.82958118	11.089345
	16.84318634	11.09293
	16.8567915	11.093366
	16.87039665	11.084734
	16.88400181	11.088655
	16.89760697	11.071578
	16.91121213	11.066148
	16.92481729	11.068534
	16.93842245	11.060712
	16.95202761	11.061171
	16.96563276	11.05935
	16.97923792	11.072343
	16.99284308	11.066561
	17.00644824	11.070535
	17.0200534	11.071231
	17.03365856	11.049914
	17.04726372	11.062301
	17.06086887	11.065711
	17.07447403	11.066834
	17.08807919	11.070559
	17.10168435	11.067444
	17.11528951	11.087387
	17.12889467	11.069569
	17.14249983	11.075415
	17.15610498	11.081153
	17.16971014	11.076732
	17.1833153	11.058396
	17.19692046	11.049876
	17.21052562	11.055718
	17.22413078	11.059553
	17.23773594	11.058327
	17.25134109	11.050689
	17.26494625	11.04185
	17.27855141	11.024789
	17.29215657	11.021781
	17.30576173	11.024346
	17.31936689	11.024236
	17.33297205	11.005075
	17.3465772	10.998077
	17.36018236	10.998035
	17.37378752	10.986663
	17.38739268	10.980576
	17.40099784	10.988233
	17.414603	10.97107
	17.42820816	10.972
	17.44181331	10.977163
	17.45541847	10.967004
	17.46902363	10.976339
	17.48262879	10.966384
	17.49623395	10.980837
	17.50983911	10.98895
	17.52344427	11.019433
	17.53704942	10.987981
	17.55065458	10.981926
	17.56425974	10.984069
	17.5778649	10.98182
	17.59147006	10.9891
	17.60507522	10.984495
	17.61868038	10.99375
	17.63228553	11.001904
	17.64589069	10.999973
	17.65949585	11.004437
	17.67310101	11.012612
	17.68670617	11.008335
	17.70031133	11.012674
	17.71391649	11.018876
	17.72752164	11.02281
	17.7411268	11.016323
	17.75473196	10.999937
	17.76833712	11.014484
	17.78194228	11.018026
	17.79554744	11.020748
	17.8091526	11.022122
	17.82275776	11.020909
	17.83636291	11.012389
	17.84996807	11.011101
	17.86357323	11.003718
	17.87717839	10.998471
	17.89078355	11.000615
	17.90438871	11.008786
	17.91799387	11.002763
	17.93159902	11.002576
	17.94520418	11.004969
	17.95880934	10.996252
	17.9724145	10.99103
	17.98601966	10.999305
	17.99962482	11.004986
	18.01322998	11.001578
	18.02683513	10.996378
	18.04044029	10.994741
	18.05404545	10.997134
	18.06765061	10.990018
	18.08125577	10.980341
	18.09486093	10.97663
	18.10846609	10.967654
	18.12207124	10.953929
	18.1356764	10.940756
	18.14928156	10.939403
	18.16288672	10.937276
	18.17649188	10.941303
	18.19009704	10.942445
	18.2037022	10.940337
	18.21730735	10.936391
	18.23091251	10.929656
	18.24451767	10.934115
	18.25812283	10.929849
	18.27172799	10.942162
	18.28533315	10.939735
	18.29893831	10.93896
	18.31254346	10.9296
	18.32614862	10.946953
	18.33975378	10.937035
	18.35335894	10.936801
	18.3669641	10.934702
	18.38056926	10.929893
	18.39417442	10.936058
	18.40777957	10.925168
	18.42138473	10.92146
	18.43498989	10.925108
	18.44859505	10.92129
	18.46220021	10.914289
	18.47580537	10.916244
	18.48941053	10.897616
	18.50301568	10.897415
	18.51662084	10.886032
	18.530226	10.888171
	18.54383116	10.881841
	18.55743632	10.879874
	18.57104148	10.872433
	18.58464664	10.872891
	18.59825179	10.873403
	18.61185695	10.878958
	18.62546211	10.872386
	18.63906727	10.864575
	18.65267243	10.86306
	18.66627759	10.860361
	18.67988275	10.842976
	18.6934879	10.837845
	18.70709306	11.014128
	18.72069822	10.830743
	18.73430338	10.827779
	18.74790854	10.82345
	18.7615137	10.815317
	18.77511886	10.80296
	18.78872402	10.795749
	18.80232917	10.787076
	18.81593433	10.772683
	18.82953949	10.780701
	18.84314465	10.7764
	18.85674981	10.767233
	18.87035497	10.774347
	18.88396013	10.763968
	18.89756528	10.753429
	18.91117044	10.75633
	18.9247756	10.752918
	18.93838076	10.744953
	18.95198592	10.744269
	18.96559108	10.827517
	18.97919624	10.727849
	18.99280139	10.729278
	19.00640655	10.716166
	19.02001171	10.71101
	19.03361687	10.785339
	19.04722203	10.697139
	19.06082719	10.692646
	19.07443235	10.686243
	19.0880375	10.674247
	19.10164266	10.672123
	19.11524782	10.666214
	19.12885298	10.657742
	19.14245814	10.651343
	19.1560633	10.645156
	19.16966846	10.637493
	19.18327361	10.633222
	19.19687877	10.631271
	19.21048393	10.619293
	19.22408909	10.614382
	19.23769425	10.610136
	19.25129941	10.600465
	19.26490457	10.593997
	19.27850972	10.590448
	19.29211488	10.578246
	19.30572004	10.571232
	19.3193252	10.56461
	19.33293036	10.561738
	19.34653552	10.557738
	19.36014068	10.550124
	19.37374583	10.546946
	19.38735099	10.53779
	19.40095615	10.532914
	19.41456131	10.538484
	19.42816647	10.526545
	19.44177163	10.51029
	19.45537679	10.50403
	19.46898194	10.497714
	19.4825871	10.497193
	19.49619226	10.4925
	19.50979742	10.482508
	19.52340258	10.391617
	19.53700774	10.492044
	19.5506129	10.48501
	19.56421805	10.485925
	19.57782321	10.482144
	19.59142837	10.481754
	19.99958313	10.448951
	24.99947891	7.727283
	29.99937469	5.7430432
	34.99927048	4.3693193
	39.99916626	3.4062502
	44.99906204	2.7121692
	49.99895782	2.192692
	54.99885361	1.7960192
	59.99874939	1.4875031
	64.99864517	1.2437348
	69.99854095	1.0484601
	74.99843674	0.89030313
	79.99833252	0.76095842
	84.9982283	0.65428755
	89.99812408	0.56560438
	94.99801987	0.49138954
	99.99791565	0.42890478
	104.99781143	0.37598571
	109.99770721	0.33093134
	114.997603	0.29239432
	119.99749878	0.25927815
	124.99739456	0.23069221
	129.99729034	0.20592869
	134.99718613	0.18438827
