	e_energy	sigma
	12.91785156	0.0
	12.92490066	1.9862922
	12.93850582	2.2140257
	12.95211098	2.6272194
	12.96571614	4.0567901
	12.9793213	4.0742645
	12.99292646	5.0986728
	13.00653161	5.7777003
	13.02013677	10.167137
	13.03374193	11.98388
	13.04734709	14.062462
	13.06095225	15.595334
	13.07455741	17.274167
	13.08816257	18.989785
	13.10176772	14.848736
	13.11537288	15.381679
	13.12897804	16.064569
	13.1425832	16.73394
	13.15618836	17.242511
	13.16979352	18.284778
	13.18339868	19.558012
	13.19700383	21.006944
	13.21060899	22.506888
	13.22421415	19.054888
	13.23781931	19.784469
	13.25142447	20.151921
	13.26502963	21.023568
	13.27863479	20.936384
	13.3058451	22.157322
	13.31945026	23.182094
	13.33305542	24.319197
	13.34666058	25.349187
	13.36026574	25.803339
	13.3738709	25.203248
	13.38747605	26.755593
	13.40108121	26.451965
	13.41468637	25.756536
	13.42829153	24.83912
	13.44189669	24.588261
	13.45550185	23.432005
	13.46910701	22.732349
	13.48271216	23.644858
	13.49631732	23.643877
	13.50992248	23.489203
	13.52352764	23.628924
	13.5371328	24.319935
	13.55073796	24.417475
	13.56434312	24.451849
	13.57794827	24.540128
	13.59155343	24.724044
	13.60515859	24.70617
	13.61876375	24.731686
	13.63236891	24.449763
	13.64597407	24.72057
	13.65957923	25.884363
	13.67318438	26.997795
	13.7003947	29.638705
	13.71399986	27.483231
	13.75481534	28.583751
	13.76842049	29.36061
	13.78202565	30.455784
	13.79563081	29.817579
	13.80923597	29.936374
	13.82284113	30.329238
	13.83644629	30.701726
	13.85005145	30.899305
	13.8636566	30.351071
	13.87726176	30.253356
	13.89086692	29.986269
	13.90447208	29.983848
	13.91807724	29.998479
	13.9316824	30.562568
	13.94528756	30.8891
	13.95889272	30.646536
	13.97249787	30.915119
	13.98610303	30.733781
	13.99970819	31.267504
	14.01331335	30.85834
	14.02691851	30.616775
	14.04052367	30.491399
	14.05412883	30.763252
	14.06773398	30.519095
	14.08133914	30.391483
	14.0949443	30.417761
	14.10854946	30.70553
	14.12215462	30.515749
	14.13575978	30.477356
	14.14936494	30.571365
	14.16297009	30.636782
	14.17657525	30.71756
	14.19018041	30.755799
	14.20378557	30.850516
	14.21739073	30.869063
	14.23099589	30.999242
	14.24460105	31.247458
	14.2582062	31.707722
	14.27181136	32.09601
	14.28541652	32.337945
	14.29902168	32.567862
	14.31262684	32.658188
	14.326232	33.004053
	14.33983716	33.527718
	14.35344231	34.134728
	14.36704747	34.333034
	14.38065263	34.4502
	14.39425779	33.979977
	14.40786295	34.111785
	14.42146811	34.236603
	14.43507327	34.203681
	14.44867842	34.214005
	14.46228358	34.078944
	14.47588874	34.211533
	14.4894939	34.368628
	14.50309906	34.559038
	14.51670422	34.635567
	14.53030938	34.805823
	14.54391453	34.964623
	14.55751969	34.924558
	14.57112485	35.071674
	14.58473001	35.222221
	14.59833517	35.289704
	14.61194033	35.374611
	14.62554549	35.561301
	14.63915064	35.530678
	14.6527558	35.619631
	14.66636096	35.674457
	14.67996612	35.860341
	14.69357128	36.023833
	14.70717644	36.167526
	14.7207816	36.212073
	14.73438675	36.247874
	14.74799191	36.414961
	14.76159707	36.514311
	14.77520223	36.63799
	14.78880739	36.622563
	14.80241255	36.864414
	14.81601771	36.911234
	14.82962286	37.101974
	14.84322802	37.141857
	14.85683318	37.265487
	14.87043834	37.155645
	14.8840435	37.162407
	14.89764866	37.076175
	14.91125382	37.045066
	14.92485898	36.915694
	14.93846413	36.99781
	14.95206929	36.961573
	14.96567445	37.027018
	14.97927961	37.136208
	14.99288477	37.227265
	15.00648993	37.381781
	15.02009509	37.581691
	15.03370024	37.575292
	15.0473054	37.633385
	15.06091056	37.759344
	15.07451572	37.858426
	15.08812088	37.969986
	15.10172604	38.175398
	15.1153312	38.303445
	15.12893635	38.429956
	15.14254151	38.609368
	15.15614667	38.673952
	15.16975183	38.746256
	15.18335699	38.868667
	15.19696215	38.987934
	15.21056731	39.065835
	15.22417246	39.135293
	15.23777762	39.157321
	15.25138278	39.218221
	15.26498794	39.382598
	15.2785931	39.526182
	15.29219826	39.658322
	15.30580342	39.853632
	15.31940857	40.056232
	15.33301373	40.150999
	15.34661889	40.246807
	15.36022405	40.268306
	15.37382921	40.216044
	15.38743437	40.250918
	15.40103953	40.378323
	15.41464468	40.380358
	15.42824984	40.443725
	15.441855	40.56153
	15.45546016	40.675492
	15.46906532	40.801187
	15.48267048	40.906171
	15.50988079	41.177554
	15.52348595	41.156164
	15.53709111	41.160179
	15.55069627	41.164912
	15.56430143	41.198833
	15.57790659	41.219424
	15.59151175	41.230601
	15.6051169	41.260667
	15.61872206	41.271259
	15.63232722	41.336024
	15.64593238	41.355971
	15.65953754	41.271962
	15.6731427	41.348769
	15.68674786	41.365292
	15.70035301	41.302844
	15.71395817	41.388942
	15.72756333	41.383614
	15.74116849	41.478454
	15.75477365	41.526209
	15.76837881	41.506329
	15.78198397	41.500621
	15.79558912	41.487009
	15.80919428	41.478188
	15.82279944	41.475351
	15.8364046	41.503174
	15.85000976	41.4972
	15.86361492	41.488111
	15.87722008	41.520576
	15.89082524	41.536434
	15.90443039	41.556617
	15.91803555	41.522604
	15.93164071	41.483845
	15.94524587	41.491119
	15.95885103	41.44876
	15.97245619	41.389807
	15.98606135	41.388217
	15.9996665	41.401126
	16.01327166	41.425433
	16.02687682	41.476831
	16.04048198	41.552155
	16.05408714	41.615227
	16.0676923	41.658055
	16.08129746	41.726482
	16.09490261	41.755905
	16.10850777	41.754532
	16.12211293	41.804744
	16.13571809	41.874806
	16.14932325	41.905161
	16.16292841	41.951653
	16.17653357	41.976765
	16.19013872	42.008891
	16.20374388	42.064654
	16.21734904	42.127223
	16.2309542	42.171774
	16.24455936	42.222301
	16.25816452	42.299324
	16.27176968	42.354094
	16.28537483	42.369825
	16.29897999	42.434681
	16.31258515	42.458023
	16.32619031	42.441247
	16.33979547	42.49075
	16.35340063	42.507536
