	e_energy	sigma
	12.14526195	0.0
	12.14940662	0.1840257
	12.16301178	1.3837103
	12.17661694	2.9679539
	12.1902221	4.4018191
	12.20382726	5.5700506
	12.21743242	6.2342506
	12.23103757	7.0918631
	12.24464273	8.9308328
	12.25824789	10.037086
	12.27185305	11.126984
	12.28545821	12.171891
	12.29906337	13.140347
	12.31266853	14.021493
	12.32627368	14.774044
	12.33987884	15.110662
	12.353484	15.420833
	12.36708916	15.974366
	12.38069432	16.561331
	12.39429948	17.032641
	12.40790464	17.429302
	12.42150979	17.745496
	12.43511495	18.004379
	12.44872011	18.191526
	12.46232527	18.348019
	12.47593043	18.46269
	12.48953559	18.525371
	12.50314075	18.561079
	12.5167459	18.563597
	12.53035106	18.537561
	12.54395622	18.481585
	12.55756138	18.412822
	12.57116654	18.321228
	12.5847717	18.214974
	12.59837686	18.097295
	12.61198201	17.962756
	12.62558717	17.827709
	12.63919233	17.680503
	12.65279749	17.496879
	12.66640265	17.142261
	12.68000781	16.068668
	12.69361297	15.651894
	12.70721812	16.160832
	12.72082328	16.31977
	12.73442844	16.329635
	12.7480336	16.285772
	12.76163876	16.221964
	12.77524392	16.152515
	12.78884908	16.084663
	12.80245423	16.021116
	12.81605939	15.94416
	12.82966455	15.918336
	12.84326971	16.281408
	12.85687487	15.981299
	12.87048003	14.231308
	12.88408519	10.620665
	12.89769034	8.8047413
	12.9112955	10.213476
	12.92490066	10.324283
	12.93850582	11.301756
	12.95211098	11.711955
	12.96571614	11.650473
	12.9793213	10.275366
	12.99292646	7.9004625
	13.00653161	5.5243929
	13.02013677	5.9312621
	13.03374193	4.8850304
	13.04734709	5.41349
	13.06095225	6.6654521
	13.07455741	7.3253727
	13.08816257	7.5576158
	13.10176772	7.7076796
	13.11537288	8.0714501
	13.12897804	8.2196056
	13.1425832	8.3613966
	13.15618836	8.395919
	13.16979352	8.5121447
	13.18339868	8.6735618
	13.19700383	8.9181413
	13.21060899	9.0611727
	13.22421415	9.0481449
	13.23781931	9.1051221
	13.25142447	8.9669624
	13.26502963	8.8992599
	13.27863479	8.5512767
	13.3058451	8.8403551
	13.31945026	8.8322482
	13.33305542	8.7219765
	13.34666058	8.7002653
	13.36026574	8.6348202
	13.3738709	8.4542306
	13.38747605	7.682216
	13.40108121	7.4311238
	13.41468637	6.9335227
	13.42829153	6.974471
	13.44189669	7.1638413
	13.45550185	6.8797142
	13.46910701	6.7479833
	13.48271216	6.9444867
	13.49631732	6.5378176
	13.50992248	6.3670201
	13.52352764	6.2056943
	13.5371328	6.05923
	13.55073796	5.9680659
	13.56434312	5.8936439
	13.57794827	5.4893689
	13.59155343	5.374581
	13.60515859	5.5000235
	13.61876375	5.3449899
	13.63236891	5.3181341
	13.64597407	5.4880619
	13.65957923	6.5687175
	13.67318438	8.1081762
	13.7003947	6.8328842
	13.71399986	8.2019436
	13.75481534	10.448751
	13.76842049	10.393495
	13.78202565	9.6430347
	13.79563081	8.2528927
	13.80923597	7.6632119
	13.82284113	7.1118372
	13.83644629	6.8785141
	13.85005145	6.5705552
	13.8636566	6.1553449
	13.87726176	6.1865969
	13.89086692	6.0405333
	13.90447208	5.9045806
	13.91807724	5.9215562
	13.9316824	5.88412
	13.94528756	5.67717
	13.95889272	5.6503341
	13.97249787	5.9615052
	13.98610303	5.9093727
	13.99970819	5.8901236
	14.01331335	5.8645352
	14.02691851	5.7707523
	14.04052367	5.4637204
	14.05412883	5.5159947
	14.06773398	5.6618796
	14.08133914	5.7642727
	14.0949443	5.7470663
	14.10854946	5.8216025
	14.12215462	5.6984667
	14.13575978	5.5792433
	14.14936494	5.5286754
	14.16297009	5.4925874
	14.17657525	5.4999629
	14.19018041	5.5135733
	14.20378557	5.4252558
	14.21739073	5.3220296
	14.23099589	5.2979444
	14.24460105	5.453048
	14.2582062	5.5929274
	14.27181136	5.6127377
	14.28541652	5.6907907
	14.29902168	5.8510868
	14.31262684	6.0272684
	14.326232	6.1868334
	14.33983716	6.4019021
	14.35344231	6.250313
	14.36704747	6.5544152
	14.38065263	6.84134
	14.39425779	7.0024926
	14.40786295	7.0488631
	14.42146811	6.9374162
	14.43507327	6.8449803
	14.44867842	6.3984938
	14.46228358	6.1891078
	14.47588874	6.2067161
	14.4894939	6.121005
	14.50309906	6.1172432
	14.51670422	6.1426972
	14.53030938	6.2379198
	14.54391453	6.0787146
	14.55751969	5.9949108
	14.57112485	5.9142244
	14.58473001	5.8816581
	14.59833517	5.8309194
	14.61194033	5.7861426
	14.62554549	5.7016001
	14.63915064	5.539704
	14.6527558	5.4905787
	14.66636096	5.5085111
	14.67996612	5.5741056
	14.69357128	5.5523396
	14.70717644	5.5487132
	14.7207816	5.5777546
	14.73438675	5.3746217
	14.74799191	5.3134249
	14.76159707	5.324083
	14.77520223	5.2504216
	14.78880739	5.2075126
	14.80241255	5.2593818
	14.81601771	5.2737606
	14.82962286	5.4290756
	14.84322802	5.3239478
	14.85683318	5.3499001
	14.87043834	5.3669451
	14.8840435	5.3915887
	14.89764866	5.3954145
	14.91125382	5.3860904
	14.92485898	5.4431766
