	e_energy	sigma
	13.2921058	0.0
	13.3058451	0.31771806
	13.31945026	0.50059822
	13.33305542	0.76748084
	13.34666058	1.0462219
	13.36026574	1.1433417
	13.3738709	1.4160828
	13.38747605	2.0021207
	13.40108121	2.3549293
	13.41468637	2.8523135
	13.42829153	2.8740233
	13.44189669	2.8731624
	13.45550185	3.338892
	13.46910701	3.544946
	13.48271216	2.3617549
	13.49631732	3.5355908
	13.50992248	3.1398754
	13.52352764	3.3727367
	13.5371328	3.6034302
	13.55073796	3.7233648
	13.56434312	3.8131226
	13.57794827	3.9652325
	13.59155343	4.1124419
	13.60515859	4.3171015
	13.61876375	3.8807019
	13.63236891	3.7886477
	13.64597407	3.6198319
	13.65957923	3.3590284
	13.67318438	3.2600699
	13.7003947	3.5812042
	13.71399986	3.8072327
	13.75481534	2.9124216
	13.76842049	2.8343787
	13.78202565	3.0762641
	13.79563081	2.7757392
	13.80923597	2.6235241
	13.82284113	2.6342714
	13.83644629	2.3657635
	13.85005145	2.5687764
	13.8636566	3.3384969
	13.87726176	3.0976732
	13.89086692	2.9518676
	13.90447208	2.8430531
	13.91807724	2.7197468
	13.9316824	2.8164934
	13.94528756	2.9333853
	13.95889272	2.7417124
	13.97249787	2.5822061
	13.98610303	2.8114773
	13.99970819	2.7819788
	14.01331335	2.8562566
	14.02691851	2.7828868
	14.04052367	2.9210203
	14.05412883	3.0588591
	14.06773398	3.2199924
	14.08133914	3.107924
	14.0949443	2.932918
	14.10854946	2.9131628
	14.12215462	3.017993
	14.13575978	3.2434714
	14.14936494	3.2568807
	14.16297009	3.2159703
	14.17657525	3.2155402
	14.19018041	3.3817113
	14.20378557	3.3856624
	14.21739073	3.3223663
	14.23099589	3.3783758
	14.24460105	3.3502338
	14.2582062	3.277446
	14.27181136	3.220427
	14.28541652	3.1622795
	14.29902168	3.1057606
	14.31262684	3.0574612
	14.326232	3.0332688
	14.33983716	2.9590507
	14.35344231	3.0578542
	14.36704747	3.0474636
	14.38065263	3.0277054
	14.39425779	3.0504273
	14.40786295	3.0651414
	14.42146811	3.0435169
	14.43507327	3.0566118
	14.44867842	3.0012671
	14.46228358	3.2231599
	14.47588874	3.1059202
	14.4894939	3.0639936
	14.50309906	3.0376293
	14.51670422	3.03729
	14.53030938	2.9324536
