	e_energy	sigma
	13.31994413	0.0
	13.33305542	0.086703751
	13.34666058	0.11832915
	13.36026574	0.13387377
	13.3738709	0.14275838
	13.38747605	0.13927116
	13.40108121	0.13930782
	13.41468637	0.13364218
	13.42829153	0.15857255
	13.44189669	0.18247879
	13.45550185	0.23447595
	13.46910701	0.21858504
	13.48271216	0.22110896
	13.49631732	0.23178539
	13.50992248	0.35743193
	13.52352764	0.38807172
	13.5371328	0.38117299
	13.55073796	0.38183496
	13.56434312	0.45191603
	13.57794827	0.4761571
	13.59155343	0.50801155
	13.60515859	0.58358223
	13.61876375	0.52585956
	13.63236891	0.52118519
	13.64597407	0.51054122
	13.65957923	0.44777929
	13.67318438	0.30696897
	13.7003947	0.61911464
	13.71399986	0.51863457
	13.75481534	0.28414145
	13.76842049	0.26455348
	13.78202565	0.27775698
	13.79563081	0.17740613
	13.80923597	0.25382832
	13.82284113	0.34482584
	13.83644629	0.27301544
	13.85005145	0.29695089
	13.8636566	0.28702161
	13.87726176	0.25561775
	13.89086692	0.27998891
	13.90447208	0.26801043
	13.91807724	0.33035978
	13.9316824	0.31347171
	13.94528756	0.28146759
	13.95889272	0.31204327
	13.97249787	0.27828795
	13.98610303	0.20818833
	13.99970819	0.26528256
	14.01331335	0.33039585
	14.02691851	0.33657123
	14.04052367	0.23829254
	14.05412883	0.22844398
	14.06773398	0.2848828
	14.08133914	0.33396163
	14.0949443	0.32956532
	14.10854946	0.39700223
	14.12215462	0.39992383
	14.13575978	0.36154936
	14.14936494	0.3589554
	14.16297009	0.36002799
	14.17657525	0.37498516
	14.19018041	0.35454826
	14.20378557	0.35131218
	14.21739073	0.35951967
	14.23099589	0.38147472
	14.24460105	0.42029386
	14.2582062	0.39377775
	14.27181136	0.39584755
	14.28541652	0.38526051
	14.29902168	0.40947905
	14.31262684	0.42143978
	14.326232	0.43576194
	14.33983716	0.43077069
	14.35344231	0.49383483
	14.36704747	0.41207004
	14.38065263	0.39824913
	14.39425779	0.43122003
	14.40786295	0.43400677
	14.42146811	0.45915132
	14.43507327	0.44204087
	14.44867842	0.41782421
	14.46228358	0.37063915
	14.47588874	0.32033744
	14.4894939	0.34047946
	14.50309906	0.34349931
	14.51670422	0.34708235
	14.53030938	0.35864485
	14.54391453	0.35969214
	14.55751969	0.31309942
	14.57112485	0.29427976
	14.58473001	0.27387861
	14.59833517	0.27090823
	14.61194033	0.27320082
	14.62554549	0.28072866
	14.63915064	0.27599278
	14.6527558	0.26758435
	14.66636096	0.28600183
	14.67996612	0.29344114
	14.69357128	0.26671742
	14.70717644	0.25631984
	14.7207816	0.24631969
	14.73438675	0.25666664
	14.74799191	0.292017
	14.76159707	0.28615033
	14.77520223	0.29513176
	14.78880739	0.28640935
	14.80241255	0.21923964
	14.81601771	0.23823905
	14.82962286	0.2632687
	14.84322802	0.29057434
	14.85683318	0.33254031
	14.87043834	0.34235414
	14.8840435	0.33640531
	14.89764866	0.33132524
	14.91125382	0.35227373
	14.92485898	0.34512665
	14.93846413	0.31590056
	14.95206929	0.30653189
	14.96567445	0.30570831
	14.97927961	0.3220342
	14.99288477	0.32969744
	15.00648993	0.33184086
	15.02009509	0.33660116
	15.03370024	0.37952633
	15.0473054	0.34129077
	15.06091056	0.34407652
	15.07451572	0.31069094
	15.08812088	0.31502679
	15.10172604	0.30328331
	15.1153312	0.2978548
	15.12893635	0.26930968
	15.14254151	0.27923835
	15.15614667	0.3280706
	15.16975183	0.35063528
	15.18335699	0.35919291
	15.19696215	0.35176619
	15.21056731	0.32633985
	15.22417246	0.31472766
	15.23777762	0.31806658
	15.25138278	0.28620932
	15.26498794	0.27274365
	15.2785931	0.26806059
	15.29219826	0.25172461
	15.30580342	0.26179738
	15.31940857	0.26398538
	15.33301373	0.26376556
	15.34661889	0.25238994
	15.36022405	0.26203996
	15.37382921	0.26030214
	15.38743437	0.26057603
	15.40103953	0.25032869
	15.41464468	0.23363803
	15.42824984	0.2167643
	15.441855	0.2133314
	15.45546016	0.2058318
