	e_energy	sigma
	13.00498226	0.0
	13.00653161	0.67082868
	13.02013677	4.7278046
	13.03374193	6.7569091
	13.04734709	6.7819886
	13.06095225	7.8854146
	13.07455741	7.2691666
	13.08816257	7.611042
	13.10176772	8.8795492
	13.11537288	8.7665037
	13.12897804	8.6577239
	13.1425832	8.5497108
	13.15618836	8.44074
	13.16979352	8.3521179
	13.18339868	8.2268211
	13.19700383	8.6745559
	13.21060899	8.8424316
	13.22421415	8.74165
	13.23781931	8.6214008
	13.25142447	8.0956134
	13.26502963	8.0588602
	13.27863479	8.1566413
	13.3058451	8.6966368
	13.31945026	8.5210952
	13.33305542	8.7451854
	13.34666058	8.8530199
	13.36026574	9.0090838
	13.3738709	9.2809666
	13.38747605	9.4583535
	13.40108121	9.2210771
	13.41468637	9.2706058
	13.42829153	9.3281953
	13.44189669	9.2602788
	13.45550185	9.3074569
	13.46910701	9.1794615
	13.48271216	9.1852548
	13.49631732	9.2051457
	13.50992248	9.2306216
	13.52352764	9.2766318
	13.5371328	9.3043516
	13.55073796	9.5335098
	13.56434312	9.5345039
	13.57794827	9.5438833
	13.59155343	9.5051535
	13.60515859	9.5155223
	13.61876375	9.64003
	13.63236891	9.5736936
	13.64597407	9.5706253
	13.65957923	9.4393469
	13.67318438	9.1004408
	13.7003947	8.5229477
	13.71399986	8.365081
	13.75481534	6.4561955
	13.76842049	6.2505338
	13.78202565	6.5149198
	13.79563081	6.8819086
	13.80923597	7.1373726
	13.82284113	6.8344131
	13.83644629	6.8082976
	13.85005145	6.7895715
	13.8636566	6.8772426
	13.87726176	6.9824187
	13.89086692	7.1518746
	13.90447208	7.3300552
	13.91807724	7.4773378
	13.9316824	7.468951
	13.94528756	7.4486617
	13.95889272	7.5380429
	13.97249787	7.665555
	13.98610303	7.7839699
	13.99970819	7.8824608
	14.01331335	7.5827279
	14.02691851	7.4248173
	14.04052367	7.5102814
	14.05412883	7.5544208
	14.06773398	7.4910558
	14.08133914	7.5021018
	14.0949443	7.6278163
	14.10854946	7.5031944
	14.12215462	7.5152723
	14.13575978	7.4914324
	14.14936494	7.5933207
	14.16297009	7.7762481
	14.17657525	7.8913528
	14.19018041	7.8701642
	14.20378557	7.8016852
	14.21739073	7.6629618
	14.23099589	7.5288179
	14.24460105	7.6242114
	14.2582062	7.6357386
	14.27181136	7.6126754
	14.28541652	7.4465276
	14.29902168	7.2999447
	14.31262684	7.1845606
	14.326232	6.96089
	14.33983716	6.7298616
	14.35344231	6.9357674
	14.36704747	6.9055803
	14.38065263	6.801921
	14.39425779	6.6442144
	14.40786295	6.5076737
	14.42146811	6.4322649
	14.43507327	6.416897
	14.44867842	6.5496089
	14.46228358	6.6239632
	14.47588874	6.7857273
	14.4894939	6.9136383
	14.50309906	7.0349725
	14.51670422	7.1379682
	14.53030938	7.2528573
	14.54391453	7.3105149
	14.55751969	7.3795523
	14.57112485	7.3642476
	14.58473001	7.4788754
	14.59833517	7.6355371
	14.61194033	7.700936
	14.62554549	7.6645965
	14.63915064	7.7003474
	14.6527558	7.6889525
	14.66636096	7.7908983
	14.67996612	7.6323347
	14.69357128	7.6780465
	14.70717644	7.6757281
	14.7207816	7.7173045
	14.73438675	7.7629712
	14.74799191	7.6955938
	14.76159707	7.7122118
	14.77520223	7.634515
	14.78880739	7.6338553
	14.80241255	7.6079366
	14.81601771	7.6190721
	14.82962286	7.6126283
	14.84322802	7.6238122
	14.85683318	7.6286406
	14.87043834	7.616708
	14.8840435	7.5498489
	14.89764866	7.5834148
	14.91125382	7.6443181
	14.92485898	7.6422248
	14.93846413	7.6028798
	14.95206929	7.4360353
	14.96567445	7.4236169
	14.97927961	7.3970645
	14.99288477	7.379012
	15.00648993	7.3868006
	15.02009509	7.3593757
	15.03370024	7.3351956
	15.0473054	7.2529985
	15.06091056	7.3938771
	15.07451572	7.308039
	15.08812088	7.2812605
	15.10172604	7.2156919
	15.1153312	7.1888902
	15.12893635	7.1807531
	15.14254151	7.1993506
	15.15614667	7.1799648
	15.16975183	7.1572089
	15.18335699	7.1377548
	15.19696215	7.1931354
	15.21056731	7.1974222
	15.22417246	7.1886882
	15.23777762	7.1692111
	15.25138278	7.1443342
	15.26498794	7.1375535
	15.2785931	7.1397939
	15.29219826	7.1308711
	15.30580342	7.1398697
	15.31940857	7.1631088
	15.33301373	7.183154
	15.34661889	7.1680848
	15.36022405	7.2000872
	15.37382921	7.2480514
	15.38743437	7.3095987
	15.40103953	7.3755365
	15.41464468	7.4672269
	15.42824984	7.5206476
	15.441855	7.6113749
	15.45546016	7.6410779
	15.46906532	7.6822831
	15.48267048	7.682451
	15.50988079	7.6775436
	15.52348595	7.6277509
	15.53709111	7.5806188
	15.55069627	7.609433
	15.56430143	7.6041062
	15.57790659	7.6390381
	15.59151175	7.6031774
	15.6051169	7.5870249
	15.61872206	7.5973839
	15.63232722	7.6066041
	15.64593238	7.649864
	15.65953754	7.6511717
	15.6731427	7.6855794
	15.68674786	7.7113978
	15.70035301	7.6982106
	15.71395817	7.7457877
	15.72756333	7.5889942
	15.74116849	7.7492452
	15.75477365	7.7088137
	15.76837881	7.72806
	15.78198397	7.7105146
	15.79558912	7.696407
	15.80919428	7.6601789
	15.82279944	7.6934382
	15.8364046	7.6584116
	15.85000976	7.6469005
