	e_energy	sigma
	13.31994413	0.0
	13.33305542	0.096356641
	13.34666058	0.15741526
	13.36026574	0.29337253
	13.3738709	0.39587682
	13.38747605	0.48057027
	13.40108121	0.59044421
	13.41468637	0.83623403
	13.42829153	0.91001742
	13.44189669	0.98426306
	13.45550185	1.0607753
	13.46910701	1.1257788
	13.48271216	1.1555039
	13.49631732	1.1747217
	13.50992248	1.092276
	13.52352764	1.1223858
	13.5371328	1.1650153
	13.55073796	1.1589683
	13.56434312	1.1826677
	13.57794827	1.2389889
	13.59155343	1.3242318
	13.60515859	1.2828098
	13.61876375	1.3372079
	13.63236891	1.3385553
	13.64597407	1.4978362
	13.65957923	1.4768559
	13.67318438	1.2234681
	13.7003947	1.359978
	13.71399986	1.4483581
	13.75481534	0.94575518
	13.76842049	0.90122523
	13.78202565	0.86150899
	13.79563081	0.86291674
	13.80923597	0.91055667
	13.82284113	0.88972171
	13.83644629	0.84330246
	13.85005145	0.85139454
	13.8636566	0.8182144
	13.87726176	0.79283559
	13.89086692	0.78622042
	13.90447208	0.77087125
	13.91807724	0.84969377
	13.9316824	0.97789113
	13.94528756	0.99033676
	13.95889272	1.0086412
	13.97249787	0.92439314
	13.98610303	0.98514835
	13.99970819	1.0353519
	14.01331335	0.93508706
	14.02691851	0.95587014
	14.04052367	0.9431744
	14.05412883	1.0189563
	14.06773398	1.0799038
	14.08133914	1.0521048
	14.0949443	1.0950743
	14.10854946	1.0835433
	14.12215462	1.1620137
	14.13575978	1.1259519
	14.14936494	1.1249146
	14.16297009	1.13006
	14.17657525	1.1468502
	14.19018041	1.1344368
	14.20378557	1.1185867
	14.21739073	1.0917269
	14.23099589	1.0519012
	14.24460105	1.0681688
	14.2582062	1.0380548
	14.27181136	1.0378842
	14.28541652	1.050753
	14.29902168	1.0462094
	14.31262684	1.0292839
	14.326232	1.0061277
	14.33983716	0.9716482
	14.35344231	0.98259081
	14.36704747	0.95530796
	14.38065263	0.93947005
	14.39425779	0.97818532
	14.40786295	0.98507883
	14.42146811	1.0127525
	14.43507327	1.0327809
	14.44867842	1.0241782
	14.46228358	1.0289919
	14.47588874	1.0679082
	14.4894939	1.0478781
	14.50309906	1.0393696
	14.51670422	1.0483021
	14.53030938	1.0415118
	14.54391453	1.0265292
	14.55751969	1.0130014
	14.57112485	1.0012138
	14.58473001	0.9785295
	14.59833517	0.99536768
	14.61194033	0.99802776
	14.62554549	1.0355479
	14.63915064	1.0285295
	14.6527558	1.0211471
	14.66636096	1.0355934
	14.67996612	1.0372841
	14.69357128	1.0463349
	14.70717644	1.0527729
	14.7207816	1.0360272
	14.73438675	1.0062427
	14.74799191	1.018352
	14.76159707	1.0230258
	14.77520223	1.0287032
	14.78880739	1.0192944
	14.80241255	1.026705
	14.81601771	1.0276943
	14.82962286	1.0330102
	14.84322802	1.0334503
	14.85683318	1.0425151
	14.87043834	1.0315871
	14.8840435	1.0176509
	14.89764866	1.0025753
	14.91125382	0.97861689
	14.92485898	1.0001823
	14.93846413	1.0327918
	14.95206929	1.0397207
	14.96567445	1.0366762
	14.97927961	0.99773184
	14.99288477	0.96698652
	15.00648993	0.96551331
	15.02009509	0.95245709
	15.03370024	0.9535582
	15.0473054	0.94279001
	15.06091056	0.93742317
	15.07451572	0.95830809
	15.08812088	0.97274106
	15.10172604	0.97644691
	15.1153312	0.95575047
	15.12893635	0.94190308
	15.14254151	0.94596178
	15.15614667	0.95349867
	15.16975183	0.97614788
	15.18335699	0.94197029
	15.19696215	0.9074645
	15.21056731	0.89727611
	15.22417246	0.89067576
	15.23777762	0.87754656
	15.25138278	0.88971351
	15.26498794	0.87455131
	15.2785931	0.8594331
	15.29219826	0.8642226
	15.30580342	0.88894255
	15.31940857	0.89708036
	15.33301373	0.87307962
	15.34661889	0.87705464
	15.36022405	0.88327351
	15.37382921	0.88829363
	15.38743437	0.88525243
	15.40103953	0.89049891
	15.41464468	0.88571346
	15.42824984	0.87337036
	15.441855	0.88172355
	15.45546016	0.86225558
	15.46906532	0.85579293
	15.48267048	0.84816067
	15.50988079	0.86994931
	15.52348595	0.85301318
	15.53709111	0.84586809
	15.55069627	0.82406016
	15.56430143	0.80671966
	15.57790659	0.82285649
	15.59151175	0.81250522
	15.6051169	0.82018643
	15.61872206	0.83597401
	15.63232722	0.85149272
	15.64593238	0.85599987
	15.65953754	0.8527523
	15.6731427	0.85175728
	15.68674786	0.84648836
	15.70035301	0.8461493
	15.71395817	0.85770101
	15.72756333	0.85967559
	15.74116849	0.84190615
	15.75477365	0.83774699
	15.76837881	0.85102592
	15.78198397	0.86331179
	15.79558912	0.86388674
	15.80919428	0.86451142
	15.82279944	0.85722976
	15.8364046	0.86317547
	15.85000976	0.84810073
	15.86361492	0.84307162
	15.87722008	0.84131579
	15.89082524	0.85263587
	15.90443039	0.85353465
	15.91803555	0.8549182
	15.93164071	0.82668062
	15.94524587	0.84480493
	15.95885103	0.84146405
	15.97245619	0.84191429
	15.98606135	0.82274877
	15.9996665	0.82308772
	16.01327166	0.81498445
	16.02687682	0.82053515
	16.04048198	0.82941929
	16.05408714	0.83212895
	16.0676923	0.82405411
	16.08129746	0.82608928
	16.09490261	0.82638813
	16.10850777	0.81207028
	16.12211293	0.80951758
	16.13571809	0.80544587
	16.14932325	0.78956765
	16.16292841	0.79406293
	16.17653357	0.79269506
	16.19013872	0.78910628
	16.20374388	0.78883477
	16.21734904	0.78011336
	16.2309542	0.78440082
	16.24455936	0.78141912
	16.25816452	0.77366295
	16.27176968	0.76857501
	16.28537483	0.75622404
	16.29897999	0.75118334
