	e_energy	sigma
	12.98593721	0.0
	12.99292646	1.6275545
	13.00653161	4.5966503
	13.02013677	7.8102869
	13.03374193	6.7930661
	13.04734709	5.699594
	13.06095225	6.037654
	13.07455741	5.3933645
	13.08816257	5.8766361
	13.10176772	5.7465309
	13.11537288	5.5951855
	13.12897804	5.4718417
	13.1425832	5.2791041
	13.15618836	5.0537072
	13.16979352	4.9252591
	13.18339868	4.8080496
	13.19700383	4.7094288
	13.21060899	4.5245081
	13.22421415	4.4241939
	13.23781931	4.3567901
	13.25142447	4.744408
	13.26502963	4.8953046
	13.27863479	4.8489103
	13.3058451	4.5268495
	13.31945026	4.4694274
	13.33305542	4.6708663
	13.34666058	4.6891923
	13.36026574	4.6134942
	13.3738709	4.534247
	13.38747605	4.716357
	13.40108121	4.7120088
	13.41468637	4.8951672
	13.42829153	4.5600486
	13.44189669	4.636319
	13.45550185	4.5516567
	13.46910701	4.5320541
	13.48271216	4.7778597
	13.49631732	4.6596563
	13.50992248	4.6925435
	13.52352764	4.626546
	13.5371328	4.4587418
	13.55073796	4.2445695
	13.56434312	4.094376
	13.57794827	4.1031824
	13.59155343	3.9587103
	13.60515859	4.1197635
	13.61876375	3.9420343
	13.63236891	4.1022181
	13.64597407	4.108892
	13.65957923	3.8820008
	13.67318438	3.6754524
	13.7003947	3.9924684
	13.71399986	3.5500378
	13.75481534	3.0205621
	13.76842049	3.1745884
	13.78202565	3.3688846
	13.79563081	3.489703
	13.80923597	3.4996196
	13.82284113	3.4375331
	13.83644629	3.4925219
	13.85005145	3.5210583
	13.8636566	3.268451
	13.87726176	3.166005
	13.89086692	3.0629223
	13.90447208	3.1888103
	13.91807724	3.1790726
	13.9316824	3.0382958
	13.94528756	3.086457
	13.95889272	3.004341
	13.97249787	3.2250904
	13.98610303	3.0933992
	13.99970819	3.0452436
	14.01331335	2.9430799
	14.02691851	2.9823383
	14.04052367	3.0990549
	14.05412883	2.7425729
	14.06773398	2.6177303
	14.08133914	2.7258575
	14.0949443	2.7169201
	14.10854946	2.6627457
	14.12215462	2.555475
	14.13575978	2.5821081
	14.14936494	2.5593643
	14.16297009	2.6370187
	14.17657525	2.4605197
	14.19018041	2.3333334
	14.20378557	2.4186469
	14.21739073	2.3938274
	14.23099589	2.3416669
	14.24460105	2.178578
	14.2582062	2.1791274
	14.27181136	2.3013191
	14.28541652	2.249919
	14.29902168	2.2620427
	14.31262684	2.1895884
	14.326232	2.1319306
	14.33983716	2.143654
	14.35344231	2.2274697
	14.36704747	2.134964
	14.38065263	2.0795694
	14.39425779	2.0693404
	14.40786295	2.0901844
	14.42146811	2.1559613
	14.43507327	2.1662729
	14.44867842	2.2111778
	14.46228358	2.2219118
	14.47588874	2.1565509
	14.4894939	2.1433516
	14.50309906	2.1195115
	14.51670422	2.0461027
	14.53030938	2.0497033
	14.54391453	2.0419696
	14.55751969	2.045298
	14.57112485	1.9510704
	14.58473001	1.9622328
	14.59833517	1.9609431
	14.61194033	1.9288681
	14.62554549	1.9201782
	14.63915064	1.940764
	14.6527558	1.9096756
	14.66636096	1.8758593
	14.67996612	1.825627
	14.69357128	1.7229206
	14.70717644	1.7520886
	14.7207816	1.711577
	14.73438675	1.6846885
	14.74799191	1.6439651
	14.76159707	1.6636525
	14.77520223	1.6337754
	14.78880739	1.617451
	14.80241255	1.6181039
	14.81601771	1.5526439
	14.82962286	1.5060553
	14.84322802	1.5620677
	14.85683318	1.5411646
	14.87043834	1.4526693
	14.8840435	1.4857365
	14.89764866	1.4931324
	14.91125382	1.4857076
	14.92485898	1.4589008
	14.93846413	1.4551404
	14.95206929	1.4043835
	14.96567445	1.3852724
	14.97927961	1.3448984
	14.99288477	1.3153802
	15.00648993	1.3041149
	15.02009509	1.292605
	15.03370024	1.2824002
	15.0473054	1.2639473
	15.06091056	1.2160442
	15.07451572	1.234672
	15.08812088	1.2030047
	15.10172604	1.197021
	15.1153312	1.147976
	15.12893635	1.1082951
	15.14254151	1.1883652
	15.15614667	1.132903
	15.16975183	1.1537068
	15.18335699	1.1413177
	15.19696215	1.1240696
	15.21056731	1.1104626
	15.22417246	1.1426081
	15.23777762	1.144753
	15.25138278	1.1015074
	15.26498794	1.1271151
	15.2785931	1.1526592
	15.29219826	1.1666909
	15.30580342	1.1652134
	15.31940857	1.165638
	15.33301373	1.1963284
	15.34661889	1.1730037
	15.36022405	1.1793267
	15.37382921	1.2016445
	15.38743437	1.1927383
	15.40103953	1.1898887
	15.41464468	1.1735233
	15.42824984	1.1348142
	15.441855	1.1184152
	15.45546016	1.0623349
	15.46906532	1.0552438
	15.48267048	1.0025236
	15.50988079	1.0027101
	15.52348595	0.99540261
	15.53709111	1.0058891
	15.55069627	0.98132277
	15.56430143	0.96800812
	15.57790659	0.97200648
	15.59151175	0.94818227
	15.6051169	0.94335933
	15.61872206	0.92314093
	15.63232722	0.91259433
	15.64593238	0.9091035
	15.65953754	0.90179742
	15.6731427	0.89679893
	15.68674786	0.87282164
	15.70035301	0.84996332
	15.71395817	0.86717751
	15.72756333	0.8774183
	15.74116849	0.86680569
	15.75477365	0.84824677
	15.76837881	0.83994267
	15.78198397	0.8260262
	15.79558912	0.81991796
	15.80919428	0.80388591
	15.82279944	0.81553902
	15.8364046	0.80358089
	15.85000976	0.78649834
	15.86361492	0.7709579
	15.87722008	0.77508041
	15.89082524	0.75986407
