	e_energy	sigma
	12.96301252	0.0
	12.96571614	0.3991771
	12.9793213	2.5245537
	12.99292646	1.9198395
	13.00653161	1.641895
	13.02013677	1.1861793
	13.03374193	1.2760215
	13.04734709	1.1650273
	13.06095225	1.4049167
	13.07455741	1.6119519
	13.08816257	1.6017988
	13.10176772	1.5561156
	13.11537288	1.685648
	13.12897804	1.6641924
	13.1425832	1.7265602
	13.15618836	1.8779389
	13.16979352	1.878926
	13.18339868	1.900457
	13.19700383	1.7664561
	13.21060899	1.7967245
	13.22421415	1.7586069
	13.23781931	1.8076575
	13.25142447	1.888988
	13.26502963	1.9812005
	13.27863479	1.9676802
	13.3058451	2.0138244
	13.31945026	1.971143
	13.33305542	2.050597
	13.34666058	1.9934519
	13.36026574	2.0000245
	13.3738709	2.0514294
	13.38747605	2.0844782
	13.40108121	2.0350631
	13.41468637	2.1418489
	13.42829153	2.1290305
	13.44189669	2.0322098
	13.45550185	2.1112202
	13.46910701	2.2191323
	13.48271216	2.2952975
	13.49631732	2.3166784
	13.50992248	2.4234003
	13.52352764	2.4673599
	13.5371328	2.4636051
	13.55073796	2.6311329
	13.56434312	2.6744602
	13.57794827	2.7464801
	13.59155343	2.625284
	13.60515859	2.5536253
	13.61876375	2.3761733
	13.63236891	2.3409824
	13.64597407	2.5016593
	13.65957923	2.3689218
	13.67318438	2.7071332
	13.7003947	2.3289819
	13.71399986	2.5842917
	13.75481534	2.1011569
	13.76842049	2.0342943
	13.78202565	2.0194599
	13.79563081	1.9525543
	13.80923597	1.8852607
	13.82284113	1.8869475
	13.83644629	1.9483761
	13.85005145	1.9318516
	13.8636566	1.7467458
	13.87726176	1.6155014
	13.89086692	1.6198925
	13.90447208	1.6456149
	13.91807724	1.4141284
	13.9316824	1.6897159
	13.94528756	1.7352964
	13.95889272	1.7904371
	13.97249787	1.8213175
	13.98610303	1.6374649
	13.99970819	1.5157411
	14.01331335	1.5382416
	14.02691851	1.4810931
	14.04052367	1.6400408
	14.05412883	1.7566203
	14.06773398	1.7445276
	14.08133914	1.7514664
	14.0949443	1.7284171
	14.10854946	1.7010614
	14.12215462	1.5803293
	14.13575978	1.6699515
	14.14936494	1.6586501
	14.16297009	1.6003492
	14.17657525	1.558649
	14.19018041	1.5390868
	14.20378557	1.5393451
	14.21739073	1.5650446
	14.23099589	1.542688
	14.24460105	1.4828067
	14.2582062	1.4085577
	14.27181136	1.4298577
	14.28541652	1.4024303
	14.29902168	1.4420252
	14.31262684	1.5256465
	14.326232	1.5355833
	14.33983716	1.5579569
	14.35344231	1.5722051
	14.36704747	1.6320589
	14.38065263	1.5353126
	14.39425779	1.5964157
	14.40786295	1.5219024
	14.42146811	1.4743847
	14.43507327	1.4524687
	14.44867842	1.4286192
	14.46228358	1.454731
	14.47588874	1.3839663
	14.4894939	1.3725134
	14.50309906	1.3715493
	14.51670422	1.3491744
	14.53030938	1.3222433
	14.54391453	1.366683
	14.55751969	1.335064
	14.57112485	1.3063456
	14.58473001	1.2222073
	14.59833517	1.2085941
	14.61194033	1.2049284
	14.62554549	1.1822051
	14.63915064	1.2061461
	14.6527558	1.1972924
	14.66636096	1.2506899
	14.67996612	1.2784691
	14.69357128	1.2869379
	14.70717644	1.2377375
	14.7207816	1.2201172
	14.73438675	1.2176132
	14.74799191	1.2067376
	14.76159707	1.2402697
	14.77520223	1.2081191
	14.78880739	1.2443567
	14.80241255	1.2281174
	14.81601771	1.1935059
	14.82962286	1.1405184
	14.84322802	1.1536961
	14.85683318	1.0948191
	14.87043834	1.104182
	14.8840435	1.1273133
	14.89764866	1.1337158
	14.91125382	1.1121475
	14.92485898	1.0760359
	14.93846413	1.1081194
	14.95206929	1.1148987
	14.96567445	1.093461
	14.97927961	1.0665128
	14.99288477	1.0734814
	15.00648993	1.0680023
	15.02009509	1.049258
	15.03370024	1.0560469
	15.0473054	1.0356422
	15.06091056	1.0346682
	15.07451572	1.0235486
	15.08812088	1.0072418
	15.10172604	0.98204842
	15.1153312	0.95548548
	15.12893635	0.94063082
	15.14254151	0.93000126
	15.15614667	0.88721257
	15.16975183	0.89476774
	15.18335699	0.89471849
	15.19696215	0.8834736
	15.21056731	0.88500826
	15.22417246	0.85431981
	15.23777762	0.84067501
	15.25138278	0.83590099
	15.26498794	0.81864702
	15.2785931	0.83723091
	15.29219826	0.80937957
	15.30580342	0.81068877
	15.31940857	0.8450761
	15.33301373	0.84493113
	15.34661889	0.87575681
	15.36022405	0.86352566
	15.37382921	0.87275666
	15.38743437	0.87508793
	15.40103953	0.88457751
	15.41464468	0.86258136
	15.42824984	0.86528658
	15.441855	0.83869925
	15.45546016	0.82058408
	15.46906532	0.81447856
	15.48267048	0.83333104
	15.50988079	0.78498791
	15.52348595	0.79934949
	15.53709111	0.7887447
	15.55069627	0.79058887
	15.56430143	0.77169862
	15.57790659	0.79123886
	15.59151175	0.78802803
	15.6051169	0.82027828
	15.61872206	0.80772318
	15.63232722	0.81496839
	15.64593238	0.82593482
	15.65953754	0.80453227
	15.6731427	0.80062785
	15.68674786	0.79584099
	15.70035301	0.79620058
	15.71395817	0.79892658
	15.72756333	0.80520171
	15.74116849	0.77766984
	15.75477365	0.79265721
	15.76837881	0.81795028
	15.78198397	0.79065987
	15.79558912	0.77446666
	15.80919428	0.74962569
	15.82279944	0.78721799
	15.8364046	0.74839406
	15.85000976	0.76896566
	15.86361492	0.73179011
	15.87722008	0.72610826
	15.89082524	0.74258192
	15.90443039	0.7385384
	15.91803555	0.72030444
	15.93164071	0.72451879
	15.94524587	0.71930353
	15.95885103	0.67484966
	15.97245619	0.6727636
	15.98606135	0.65877714
	15.9996665	0.65424067
	16.01327166	0.6473329
	16.02687682	0.64749969
	16.04048198	0.62779987
	16.05408714	0.66380862
	16.0676923	0.62749594
	16.08129746	0.63482859
	16.09490261	0.61738986
	16.10850777	0.59148127
	16.12211293	0.59479726
	16.13571809	0.58950668
	16.14932325	0.57015439
	16.16292841	0.57211104
	16.17653357	0.58645721
	16.19013872	0.57005636
	16.20374388	0.56141098
	16.21734904	0.55197018
	16.2309542	0.55433175
	16.24455936	0.56669341
	16.25816452	0.5698148
	16.27176968	0.53687274
	16.28537483	0.55842422
	16.29897999	0.55774806
	16.31258515	0.57444512
	16.32619031	0.56858453
	16.33979547	0.55636176
	16.35340063	0.5591417
	16.36700579	0.55183169
	16.3942161	0.53301297
	16.40782126	0.5268598
	16.42142642	0.53450206
	16.43503158	0.53909768
	16.44863674	0.53018071
	16.4622419	0.52014037
	16.47584705	0.49730637
	16.48945221	0.50504349
	16.50305737	0.50087208
	16.51666253	0.48615482
	16.53026769	0.4858453
	16.54387285	0.47908044
	16.55747801	0.49732948
	16.57108316	0.49423751
	16.58468832	0.50665623
	16.59829348	0.49048809
	16.61189864	0.48711674
	16.6255038	0.4841873
	16.63910896	0.48588411
	16.65271412	0.49801056
	16.67992443	0.50608573
	16.69352959	0.49374324
	16.70713475	0.50115484
	16.72073991	0.49861527
	16.73434507	0.49767351
	16.74795023	0.49353221
	16.76155538	0.50093027
	16.77516054	0.50166801
	16.7887657	0.51377745
	16.80237086	0.50765787
	16.81597602	0.503477
	16.82958118	0.5019545
	16.84318634	0.49262994
	16.8567915	0.48775562
	16.87039665	0.47993332
	16.88400181	0.47669546
	16.89760697	0.48961827
	16.91121213	0.47307774
	16.92481729	0.47637566
	16.93842245	0.47524295
	16.95202761	0.46973609
	16.96563276	0.4582693
	16.97923792	0.45123775
	16.99284308	0.44415237
	17.00644824	0.4730292
	17.0200534	0.4593822
	17.03365856	0.44249466
	17.04726372	0.44247059
	17.06086887	0.43885543
	17.07447403	0.43732124
	17.08807919	0.42739018
	17.10168435	0.44451196
	17.11528951	0.44103412
	17.12889467	0.4148841
	17.14249983	0.41955573
	17.15610498	0.42521761
	17.16971014	0.4150491
	17.1833153	0.42033356
	17.19692046	0.4165714
	17.21052562	0.40787013
	17.22413078	0.40861745
	17.23773594	0.40033122
	17.25134109	0.40618657
	17.26494625	0.39883041
	17.27855141	0.39722598
	17.29215657	0.38879625
	17.30576173	0.38611868
	17.31936689	0.38419509
	17.33297205	0.38228282
	17.3465772	0.37889298
	17.36018236	0.3762919
	17.37378752	0.37488308
	17.38739268	0.35787958
	17.40099784	0.3598115
	17.414603	0.36535894
	17.42820816	0.36705705
	17.44181331	0.36658399
	17.45541847	0.34518983
	17.46902363	0.33806022
	17.48262879	0.34345813
	17.49623395	0.34329084
	17.50983911	0.33984183
	17.52344427	0.34055849
	17.53704942	0.33668311
	17.55065458	0.33102368
	17.56425974	0.32488401
	17.5778649	0.33045005
	17.59147006	0.33016214
	17.60507522	0.33671569
	17.61868038	0.32487562
	17.63228553	0.33009736
	17.64589069	0.31907102
	17.65949585	0.31398629
	17.67310101	0.31841998
	17.68670617	0.30851595
	17.70031133	0.30281287
	17.71391649	0.30615718
	17.72752164	0.29736876
	17.7411268	0.29736
	17.75473196	0.28470401
	17.76833712	0.28668054
	17.78194228	0.29093432
	17.79554744	0.29035964
	17.8091526	0.29183728
	17.82275776	0.28804605
	17.83636291	0.28780295
	17.84996807	0.28704493
	17.86357323	0.29163936
	17.87717839	0.29394271
	17.89078355	0.28938887
	17.90438871	0.29020253
	17.91799387	0.28615487
	17.93159902	0.28389946
	17.94520418	0.27508042
	17.95880934	0.28020522
	17.9724145	0.27769839
	17.98601966	0.28622
	17.99962482	0.28025568
	18.01322998	0.28499006
	18.02683513	0.28017022
	18.04044029	0.27915947
	18.05404545	0.27698829
	18.06765061	0.27785802
	18.08125577	0.27854695
	18.09486093	0.27880456
	18.10846609	0.28379492
	18.12207124	0.27419899
	18.1356764	0.27555758
	18.14928156	0.27450979
	18.16288672	0.27503576
	18.17649188	0.27504673
	18.19009704	0.27513139
	18.2037022	0.27400542
	18.21730735	0.27358293
	18.23091251	0.26494334
	18.24451767	0.27456755
	18.25812283	0.27601892
	18.27172799	0.27026514
	18.28533315	0.26649096
	18.29893831	0.26968738
	18.31254346	0.26752647
	18.32614862	0.27166168
	18.33975378	0.2749185
	18.35335894	0.27614682
	18.3669641	0.2703044
	18.38056926	0.26645568
	18.39417442	0.27044956
	18.40777957	0.27757142
	18.42138473	0.26684692
	18.43498989	0.26628805
	18.44859505	0.2663306
	18.46220021	0.25985416
	18.47580537	0.25737126
	18.48941053	0.25609176
	18.50301568	0.25225831
	18.51662084	0.24766949
	18.530226	0.24405975
	18.54383116	0.23862861
	18.55743632	0.2446786
	18.57104148	0.24081495
	18.58464664	0.24609258
	18.59825179	0.24292237
	18.61185695	0.2435205
	18.62546211	0.24450775
	18.63906727	0.2462575
	18.65267243	0.24489011
	18.66627759	0.23500847
	18.67988275	0.23598224
	18.6934879	0.2341181
	18.70709306	0.22983086
	18.72069822	0.22961176
	18.73430338	0.22836171
	18.74790854	0.22123662
	18.7615137	0.22323422
	18.77511886	0.21747233
	18.78872402	0.21862553
	18.80232917	0.21370406
	18.81593433	0.21294824
	18.82953949	0.21176092
	18.84314465	0.21394102
	18.85674981	0.21228419
	18.87035497	0.21090319
	18.88396013	0.2130155
	18.89756528	0.20849557
	18.91117044	0.21026372
	18.9247756	0.20983479
	18.93838076	0.21153575
	18.95198592	0.20440133
	18.96559108	0.20114915
	18.97919624	0.20166902
	18.99280139	0.20816717
	19.00640655	0.20063399
	19.02001171	0.20033959
	19.03361687	0.19562432
	19.04722203	0.19823247
	19.06082719	0.19429962
	19.07443235	0.19400346
	19.0880375	0.19122308
	19.10164266	0.19151872
	19.11524782	0.18912328
	19.12885298	0.18770349
	19.14245814	0.18722532
	19.1560633	0.18898116
	19.16966846	0.18951198
	19.18327361	0.18913893
	19.19687877	0.18769328
	19.21048393	0.18445927
	19.22408909	0.18315228
	19.23769425	0.18246133
	19.25129941	0.1829161
	19.26490457	0.18143452
	19.27850972	0.18115553
	19.29211488	0.18540828
	19.30572004	0.18012005
	19.3193252	0.18092194
	19.33293036	0.17838304
	19.34653552	0.17644302
	19.36014068	0.17013278
	19.37374583	0.17034392
	19.38735099	0.16922744
	19.40095615	0.17431939
	19.41456131	0.34407328
	19.42816647	0.16904019
	19.44177163	0.17156299
	19.45537679	0.17051094
	19.46898194	0.16626641
	19.4825871	0.17049335
	19.49619226	0.16810467
	19.50979742	0.16706999
	19.52340258	0.16690122
	19.53700774	0.16553921
	19.5506129	0.16529379
	19.56421805	0.1639954
	19.57782321	0.16495181
	19.59142837	0.16218515
	19.99958313	0.25617601
	24.99947891	0.049615728
	29.99937469	0.020673904
	34.99927048	0.01099319
	39.99916626	0.0062279972
	44.99906204	0.0036342788
	49.99895782	0.0023375731
	54.99885361	0.0016302889
	59.99874939	0.0011971245
	64.99864517	0.00090992544
	69.99854095	0.00071618471
	74.99843674	0.00057252314
	79.99833252	0.00046603181
	84.9982283	0.00038723502
	89.99812408	0.00031423327
	94.99801987	0.0002613077
	99.99791565	0.00021823114
	104.99781143	0.00018276044
	109.99770721	0.00015408501
	114.997603	0.00013033295
	119.99749878	0.00011073805
	124.99739456	9.4561617e-05
	129.99729034	8.1037012e-05
	134.99718613	6.9634736e-05
