	e_energy	sigma
	13.00498226	0.0
	13.00653161	0.11446925
	13.02013677	0.78395364
	13.03374193	0.95587269
	13.04734709	0.61527377
	13.06095225	0.6598407
	13.07455741	0.69281074
	13.08816257	0.75681891
	13.10176772	0.99817508
	13.11537288	0.98753815
	13.12897804	0.99018942
	13.1425832	0.99255729
	13.15618836	0.99051438
	13.16979352	0.99911667
	13.18339868	1.0093121
	13.19700383	1.1202277
	13.21060899	1.1502119
	13.22421415	1.1696181
	13.23781931	1.206466
	13.25142447	1.1652785
	13.26502963	1.1566726
	13.27863479	1.2366149
	13.3058451	1.2417036
	13.31945026	1.2932422
	13.33305542	1.34239
	13.34666058	1.3957403
	13.36026574	1.4409237
	13.3738709	1.445051
	13.38747605	1.4312833
	13.40108121	1.4227375
	13.41468637	1.4277348
	13.42829153	1.4431547
	13.44189669	1.4143903
	13.45550185	1.4862908
	13.46910701	1.4697448
	13.48271216	1.4705775
	13.49631732	1.4789344
	13.50992248	1.4773764
	13.52352764	1.4414753
	13.5371328	1.4862686
	13.55073796	1.5077546
	13.56434312	1.509909
	13.57794827	1.4759495
	13.59155343	1.4422489
	13.60515859	1.422659
	13.61876375	1.3667936
	13.63236891	1.037829
	13.64597407	0.73909381
	13.65957923	0.79413897
	13.67318438	1.0204427
	13.7003947	1.1015531
	13.71399986	1.0881196
	13.75481534	0.72869951
	13.76842049	0.78785432
	13.78202565	0.81156536
	13.79563081	0.77484252
	13.80923597	0.91597072
	13.82284113	1.0399989
	13.83644629	1.0786903
	13.85005145	1.0890567
	13.8636566	1.135971
	13.87726176	1.1620107
	13.89086692	1.1715071
	13.90447208	1.2048855
	13.91807724	1.2159498
	13.9316824	1.157046
	13.94528756	1.1586958
	13.95889272	1.079622
	13.97249787	1.1296307
	13.98610303	1.1821433
	13.99970819	1.1592723
	14.01331335	1.087254
	14.02691851	1.0383533
	14.04052367	1.0345602
	14.05412883	1.0562172
	14.06773398	1.0633308
	14.08133914	1.0770777
	14.0949443	1.0957757
	14.10854946	1.0978301
	14.12215462	1.1216433
	14.13575978	1.0713139
	14.14936494	1.0212288
	14.16297009	0.96911891
	14.17657525	0.99154842
	14.19018041	0.95496223
	14.20378557	0.93969775
	14.21739073	0.90104652
	14.23099589	0.86613829
	14.24460105	0.83378702
	14.2582062	0.82560261
	14.27181136	0.76932352
	14.28541652	0.72556044
	14.29902168	0.73077239
	14.31262684	0.68549693
	14.326232	0.65708981
	14.33983716	0.6133008
	14.35344231	0.62490511
	14.36704747	0.62860427
	14.38065263	0.64329944
	14.39425779	0.68611739
	14.40786295	0.70666227
	14.42146811	0.72383583
	14.43507327	0.7558214
	14.44867842	0.80228795
	14.46228358	0.83914253
	14.47588874	0.82379274
	14.4894939	0.84869789
	14.50309906	0.86739789
	14.51670422	0.88695731
	14.53030938	0.86586572
	14.54391453	0.84956118
	14.55751969	0.86836327
	14.57112485	0.88572477
	14.58473001	0.85234131
	14.59833517	0.88058695
	14.61194033	0.88187043
	14.62554549	0.86654661
	14.63915064	0.87250151
	14.6527558	0.86353823
	14.66636096	0.85780272
	14.67996612	0.85064422
	14.69357128	0.87078935
	14.70717644	0.86729624
	14.7207816	0.85849972
	14.73438675	0.85126065
	14.74799191	0.83620027
