	e_energy	sigma
	12.14526195	0.0
	12.14940662	0.67743204
	12.16301178	1.0107747
	12.17661694	1.2442484
	12.1902221	1.523677
	12.20382726	1.7924035
	12.21743242	2.1423398
	12.23103757	2.5329559
	12.24464273	4.7630961
	12.25824789	5.6844312
	12.27185305	6.5647175
	12.28545821	7.354495
	12.29906337	8.0308801
	12.31266853	8.5975729
	12.32627368	9.0750575
	12.33987884	9.4978496
	12.353484	9.6294944
	12.36708916	8.5394435
	12.38069432	9.3933069
	12.39429948	9.8896539
	12.40790464	10.122241
	12.42150979	10.272489
	12.43511495	10.400091
	12.44872011	10.323177
	12.46232527	10.423846
	12.47593043	10.518111
	12.48953559	10.579254
	12.50314075	10.66933
	12.5167459	10.759898
	12.53035106	10.852231
	12.54395622	10.947344
	12.55756138	11.04593
	12.57116654	11.148586
	12.5847717	11.255723
	12.59837686	11.367527
	12.61198201	11.073778
	12.62558717	11.175947
	12.63919233	11.286301
	12.65279749	11.412433
	12.66640265	11.607643
	12.68000781	12.01928
	12.69361297	12.267554
	12.70721812	12.2219
	12.72082328	12.278801
	12.73442844	12.387562
	12.7480336	12.519896
	12.76163876	12.665493
	12.77524392	12.82066
	12.78884908	12.959618
	12.80245423	13.127515
	12.81605939	13.293036
	12.82966455	13.349019
	12.84326971	13.094907
	12.85687487	13.455926
	12.87048003	13.8281
	12.88408519	14.27878
	12.89769034	13.582268
	12.9112955	13.07344
	12.92490066	13.310977
	12.93850582	13.251532
	12.95211098	13.166786
	12.96571614	13.226699
	12.9793213	12.961266
	12.99292646	13.35657
	13.00653161	14.522078
	13.02013677	14.414104
	13.03374193	13.086896
	13.04734709	12.216742
	13.06095225	12.292245
	13.07455741	12.160897
	13.08816257	12.200975
	13.10176772	12.447819
	13.11537288	12.867858
	13.12897804	12.988365
	13.1425832	13.097384
	13.15618836	13.162754
	13.16979352	13.203021
	13.18339868	13.221331
	13.19700383	13.223187
	13.21060899	13.425345
	13.22421415	13.460297
	13.23781931	13.516999
	13.25142447	13.611528
	13.26502963	13.659611
	13.27863479	13.785347
	13.3058451	13.703015
	13.31945026	13.652223
	13.33305542	13.595114
	13.34666058	13.523973
	13.36026574	13.429473
	13.3738709	13.388016
	13.38747605	13.298685
	13.40108121	13.253029
	13.41468637	13.235685
	13.42829153	13.27693
	13.44189669	13.331232
	13.45550185	13.34541
	13.46910701	13.375139
	13.48271216	13.398098
	13.49631732	13.423746
	13.50992248	13.427691
	13.52352764	13.495415
	13.5371328	13.582513
	13.55073796	13.627511
	13.56434312	13.691714
	13.57794827	13.773887
	13.59155343	13.810981
	13.60515859	13.819415
	13.61876375	13.884278
	13.63236891	14.196481
	13.64597407	14.430762
	13.65957923	14.754752
	13.67318438	15.132715
	13.7003947	14.655076
	13.71399986	15.051627
	13.75481534	14.079253
	13.76842049	14.20309
	13.78202565	14.045296
	13.79563081	14.303215
	13.80923597	14.673437
	13.82284113	14.721111
	13.83644629	14.813603
	13.85005145	14.821241
	13.8636566	14.822453
	13.87726176	14.867341
	13.89086692	14.837692
	13.90447208	14.928438
	13.91807724	14.840065
	13.9316824	14.759525
	13.94528756	14.797178
	13.95889272	14.868949
	13.97249787	14.730714
	13.98610303	14.691006
	13.99970819	14.674749
	14.01331335	14.596004
	14.02691851	14.608595
	14.04052367	14.683178
	14.05412883	14.760871
	14.06773398	14.782095
	14.08133914	14.83385
	14.0949443	14.829029
	14.10854946	14.874401
	14.12215462	14.822467
	14.13575978	14.94081
	14.14936494	15.058682
	14.16297009	15.128134
	14.17657525	15.222071
	14.19018041	15.290061
	14.20378557	15.344844
	14.21739073	15.340771
	14.23099589	15.413702
	14.24460105	15.443567
	14.2582062	15.500926
	14.27181136	15.493705
	14.28541652	15.550414
	14.29902168	15.57023
	14.31262684	15.551248
	14.326232	15.526096
	14.33983716	15.539368
	14.35344231	15.474749
	14.36704747	15.472579
	14.38065263	15.312824
	14.39425779	15.177799
	14.40786295	15.152943
	14.42146811	15.214456
	14.43507327	15.290404
	14.44867842	15.429606
	14.46228358	15.584509
	14.47588874	15.643509
	14.4894939	15.698652
	14.50309906	15.735907
	14.51670422	15.806783
	14.53030938	15.843262
	14.54391453	15.857961
	14.55751969	15.832891
	14.57112485	15.89829
	14.58473001	15.934348
	14.59833517	15.939181
	14.61194033	15.975058
	14.62554549	16.065184
	14.63915064	16.013873
	14.6527558	16.067981
	14.66636096	16.077348
	14.67996612	16.103498
	14.69357128	16.141276
	14.70717644	16.147442
	14.7207816	16.167594
	14.73438675	16.213447
	14.74799191	16.240891
	14.76159707	16.237474
	14.77520223	16.241788
	14.78880739	16.259196
	14.80241255	16.139779
	14.81601771	16.146834
	14.82962286	16.092387
	14.84322802	16.114776
	14.85683318	16.075257
	14.87043834	16.11114
	14.8840435	16.11258
	14.89764866	16.140745
	14.91125382	16.156193
	14.92485898	16.143527
	14.93846413	16.149282
	14.95206929	16.179967
	14.96567445	16.187531
	14.97927961	16.252946
	14.99288477	16.254436
	15.00648993	16.257991
	15.02009509	16.309979
	15.03370024	16.343715
	15.0473054	16.388368
	15.06091056	16.400509
	15.07451572	16.42765
	15.08812088	16.44617
	15.10172604	16.452259
	15.1153312	16.515307
	15.12893635	16.516231
	15.14254151	16.595219
	15.15614667	16.591621
	15.16975183	16.620768
	15.18335699	16.63715
	15.19696215	16.641309
	15.21056731	16.665055
	15.22417246	16.687651
	15.23777762	16.705197
	15.25138278	16.700781
	15.26498794	16.73024
	15.2785931	16.751789
	15.29219826	16.7269
	15.30580342	16.731264
	15.31940857	16.673008
	15.33301373	16.798204
	15.34661889	16.841824
	15.36022405	16.87298
	15.37382921	16.881111
	15.38743437	16.896629
	15.40103953	16.930465
	15.41464468	16.944938
	15.42824984	16.959825
	15.441855	16.957026
	15.45546016	16.979297
	15.46906532	16.979891
	15.48267048	17.005471
	15.50988079	17.057199
	15.52348595	17.097158
	15.53709111	17.129143
	15.55069627	17.119641
	15.56430143	17.164161
	15.57790659	17.187538
	15.59151175	17.214621
	15.6051169	17.232102
	15.61872206	17.252089
	15.63232722	17.259157
	15.64593238	17.26934
	15.65953754	17.277104
	15.6731427	17.303108
	15.68674786	17.329814
	15.70035301	17.349709
	15.71395817	17.328246
	15.72756333	17.349253
	15.74116849	17.373024
	15.75477365	17.394149
	15.76837881	17.417597
	15.78198397	17.424841
	15.79558912	17.435851
	15.80919428	17.427835
	15.82279944	17.408333
	15.8364046	17.3895
	15.85000976	17.405276
	15.86361492	17.420473
	15.87722008	17.432377
	15.89082524	17.440336
	15.90443039	17.438162
	15.91803555	17.465622
	15.93164071	17.452574
	15.94524587	17.462838
	15.95885103	17.487151
	15.97245619	17.478011
	15.98606135	17.456208
	15.9996665	17.444067
	16.01327166	17.470164
	16.02687682	17.491845
	16.04048198	17.498619
	16.05408714	17.527159
	16.0676923	17.51959
	16.08129746	17.537206
	16.09490261	17.518953
	16.10850777	17.520975
	16.12211293	17.53563
	16.13571809	17.557256
	16.14932325	17.579391
	16.16292841	17.587244
	16.17653357	17.600561
	16.19013872	17.61552
	16.20374388	17.631022
	16.21734904	17.636226
	16.2309542	17.62382
	16.24455936	17.651739
	16.25816452	17.670428
	16.27176968	17.69696
	16.28537483	17.727473
	16.29897999	17.751327
	16.31258515	17.77971
	16.32619031	17.804369
	16.33979547	17.84976
	16.35340063	17.891397
	16.36700579	17.926822
	16.3942161	18.016283
	16.40782126	18.0337
	16.42142642	18.046816
	16.43503158	18.064776
	16.44863674	18.075772
	16.4622419	18.097083
	16.47584705	18.10887
	16.48945221	18.117409
	16.50305737	18.129156
	16.51666253	18.1594
	16.53026769	18.158207
	16.54387285	18.168426
	16.55747801	18.15341
	16.57108316	18.181349
	16.58468832	18.184663
	16.59829348	18.223219
	16.61189864	18.211604
	16.6255038	18.22158
	16.63910896	18.230907
	16.65271412	18.235056
	16.67992443	18.229649
	16.69352959	18.22121
	16.70713475	18.239723
	16.72073991	18.247461
	16.73434507	18.209773
	16.74795023	18.21549
	16.76155538	18.203244
	16.77516054	18.209239
	16.7887657	18.201153
	16.80237086	18.173653
	16.81597602	18.171126
	16.82958118	18.184456
	16.84318634	18.175514
	16.8567915	18.181698
	16.87039665	18.171012
	16.88400181	18.172708
	16.89760697	18.206377
	16.91121213	18.18719
	16.92481729	18.183284
	16.93842245	18.204199
	16.95202761	18.204918
	16.96563276	18.197416
	16.97923792	18.212544
	16.99284308	18.19729
	17.00644824	18.212436
	17.0200534	18.214013
	17.03365856	18.211179
	17.04726372	18.213764
	17.06086887	18.207956
	17.07447403	18.215521
	17.08807919	18.217279
	17.10168435	18.21536
	17.11528951	18.220995
	17.12889467	18.217166
	17.14249983	18.204056
	17.15610498	18.237334
	17.16971014	18.230089
	17.1833153	18.237376
	17.19692046	18.249162
	17.21052562	18.261559
	17.22413078	18.267405
	17.23773594	18.281991
	17.25134109	18.275971
	17.26494625	18.279557
	17.27855141	18.293644
	17.29215657	18.300549
	17.30576173	18.306301
	17.31936689	18.32012
	17.33297205	18.325232
	17.3465772	18.330788
	17.36018236	18.337301
	17.37378752	18.343141
	17.38739268	18.345309
	17.40099784	18.352356
	17.414603	18.379529
	17.42820816	18.379858
	17.44181331	18.376031
	17.45541847	18.388434
	17.46902363	18.399242
	17.48262879	18.408963
	17.49623395	18.403901
	17.50983911	18.399822
	17.52344427	18.383689
	17.53704942	18.425236
	17.55065458	18.432846
	17.56425974	18.43248
	17.5778649	18.444672
	17.59147006	18.444296
	17.60507522	18.449147
	17.61868038	18.442258
	17.63228553	18.437086
	17.64589069	18.452565
	17.65949585	18.452025
	17.67310101	18.464061
	17.68670617	18.469001
	17.70031133	18.468556
	17.71391649	18.467352
	17.72752164	18.461854
	17.7411268	18.469827
	17.75473196	18.494279
	17.76833712	18.499983
	17.78194228	18.491139
	17.79554744	18.492159
	17.8091526	18.493569
	17.82275776	18.488694
	17.83636291	18.487824
	17.84996807	18.495073
	17.86357323	18.516715
	17.87717839	18.531084
	17.89078355	18.547954
	17.90438871	18.553622
	17.91799387	18.563373
	17.93159902	18.555743
	17.94520418	18.567281
	17.95880934	18.564402
	17.9724145	18.564578
	17.98601966	18.554796
	17.99962482	18.553512
	18.01322998	18.542452
	18.02683513	18.532838
	18.04044029	18.538058
	18.05404545	18.542907
	18.06765061	18.541827
	18.08125577	18.557212
	18.09486093	18.574641
	18.10846609	18.587026
	18.12207124	18.594657
	18.1356764	18.598483
	18.14928156	18.575603
	18.16288672	18.563031
	18.17649188	18.549514
	18.19009704	18.529482
	18.2037022	18.512086
	18.21730735	18.498045
	18.23091251	18.494741
	18.24451767	18.481406
	18.25812283	18.472979
	18.27172799	18.459081
	18.28533315	18.452028
	18.29893831	18.447856
	18.31254346	18.455388
	18.32614862	18.448923
	18.33975378	18.445787
	18.35335894	18.445541
	18.3669641	18.449544
	18.38056926	18.445665
	18.39417442	18.442713
	18.40777957	18.440182
	18.42138473	18.441889
	18.43498989	18.433847
	18.44859505	18.43709
	18.46220021	18.441167
	18.47580537	18.442409
	18.48941053	18.446522
	18.50301568	18.463447
	18.51662084	18.459191
	18.530226	18.462518
	18.54383116	18.462131
	18.55743632	18.460298
	18.57104148	18.457271
	18.58464664	18.462401
	18.59825179	18.4668
	18.61185695	18.468161
	18.62546211	18.468327
	18.63906727	18.478698
	18.65267243	18.473074
	18.66627759	18.469047
	18.67988275	18.474727
	18.6934879	18.479089
	18.70709306	27.279306
	18.72069822	18.487585
	18.73430338	18.49694
	18.74790854	18.506092
	18.7615137	18.507313
	18.77511886	18.510064
	18.78872402	18.534254
	18.80232917	18.540351
	18.81593433	18.541218
	18.82953949	18.554268
	18.84314465	18.554254
	18.85674981	18.55333
	18.87035497	18.570567
	18.88396013	18.561223
	18.89756528	18.555959
	18.91117044	18.547085
	18.9247756	18.55223
	18.93838076	18.559961
	18.95198592	18.557902
	18.96559108	18.56007
	18.97919624	18.557582
	18.99280139	18.557656
	19.00640655	18.557234
	19.02001171	18.55126
	19.03361687	18.53806
	19.04722203	18.553876
	19.06082719	18.545797
	19.07443235	18.540021
	19.0880375	18.540378
	19.10164266	18.537061
	19.11524782	18.535085
	19.12885298	18.539882
	19.14245814	18.540172
	19.1560633	18.533242
	19.16966846	18.535702
	19.18327361	18.53237
	19.19687877	18.527008
	19.21048393	18.549106
	19.22408909	18.534712
	19.23769425	18.528291
	19.25129941	18.526123
	19.26490457	18.524024
	19.27850972	18.525729
	19.29211488	18.519835
	19.30572004	18.514872
	19.3193252	18.511215
	19.33293036	18.491406
	19.34653552	18.496818
	19.36014068	18.48968
	19.37374583	18.490333
	19.38735099	18.48533
	19.40095615	18.484434
	19.41456131	18.500467
	19.42816647	18.469367
	19.44177163	18.465254
	19.45537679	18.461813
	19.46898194	18.463061
	19.4825871	18.46881
	19.49619226	18.456085
	19.50979742	18.423277
	19.52340258	18.497891
	19.53700774	18.445903
	19.5506129	18.446626
	19.56421805	18.443586
	19.57782321	18.442251
	19.59142837	18.445309
	19.99958313	18.355807
	24.99947891	16.110557
