	e_energy	sigma
	10.77356891	0.0
	10.7752856	2.3077737
	10.78889076	12.206012
	10.80249592	20.496846
	10.81610108	26.322865
	10.82970624	28.241545
	10.8433114	28.781937
	10.85691656	28.647574
	10.87052171	28.186152
	10.88412687	27.570057
	10.89773203	26.891498
	10.91133719	26.201732
	10.92494235	25.532784
	10.93854751	24.912552
	10.95215267	24.229397
	10.96575782	23.47561
	10.97936298	22.826832
	10.99296814	22.231474
	11.0065733	21.66399
	11.02017846	21.11961
	11.03378362	20.597346
	11.04738878	20.097373
	11.06099394	19.620209
	11.07459909	19.166323
	11.08820425	18.735925
	11.10180941	18.329161
	11.11541457	17.945821
	11.12901973	17.585606
	11.14262489	17.248105
	11.15623005	16.932701
	11.1698352	16.638729
	11.18344036	16.365441
	11.19704552	16.111982
	11.21065068	15.877457
	11.22425584	15.660961
	11.237861	15.461554
	11.25146616	15.278285
	11.26507131	15.110198
	11.27867647	14.956372
	11.29228163	14.815916
	11.30588679	14.687962
	11.31949195	14.571658
	11.33309711	14.466264
	11.34670227	14.370993
	11.36030742	14.285128
	11.37391258	14.208049
	11.38751774	14.139093
	11.4011229	14.077661
	11.41472806	14.023184
	11.42833322	13.975139
	11.44193838	13.933002
	11.45554353	13.896315
	11.46914869	13.864588
	11.48275385	13.837399
	11.49635901	13.814427
	11.50996417	13.795311
	11.52356933	13.779814
	11.53717449	13.767748
	11.55077964	13.759079
	11.5643848	13.753889
	11.57798996	13.752909
	11.59159512	13.755024
	11.60520028	13.762089
	11.61880544	13.669575
	11.6324106	13.619156
	11.64601575	13.56304
	11.65962091	13.34365
	11.67322607	13.096024
	11.68683123	12.803116
	11.70043639	12.481539
	11.71404155	12.139662
	11.72764671	11.791091
	11.74125186	11.445759
	11.75485702	11.118682
	11.76846218	10.836394
	11.78206734	10.7274
	11.7956725	10.973039
	11.80927766	10.780922
	11.82288282	10.637754
	11.83648797	10.471683
	11.85009313	10.363547
	11.86369829	10.396658
	11.87730345	10.599401
	11.89090861	10.040955
	11.90451377	9.4678108
	11.91811893	8.9643917
	11.93172408	8.556217
	11.94532924	8.2237724
	11.9589344	7.9424465
	11.97253956	7.6610067
	11.98614472	7.4276027
