	e_energy	sigma
	13.19303956	0.0
	13.19700383	0.38840942
	13.21060899	1.5384761
	13.22421415	1.148206
	13.23781931	1.8424796
	13.25142447	2.5498219
	13.26502963	3.8161322
	13.27863479	5.4665564
	13.3058451	11.50838
	13.31945026	14.090358
	13.33305542	15.771274
	13.34666058	17.828746
	13.36026574	18.560318
	13.3738709	19.755485
	13.38747605	12.731873
	13.40108121	13.85756
	13.41468637	13.914767
	13.42829153	14.975454
	13.44189669	16.444414
	13.45550185	16.228047
	13.46910701	17.541684
	13.48271216	18.550258
	13.49631732	24.707489
	13.50992248	23.922173
	13.52352764	23.909868
	13.5371328	24.782959
	13.55073796	25.543907
	13.56434312	26.361892
	13.57794827	27.164045
	13.59155343	27.777051
	13.60515859	26.600321
	13.61876375	27.08661
	13.63236891	27.874506
	13.64597407	29.531501
	13.65957923	36.313131
	13.67318438	38.494434
	13.7003947	36.825465
	13.71399986	38.462316
	13.75481534	36.123731
	13.76842049	36.010609
	13.78202565	35.77803
	13.79563081	36.497562
	13.80923597	37.059626
	13.82284113	37.55665
	13.83644629	37.669217
	13.85005145	38.448977
	13.8636566	38.939001
	13.87726176	37.628392
	13.89086692	38.011487
	13.90447208	39.354503
	13.91807724	39.267238
	13.9316824	39.569448
	13.94528756	39.854982
	13.95889272	40.435165
	13.97249787	40.189469
	13.98610303	40.603217
	13.99970819	40.867429
	14.01331335	41.37665
	14.02691851	42.227738
	14.04052367	42.155762
	14.05412883	41.667531
	14.06773398	41.888267
	14.08133914	42.056204
	14.0949443	41.728999
	14.10854946	41.533783
	14.12215462	41.871903
	14.13575978	41.72737
	14.14936494	42.072778
	14.16297009	42.153415
	14.17657525	42.759982
	14.19018041	42.931488
	14.20378557	42.846396
	14.21739073	42.930726
	14.23099589	42.65771
	14.24460105	42.554707
	14.2582062	42.6034
	14.27181136	42.643553
	14.28541652	42.453795
	14.29902168	42.36445
	14.31262684	42.507205
	14.326232	42.523075
	14.33983716	42.295306
	14.35344231	42.143899
	14.36704747	41.692445
	14.38065263	41.367274
	14.39425779	41.460084
	14.40786295	41.436441
	14.42146811	41.637069
	14.43507327	41.471126
	14.44867842	41.598696
	14.46228358	41.485479
	14.47588874	41.622842
	14.4894939	41.586607
