	e_energy	sigma
	12.97054923	0.0
	12.9793213	102.2711
	12.99292646	120.97947
	13.00653161	132.2478
	13.02013677	127.15035
	13.03374193	134.93101
	13.04734709	169.37035
	13.06095225	170.77735
	13.07455741	158.20447
	13.08816257	153.94452
	13.10176772	151.01347
	13.11537288	148.46727
	13.12897804	146.55962
	13.1425832	144.41428
	13.15618836	146.38012
	13.16979352	143.33146
	13.18339868	140.52224
	13.19700383	137.13979
	13.21060899	134.5587
	13.22421415	131.73052
	13.23781931	129.41151
	13.25142447	153.06643
	13.26502963	147.19196
	13.27863479	140.65698
	13.3058451	123.22751
	13.31945026	119.93388
	13.33305542	115.64258
	13.34666058	115.52178
	13.36026574	119.47486
	13.3738709	126.66859
	13.38747605	125.51395
	13.40108121	113.62271
	13.41468637	109.98019
	13.42829153	109.95061
	13.44189669	108.8878
	13.45550185	108.30777
	13.46910701	107.28928
	13.48271216	105.8113
	13.49631732	104.97656
	13.50992248	103.89338
	13.52352764	102.43622
	13.5371328	101.16727
	13.55073796	101.08858
	13.56434312	99.80981
	13.57794827	98.56514
	13.59155343	97.234348
	13.60515859	94.099541
	13.61876375	94.388529
	13.63236891	95.378261
	13.64597407	101.26121
	13.65957923	104.63124
	13.67318438	103.96412
	13.7003947	90.507959
	13.71399986	87.379036
	13.75481534	82.109586
	13.76842049	72.934646
	13.78202565	70.698037
	13.79563081	69.35101
	13.80923597	68.838102
	13.82284113	69.968217
	13.83644629	70.327588
	13.85005145	70.747682
	13.8636566	70.977602
	13.87726176	69.71747
	13.89086692	68.745496
	13.90447208	68.1876
	13.91807724	69.943199
	13.9316824	70.103375
	13.94528756	69.648543
	13.95889272	69.444838
	13.97249787	69.101659
	13.98610303	68.121125
	13.99970819	67.385665
	14.01331335	67.125057
	14.02691851	64.756553
	14.04052367	64.268229
	14.05412883	63.640015
	14.06773398	63.358009
	14.08133914	61.141869
	14.0949443	60.955107
	14.10854946	61.072528
	14.12215462	59.310807
	14.13575978	58.425374
	14.14936494	57.493069
	14.16297009	56.854585
	14.17657525	55.819853
	14.19018041	55.096695
	14.20378557	54.303941
	14.21739073	53.733142
	14.23099589	52.713646
	14.24460105	52.690401
	14.2582062	52.866403
	14.27181136	52.401939
	14.28541652	52.05083
	14.29902168	51.435192
	14.31262684	50.922827
	14.326232	50.676349
	14.33983716	50.814462
	14.35344231	51.541234
	14.36704747	50.7036
	14.38065263	49.928812
	14.39425779	48.790563
	14.40786295	47.991731
	14.42146811	47.577075
	14.43507327	47.283709
	14.44867842	48.035882
	14.46228358	48.73495
	14.47588874	48.521054
	14.4894939	48.776058
	14.50309906	48.747031
	14.51670422	48.988135
	14.53030938	48.35594
	14.54391453	48.256816
	14.55751969	48.076475
	14.57112485	48.279583
	14.58473001	48.042751
	14.59833517	47.717462
	14.61194033	47.460081
	14.62554549	46.772872
	14.63915064	46.462994
	14.6527558	46.245223
	14.66636096	45.863621
	14.67996612	45.400057
	14.69357128	44.83031
	14.70717644	44.390132
	14.7207816	43.83582
	14.73438675	43.591648
	14.74799191	43.017498
	14.76159707	42.70665
	14.77520223	41.993002
	14.78880739	41.767916
