	e_energy	sigma
	12.02654306	0.0
	12.0269602	0.012708909
	12.04056535	0.013547781
	12.05417051	0.014090719
	12.06777567	0.016284487
	12.08138083	0.017240808
	12.09498599	0.018025722
	12.10859115	0.018696072
	12.12219631	0.019572836
	12.13580146	0.020484713
	12.14940662	0.020667692
	12.16301178	0.02116883
	12.17661694	0.021845181
	12.1902221	0.022526951
	12.20382726	0.023250281
	12.21743242	0.023968155
	12.23103757	0.024729841
	12.24464273	0.025435677
	12.25824789	0.026260343
	12.27185305	0.027210349
	12.28545821	0.028403502
	12.29906337	0.030085156
	12.31266853	0.032739135
	12.32627368	0.037541259
	12.33987884	0.045528074
	12.353484	0.061750252
	12.36708916	0.047069093
	12.38069432	0.031295021
	12.39429948	0.029199706
	12.40790464	0.02810272
	12.42150979	0.028101962
	12.43511495	0.028281825
	12.44872011	0.028536895
	12.46232527	0.028826118
	12.47593043	0.029185861
	12.48953559	0.029512843
	12.50314075	0.029851743
	12.5167459	0.030199885
	12.53035106	0.030557145
	12.54395622	0.03091974
	12.55756138	0.031294268
	12.57116654	0.031676072
	12.5847717	0.032066733
	12.59837686	0.032467135
	12.61198201	0.032879573
	12.62558717	0.03330739
	12.63919233	0.033758891
	12.65279749	0.034250299
	12.66640265	0.034805256
	12.68000781	0.035181962
	12.69361297	0.034812065
	12.70721812	0.0351064
	12.72082328	0.035530355
	12.73442844	0.035909335
	12.7480336	0.036219014
	12.76163876	0.036432093
	12.77524392	0.036493011
	12.78884908	0.036236605
	12.80245423	0.035111979
	12.81605939	0.03325329
	12.82966455	0.040959585
	12.84326971	0.039080908
	12.85687487	0.043057349
	12.87048003	0.046811135
	12.88408519	0.0405484
	12.89769034	0.037124537
	12.9112955	0.034185018
	12.92490066	0.034971802
	12.93850582	0.03479172
	12.95211098	0.035107475
	12.96571614	0.036307553
	12.9793213	0.038030209
	12.99292646	0.03872197
	13.00653161	0.035967241
	13.02013677	0.034102867
	13.03374193	0.033302205
	13.04734709	0.033361774
	13.06095225	0.033909011
	13.07455741	0.035215231
	13.08816257	0.033490947
	13.10176772	0.033881364
	13.11537288	0.034535574
	13.12897804	0.034963325
	13.1425832	0.035319281
	13.15618836	0.035689127
	13.16979352	0.035964649
	13.18339868	0.03629587
	13.19700383	0.036717771
	13.21060899	0.037059098
	13.22421415	0.03735943
	13.23781931	0.037574058
	13.25142447	0.038572519
	13.26502963	0.03875046
	13.27863479	0.03856599
	13.3058451	0.039245684
	13.31945026	0.039028666
	13.33305542	0.038197084
	13.34666058	0.037955783
	13.36026574	0.038353931
	13.3738709	0.038159381
	13.38747605	0.038080499
	13.40108121	0.03804847
	13.41468637	0.038504556
	13.42829153	0.038231961
	13.44189669	0.038389628
	13.45550185	0.038908464
	13.46910701	0.03881516
	13.48271216	0.03982903
	13.49631732	0.040734063
	13.50992248	0.042289037
	13.52352764	0.044618179
	13.5371328	0.048936683
	13.55073796	0.054954106
	13.56434312	0.047816314
	13.57794827	0.036668004
	13.59155343	0.034746317
	13.60515859	0.03596451
	13.61876375	0.036226109
	13.63236891	0.034550403
	13.64597407	0.034593318
	13.65957923	0.036167819
	13.67318438	0.037862446
	13.7003947	0.038833212
	13.71399986	0.03979895
	13.75481534	0.040330968
	13.76842049	0.042096284
	13.78202565	0.042066586
	13.79563081	0.04151207
	13.80923597	0.040844018
	13.82284113	0.040087022
	13.83644629	0.040360704
	13.85005145	0.04028151
	13.8636566	0.040022832
	13.87726176	0.039972013
	13.89086692	0.038935374
	13.90447208	0.039548076
	13.91807724	0.03965026
	13.9316824	0.039930938
	13.94528756	0.040032226
	13.95889272	0.039994352
	13.97249787	0.040327843
	13.98610303	0.040428298
	13.99970819	0.040214029
	14.01331335	0.039807357
	14.02691851	0.039172297
	14.04052367	0.038903698
	14.05412883	0.038996121
	14.06773398	0.039442883
	14.08133914	0.039298535
	14.0949443	0.039042587
	14.10854946	0.038107764
	14.12215462	0.037777264
	14.13575978	0.037518016
	14.14936494	0.036891173
	14.16297009	0.038746855
	14.17657525	0.037955992
	14.19018041	0.037340481
	14.20378557	0.037402259
	14.21739073	0.038002094
	14.23099589	0.03806744
	14.24460105	0.038161837
	14.2582062	0.038516774
	14.27181136	0.038783792
	14.28541652	0.038690055
	14.29902168	0.039042312
	14.31262684	0.039391152
	14.326232	0.039986164
	14.33983716	0.0402276
	14.35344231	0.040090051
	14.36704747	0.039878628
	14.38065263	0.04000829
	14.39425779	0.041145985
	14.40786295	0.041065521
	14.42146811	0.041429434
	14.43507327	0.041799218
	14.44867842	0.042191262
	14.46228358	0.042484101
	14.47588874	0.042922287
	14.4894939	0.043091005
	14.50309906	0.043126857
	14.51670422	0.043198785
	14.53030938	0.043898832
	14.54391453	0.043700718
	14.55751969	0.044035225
	14.57112485	0.044510345
	14.58473001	0.044845873
	14.59833517	0.044636377
	14.61194033	0.044005917
	14.62554549	0.04418859
	14.63915064	0.043815398
	14.6527558	0.04388225
	14.66636096	0.043444768
	14.67996612	0.043109786
	14.69357128	0.04296126
	14.70717644	0.043022556
	14.7207816	0.041756888
	14.73438675	0.043146656
	14.74799191	0.042923915
	14.76159707	0.042254893
	14.77520223	0.041830675
	14.78880739	0.042106555
	14.80241255	0.042444461
	14.81601771	0.042071816
	14.82962286	0.041759165
	14.84322802	0.042143262
	14.85683318	0.042695474
	14.87043834	0.042569615
	14.8840435	0.043198694
	14.89764866	0.043213663
	14.91125382	0.043202704
	14.92485898	0.043366692
	14.93846413	0.043714171
	14.95206929	0.043447573
	14.96567445	0.043682632
	14.97927961	0.043945024
	14.99288477	0.04433884
	15.00648993	0.044098355
	15.02009509	0.044414269
