	e_energy	sigma
	12.14526195	0.0
	12.14940662	0.0010590372
	12.16301178	0.0012937542
	12.17661694	0.0019964979
	12.1902221	0.002461115
	12.20382726	0.0028176789
	12.21743242	0.0030048535
	12.23103757	0.0032236018
	12.24464273	0.0034641423
	12.25824789	0.0036660671
	12.27185305	0.0038659667
	12.28545821	0.004073286
	12.29906337	0.0043097292
	12.31266853	0.0046365948
	12.32627368	0.0052542737
	12.33987884	0.0069563539
	12.353484	0.021965128
	12.36708916	0.016237213
	12.38069432	0.0075642008
	12.39429948	0.0064713188
	12.40790464	0.0059383244
	12.42150979	0.0057908929
	12.43511495	0.0057403811
	12.44872011	0.0057148038
	12.46232527	0.005725703
	12.47593043	0.0057406445
	12.48953559	0.0057689035
	12.50314075	0.0058008372
	12.5167459	0.005834877
	12.53035106	0.0058710178
	12.54395622	0.005905452
	12.55756138	0.0059451763
	12.57116654	0.0059879295
	12.5847717	0.0060362826
	12.59837686	0.0060941356
	12.61198201	0.0061677937
	12.62558717	0.0062733884
	12.63919233	0.0064403207
	12.65279749	0.0067682601
	12.66640265	0.0075632237
	12.68000781	0.0093249837
	12.69361297	0.0081474691
	12.70721812	0.0067660264
	12.72082328	0.0064276093
	12.73442844	0.006370144
	12.7480336	0.006409147
	12.76163876	0.0065068346
	12.77524392	0.006659361
	12.78884908	0.006883606
	12.80245423	0.0072163065
	12.81605939	0.007733054
	12.82966455	0.0081317609
	12.84326971	0.009534272
	12.85687487	0.0099829812
	12.87048003	0.0097190279
	12.88408519	0.0092825709
	12.89769034	0.0099885556
	12.9112955	0.0099095193
	12.92490066	0.0096397202
	12.93850582	0.0088892004
	12.95211098	0.0080927439
	12.96571614	0.0075006613
	12.9793213	0.0074937859
	12.99292646	0.0075058077
	13.00653161	0.0070076778
	13.02013677	0.0064814846
	13.03374193	0.0057601102
	13.04734709	0.0053670609
	13.06095225	0.0052420205
	13.07455741	0.0051798486
	13.08816257	0.0049478623
	13.10176772	0.0049335425
	13.11537288	0.0050661888
	13.12897804	0.0051283969
	13.1425832	0.0052174872
	13.15618836	0.0052871767
	13.16979352	0.0053523881
	13.18339868	0.0054353789
	13.19700383	0.0055666172
	13.21060899	0.0057209422
	13.22421415	0.0057599823
	13.23781931	0.0059222598
	13.25142447	0.0062162406
	13.26502963	0.0063816676
	13.27863479	0.0063443191
	13.3058451	0.0065036554
	13.31945026	0.0064222185
	13.33305542	0.0058965709
	13.34666058	0.0057435487
	13.36026574	0.005973412
	13.3738709	0.0058448262
	13.38747605	0.0056430704
	13.40108121	0.0055840305
	13.41468637	0.0055587036
	13.42829153	0.005497633
	13.44189669	0.0055709367
	13.45550185	0.0055998208
	13.46910701	0.0056076253
	13.48271216	0.0054614332
	13.49631732	0.0054127696
	13.50992248	0.0054061121
	13.52352764	0.0056886087
	13.5371328	0.0054969691
	13.55073796	0.005638888
	13.56434312	0.0056838056
	13.57794827	0.0055732455
	13.59155343	0.0057192098
	13.60515859	0.0063757402
	13.61876375	0.0075868457
	13.63236891	0.007266454
	13.64597407	0.006418175
	13.65957923	0.0062790513
	13.67318438	0.0062873458
	13.7003947	0.0054264754
	13.71399986	0.005780694
	13.75481534	0.0071424692
	13.76842049	0.0069642424
	13.78202565	0.0068771483
	13.79563081	0.0069047932
	13.80923597	0.0067200407
	13.82284113	0.0065069116
	13.83644629	0.0063860628
	13.85005145	0.0061854083
	13.8636566	0.0061943325
	13.87726176	0.0061626482
	13.89086692	0.0058687381
	13.90447208	0.0058257095
	13.91807724	0.005842947
	13.9316824	0.0058641227
	13.94528756	0.0061383342
	13.95889272	0.0062079397
	13.97249787	0.0059808811
	13.98610303	0.0058573053
	13.99970819	0.0059785958
	14.01331335	0.0060499899
	14.02691851	0.0058307173
	14.04052367	0.0060034686
	14.05412883	0.0060894629
	14.06773398	0.0060251524
	14.08133914	0.0061081876
	14.0949443	0.0061725965
	14.10854946	0.0061409657
	14.12215462	0.0061020208
	14.13575978	0.0059470176
	14.14936494	0.0057502174
	14.16297009	0.0061333872
	14.17657525	0.0059483112
	14.19018041	0.0056443908
	14.20378557	0.0056231155
	14.21739073	0.0056381953
	14.23099589	0.0056289594
	14.24460105	0.0056255259
	14.2582062	0.0056909151
	14.27181136	0.0056962997
	14.28541652	0.0058486041
	14.29902168	0.0057984897
	14.31262684	0.0057667321
	14.326232	0.0057258177
	14.33983716	0.0056308434
	14.35344231	0.0055616009
