	e_energy	sigma
	13.19303956	0.0
	13.19700383	2.3127555e-05
	13.21060899	0.00011168445
	13.22421415	0.00020786836
	13.23781931	0.00035567173
	13.25142447	0.00048526594
	13.26502963	0.00060840148
	13.27863479	0.00070127057
	13.3058451	0.00063242331
	13.31945026	0.00051731606
	13.33305542	0.00047383224
	13.34666058	0.00051421935
	13.36026574	0.00056348542
	13.3738709	0.00055391703
	13.38747605	0.00052587372
	13.40108121	0.00054070386
	13.41468637	0.00041527872
	13.42829153	0.00061691581
	13.44189669	0.00050760456
	13.45550185	0.00061934418
	13.46910701	0.00052693888
	13.48271216	0.00059291952
	13.49631732	0.00063740236
	13.50992248	0.00064791756
	13.52352764	0.00067781745
	13.5371328	0.000640139
	13.55073796	0.00070692901
	13.56434312	0.00067688045
	13.57794827	0.00052583467
	13.59155343	0.0004414025
	13.60515859	0.00044580548
	13.61876375	0.00041815028
	13.63236891	0.00040248205
	13.64597407	0.00040885127
	13.65957923	0.00043119793
	13.67318438	0.00040501636
	13.7003947	0.00051164541
	13.71399986	0.00051734441
	13.75481534	0.00039300026
	13.76842049	0.00040513106
	13.78202565	0.00039921324
	13.79563081	0.00038640918
	13.80923597	0.00054943652
	13.82284113	0.00062833074
	13.83644629	0.00069100008
	13.85005145	0.00070195875
	13.8636566	0.00067983481
	13.87726176	0.00066418504
	13.89086692	0.00069267347
	13.90447208	0.00072124253
	13.91807724	0.00077457162
	13.9316824	0.000772243
	13.94528756	0.00073066122
	13.95889272	0.00072698807
	13.97249787	0.00088536206
	13.98610303	0.00073285944
	13.99970819	0.00087368782
	14.01331335	0.00094227736
	14.02691851	0.00091891489
	14.04052367	0.00092009105
	14.05412883	0.00082933531
	14.06773398	0.00075950928
	14.08133914	0.00069493124
	14.0949443	0.00065588572
	14.10854946	0.00056451307
	14.12215462	0.00055665524
	14.13575978	0.00059881359
	14.14936494	0.0005781418
	14.16297009	0.00055459442
	14.17657525	0.00070173321
	14.19018041	0.00070805485
	14.20378557	0.00077388355
	14.21739073	0.00062038427
	14.23099589	0.00053852477
	14.24460105	0.00067719187
	14.2582062	0.00081903136
	14.27181136	0.00078725409
	14.28541652	0.00078390338
	14.29902168	0.00082484239
	14.31262684	0.00080690983
