	e_energy	sigma
	10.77356891	0.0
	10.7752856	0.01097916
	10.78889076	0.1324064
	10.80249592	0.16760417
	10.81610108	0.15285503
	10.82970624	0.15218286
	10.8433114	0.15241499
	10.85691656	0.15226969
	10.87052171	0.15179071
	10.88412687	0.15072299
	10.89773203	0.14910554
	10.91133719	0.14686813
	10.92494235	0.14399396
	10.93854751	0.14062811
	10.95215267	0.13381317
	10.96575782	0.12175652
	10.97936298	0.11163647
	10.99296814	0.10299555
	11.0065733	0.095794917
	11.02017846	0.089918434
	11.03378362	0.085185058
	11.04738878	0.081402993
	11.06099394	0.078398176
	11.07459909	0.076024643
	11.08820425	0.073948628
	11.10180941	0.072478948
	11.11541457	0.071350746
	11.12901973	0.070504653
	11.14262489	0.069893481
	11.15623005	0.06947911
	11.1698352	0.06923102
	11.18344036	0.069123722
	11.19704552	0.069136807
	11.21065068	0.069253164
	11.22425584	0.069458156
	11.237861	0.069703799
	11.25146616	0.07005136
	11.26507131	0.070456604
	11.27867647	0.070912258
	11.29228163	0.071412329
	11.30588679	0.071950745
	11.31949195	0.072523267
	11.33309711	0.073125642
	11.34670227	0.073754512
	11.36030742	0.074406778
	11.37391258	0.075079753
	11.38751774	0.075771001
	11.4011229	0.076478827
	11.41472806	0.077142702
	11.42833322	0.077873591
	11.44193838	0.07861402
	11.45554353	0.079366791
	11.46914869	0.080125758
	11.48275385	0.080891343
	11.49635901	0.081661739
	11.50996417	0.082435339
	11.52356933	0.083211272
	11.53717449	0.083987179
	11.55077964	0.084762271
	11.5643848	0.085534646
	11.57798996	0.086302815
	11.59159512	0.087066194
	11.60520028	0.087824167
	11.61880544	0.08870407
	11.6324106	0.089386656
	11.64601575	0.089852912
	11.65962091	0.089150841
	11.67322607	0.089090116
	11.68683123	0.088964623
	11.70043639	0.08880016
	11.71404155	0.088639457
	11.72764671	0.088358591
	11.74125186	0.087999988
	11.75485702	0.087489577
	11.76846218	0.086556505
	11.78206734	0.083629072
	11.7956725	0.080060211
	11.80927766	0.081215501
	11.82288282	0.082114005
	11.83648797	0.082956453
	11.85009313	0.083482569
	11.86369829	0.083370766
	11.87730345	0.083473679
	11.89090861	0.08721675
	11.90451377	0.1595644
	11.91811893	0.081335646
	11.93172408	0.080502361
	11.94532924	0.080700846
	11.9589344	0.091696168
	11.97253956	0.084657128
	11.98614472	0.08162073
	11.99974988	0.080278245
	12.01335504	0.079380503
	12.0269602	0.073055619
	12.04056535	0.074209997
	12.05417051	0.075239482
	12.06777567	0.075956265
	12.08138083	0.077403333
	12.09498599	0.079008832
