	e_energy	sigma
	12.97054923	0.0
	12.9793213	0.0010728518
	12.99292646	0.0017041365
	13.00653161	0.0029860448
	13.02013677	0.0044813023
	13.03374193	0.0068439753
	13.04734709	0.0072686806
	13.06095225	0.0064688496
	13.07455741	0.0053357336
	13.08816257	0.0051648271
	13.10176772	0.0048258637
	13.11537288	0.0047274587
	13.12897804	0.0046377562
	13.1425832	0.0046708633
	13.15618836	0.0048271246
	13.16979352	0.004843744
	13.18339868	0.0048457009
	13.19700383	0.004844507
	13.21060899	0.0048353024
	13.22421415	0.0048936661
	13.23781931	0.00512129
	13.25142447	0.0037730431
	13.26502963	0.0030872149
	13.27863479	0.0030581378
	13.3058451	0.0036891147
	13.31945026	0.0049076392
	13.33305542	0.0038738273
	13.34666058	0.004076979
	13.36026574	0.0048721194
	13.3738709	0.0048213006
	13.38747605	0.0048946786
	13.40108121	0.0049531719
	13.41468637	0.0052043388
	13.42829153	0.0050767683
	13.44189669	0.005012202
	13.45550185	0.0049881773
	13.46910701	0.0049906023
	13.48271216	0.0050181528
	13.49631732	0.0051013291
	13.50992248	0.0052261666
	13.52352764	0.0052564213
	13.5371328	0.0052702633
	13.55073796	0.0054517356
	13.56434312	0.0054316584
	13.57794827	0.0054181111
	13.59155343	0.0054628907
	13.60515859	0.0050584295
	13.61876375	0.0053488674
	13.63236891	0.0054349662
	13.64597407	0.0053584315
	13.65957923	0.0053417241
	13.67318438	0.0050625356
	13.7003947	0.0052424993
	13.71399986	0.0044985953
	13.75481534	0.0033751576
	13.76842049	0.0034954601
	13.78202565	0.0035515085
	13.79563081	0.0039240457
	13.80923597	0.0035528962
	13.82284113	0.0038651835
	13.83644629	0.0039037846
	13.85005145	0.0041202053
	13.8636566	0.004171311
	13.87726176	0.0044312272
	13.89086692	0.0041182562
	13.90447208	0.0042253164
	13.91807724	0.0048591839
	13.9316824	0.005193808
	13.94528756	0.0049357061
	13.95889272	0.0051801291
	13.97249787	0.0052705153
	13.98610303	0.004604533
	13.99970819	0.0043946109
	14.01331335	0.0043578041
	14.02691851	0.0046367713
	14.04052367	0.0052316702
	14.05412883	0.0057689953
	14.06773398	0.0056504236
	14.08133914	0.0052410502
	14.0949443	0.0049733144
	14.10854946	0.0050140862
	14.12215462	0.005272312
	14.13575978	0.0050416422
	14.14936494	0.0049687402
	14.16297009	0.0049110959
	14.17657525	0.0050722626
	14.19018041	0.0052329139
	14.20378557	0.0052576868
	14.21739073	0.0047731272
	14.23099589	0.004265381
	14.24460105	0.0042348098
	14.2582062	0.0044352049
	14.27181136	0.0042602911
	14.28541652	0.0044307088
	14.29902168	0.0042589233
	14.31262684	0.004366563
	14.326232	0.0038888008
	14.33983716	0.0036411701
	14.35344231	0.0040689722
	14.36704747	0.004057519
	14.38065263	0.0037835045
	14.39425779	0.0036205921
	14.40786295	0.0034699132
	14.42146811	0.0033003092
	14.43507327	0.003243754
	14.44867842	0.0029915677
	14.46228358	0.0030790865
	14.47588874	0.0031934947
	14.4894939	0.0032927333
	14.50309906	0.0033822243
	14.51670422	0.0036106728
