	e_energy	sigma
	13.19303956	0.0
	13.19700383	0.00015825509
	13.21060899	0.00042506808
	13.22421415	0.0011557829
	13.23781931	0.0016187546
	13.25142447	0.0017612099
	13.26502963	0.0020740215
	13.27863479	0.0023244502
	13.3058451	0.0015446877
	13.31945026	0.001098385
	13.33305542	0.0008684329
	13.34666058	0.00094182778
	13.36026574	0.0013900896
	13.3738709	0.0013754055
	13.38747605	0.0013260236
	13.40108121	0.0014671754
	13.41468637	0.0017963267
	13.42829153	0.0013839586
	13.44189669	0.0012229935
	13.45550185	0.0013779855
	13.46910701	0.0014996632
	13.48271216	0.0014837182
	13.49631732	0.0013868274
	13.50992248	0.0012981142
	13.52352764	0.00092608541
	13.5371328	0.0013231972
	13.55073796	0.00099677434
	13.56434312	0.00077697736
	13.57794827	0.00055866823
	13.59155343	0.00039597018
	13.60515859	0.0005364761
	13.61876375	0.00033676933
	13.63236891	0.00041920976
	13.64597407	0.00057416759
	13.65957923	0.0010456817
	13.67318438	0.00086019284
	13.7003947	0.00086250213
	13.71399986	0.0012808873
	13.75481534	0.00088183742
	13.76842049	0.0010624057
	13.78202565	0.00084557479
	13.79563081	0.00050833618
	13.80923597	0.00053519965
	13.82284113	0.00076144617
	13.83644629	0.00097942857
	13.85005145	0.00067253484
	13.8636566	0.00065249253
	13.87726176	0.00079963812
	13.89086692	0.00083328036
	13.90447208	0.00094646344
	13.91807724	0.0010092617
	13.9316824	0.000911002
	13.94528756	0.0009314776
	13.95889272	0.0010245302
	13.97249787	0.00095554043
	13.98610303	0.0010703493
	13.99970819	0.0011111409
	14.01331335	0.0011435867
	14.02691851	0.0012875094
	14.04052367	0.0011035588
	14.05412883	0.0011701516
	14.06773398	0.0015587279
	14.08133914	0.0015375315
	14.0949443	0.0015287281
	14.10854946	0.0016834144
	14.12215462	0.0019469266
	14.13575978	0.0018622819
	14.14936494	0.0017992288
	14.16297009	0.0011786694
	14.17657525	0.0018368105
	14.19018041	0.0017001941
	14.20378557	0.002100475
	14.21739073	0.0020419299
	14.23099589	0.0020030368
	14.24460105	0.0015755329
	14.2582062	0.001684365
	14.27181136	0.0017298858
	14.28541652	0.0020089455
	14.29902168	0.0021233839
	14.31262684	0.0021207705
	14.326232	0.0021715574
	14.33983716	0.0021143289
	14.35344231	0.0017857951
	14.36704747	0.0019890222
	14.38065263	0.0021678263
	14.39425779	0.001901247
	14.40786295	0.0021108452
	14.42146811	0.0019851771
	14.43507327	0.0023213962
	14.44867842	0.0023706645
	14.46228358	0.0024241483
	14.47588874	0.0022581593
	14.4894939	0.0023168736
	14.50309906	0.0021217415
	14.51670422	0.0024011818
	14.53030938	0.0025638463
	14.54391453	0.0025843456
	14.55751969	0.0026222017
