	e_energy	sigma
	13.26777923	0.0
	13.27863479	0.0006659313
	13.3058451	0.0011112794
	13.31945026	0.001300093
	13.33305542	0.0017832724
	13.34666058	0.0018291475
	13.36026574	0.00091709035
	13.3738709	0.0013294953
	13.38747605	0.0013891261
	13.40108121	0.0014947182
	13.41468637	0.0016274405
	13.42829153	0.0015537307
	13.44189669	0.0016480488
	13.45550185	0.0021583369
	13.46910701	0.0018128139
	13.48271216	0.0019487043
	13.49631732	0.0019632716
	13.50992248	0.0020135197
	13.52352764	0.0020997286
	13.5371328	0.002059044
	13.55073796	0.0021680459
	13.56434312	0.0023824114
	13.57794827	0.0027250384
	13.59155343	0.003124781
	13.60515859	0.0034835286
	13.61876375	0.0038849964
	13.63236891	0.0035989719
	13.64597407	0.0038386842
	13.65957923	0.0040506305
	13.67318438	0.0036317412
	13.7003947	0.0039871998
	13.71399986	0.0039408828
	13.75481534	0.0026365955
	13.76842049	0.0025881965
	13.78202565	0.0024323364
	13.79563081	0.0027386728
	13.80923597	0.0027569877
	13.82284113	0.0029295197
	13.83644629	0.0029601477
	13.85005145	0.0032119509
	13.8636566	0.0034327343
	13.87726176	0.0038934228
	13.89086692	0.0036430325
	13.90447208	0.0035637782
	13.91807724	0.0034836009
	13.9316824	0.0034949161
	13.94528756	0.0029531825
	13.95889272	0.0022329311
	13.97249787	0.001946526
	13.98610303	0.0019162668
	13.99970819	0.0022011499
	14.01331335	0.0024642861
	14.02691851	0.0027453545
	14.04052367	0.0027763238
	14.05412883	0.0031601794
	14.06773398	0.0030214815
	14.08133914	0.0029084444
	14.0949443	0.003233729
	14.10854946	0.0031003482
	14.12215462	0.0030061377
	14.13575978	0.0030620143
	14.14936494	0.0034012982
	14.16297009	0.0036171185
	14.17657525	0.0034846049
	14.19018041	0.0036315561
	14.20378557	0.0035707778
	14.21739073	0.0044414595
	14.23099589	0.0043117189
	14.24460105	0.0042672336
	14.2582062	0.0041818406
	14.27181136	0.0040838175
	14.28541652	0.0037087241
	14.29902168	0.0040953766
	14.31262684	0.0041418312
	14.326232	0.0039547655
	14.33983716	0.0039273109
	14.35344231	0.0037443412
	14.36704747	0.003843865
	14.38065263	0.0039915335
	14.39425779	0.0040650541
	14.40786295	0.0045406683
	14.42146811	0.0045061801
	14.43507327	0.004717723
	14.44867842	0.0048793673
	14.46228358	0.005056082
	14.47588874	0.0052136597
	14.4894939	0.0053759136
	14.50309906	0.0055805415
	14.51670422	0.0056559204
	14.53030938	0.0053203686
	14.54391453	0.0054700338
	14.55751969	0.0058099614
	14.57112485	0.006074056
	14.58473001	0.006202212
	14.59833517	0.0061957656
	14.61194033	0.0060966855
	14.62554549	0.0060214752
	14.63915064	0.0060541467
	14.6527558	0.0054808665
	14.66636096	0.0055686864
	14.67996612	0.0054321119
	14.69357128	0.0051801116
	14.70717644	0.0051983608
	14.7207816	0.0050026426
	14.73438675	0.005013924
	14.74799191	0.0053433778
	14.76159707	0.0050295736
	14.77520223	0.0047570041
	14.78880739	0.0043218424
	14.80241255	0.0041871052
	14.81601771	0.0042298235
	14.82962286	0.0042564786
	14.84322802	0.0043555531
	14.85683318	0.0049332952
	14.87043834	0.0049692404
	14.8840435	0.0048318085
	14.89764866	0.0047466633
	14.91125382	0.0044409363
	14.92485898	0.004822959
	14.93846413	0.0048069146
	14.95206929	0.0050560662
	14.96567445	0.0049449148
