	e_energy	sigma
	12.97054923	0.0
	12.9793213	0.36632235
	12.99292646	0.68093166
	13.00653161	0.67657072
	13.02013677	0.7121604
	13.03374193	0.78216393
	13.04734709	0.80410155
	13.06095225	0.81614743
	13.07455741	0.83172969
	13.08816257	0.81941412
	13.10176772	0.7756646
	13.11537288	0.77166489
	13.12897804	0.77510045
	13.1425832	0.78715183
	13.15618836	0.83189879
	13.16979352	0.85379419
	13.18339868	0.88215332
	13.19700383	0.90251959
	13.21060899	0.93017463
	13.22421415	0.95925121
	13.23781931	0.98704889
	13.25142447	0.99108326
	13.26502963	1.0140062
	13.27863479	1.0366033
	13.3058451	1.0536897
	13.31945026	1.0496158
	13.33305542	1.0423503
	13.34666058	1.0379608
	13.36026574	0.99968774
	13.3738709	0.94033987
	13.38747605	1.0659672
	13.40108121	1.1866211
	13.41468637	1.1942478
	13.42829153	1.2060222
	13.44189669	1.2060052
	13.45550185	1.2088819
	13.46910701	1.2074715
	13.48271216	1.2007968
	13.49631732	1.1903582
	13.50992248	1.204378
	13.52352764	1.2111668
	13.5371328	1.1974513
	13.55073796	1.1896855
	13.56434312	1.1956794
	13.57794827	1.2249776
	13.59155343	1.2455316
	13.60515859	1.2488911
	13.61876375	1.2503274
	13.63236891	1.1710553
	13.64597407	1.0937828
	13.65957923	1.0753974
	13.67318438	1.111688
	13.7003947	1.0646998
	13.71399986	1.0347201
	13.75481534	0.94429147
	13.76842049	1.0711797
	13.78202565	1.083992
	13.79563081	1.0883036
	13.80923597	1.0604887
	13.82284113	1.019722
	13.83644629	1.031079
	13.85005145	1.0479627
	13.8636566	1.08783
	13.87726176	1.1114226
	13.89086692	1.1231031
	13.90447208	1.0532845
	13.91807724	1.0739588
	13.9316824	1.0965464
	13.94528756	1.1030324
	13.95889272	1.1341713
	13.97249787	1.1473444
	13.98610303	1.1487296
	13.99970819	1.1407824
	14.01331335	1.1137726
	14.02691851	1.1342139
	14.04052367	1.1505687
	14.05412883	1.1679507
	14.06773398	1.145629
	14.08133914	1.1809105
	14.0949443	1.1915638
	14.10854946	1.2180111
	14.12215462	1.2242986
	14.13575978	1.2081458
	14.14936494	1.2092586
	14.16297009	1.2006316
	14.17657525	1.2120056
	14.19018041	1.2180687
	14.20378557	1.2194547
	14.21739073	1.2082069
	14.23099589	1.1976931
	14.24460105	1.2095605
	14.2582062	1.2127369
	14.27181136	1.2079975
	14.28541652	1.2035112
	14.29902168	1.1887414
	14.31262684	1.18199
	14.326232	1.1707647
	14.33983716	1.1607717
	14.35344231	1.1733835
	14.36704747	1.1731961
	14.38065263	1.1808446
	14.39425779	1.1826435
	14.40786295	1.1910597
	14.42146811	1.2046809
	14.43507327	1.2177169
	14.44867842	1.2260724
	14.46228358	1.2516153
	14.47588874	1.2496714
	14.4894939	1.2547968
	14.50309906	1.2558395
	14.51670422	1.2713573
	14.53030938	1.2574155
	14.54391453	1.2603563
	14.55751969	1.2603843
	14.57112485	1.2656663
	14.58473001	1.2685465
	14.59833517	1.2774985
	14.61194033	1.2810308
	14.62554549	1.3025605
	14.63915064	1.2924976
	14.6527558	1.2882745
	14.66636096	1.2787038
	14.67996612	1.2689852
	14.69357128	1.2688743
	14.70717644	1.2644029
	14.7207816	1.2577058
	14.73438675	1.2562369
	14.74799191	1.2583246
	14.76159707	1.2538915
	14.77520223	1.2550122
	14.78880739	1.2662832
	14.80241255	1.2482978
	14.81601771	1.2527142
	14.82962286	1.2515967
	14.84322802	1.2544488
	14.85683318	1.2604031
