	e_energy	sigma
	13.34753729	0.0
	13.36026574	0.015545231
	13.3738709	0.016482789
	13.38747605	0.019884055
	13.40108121	0.025875912
	13.41468637	0.036211132
	13.42829153	0.038668729
	13.44189669	0.036220575
	13.45550185	0.05191483
	13.46910701	0.051564796
	13.48271216	0.058365292
	13.49631732	0.062648642
	13.50992248	0.065842659
	13.52352764	0.066942016
	13.5371328	0.057703034
	13.55073796	0.058351729
	13.56434312	0.060649339
	13.57794827	0.065311222
	13.59155343	0.071279455
	13.60515859	0.078062183
	13.61876375	0.078428985
	13.63236891	0.078671487
	13.64597407	0.07345254
	13.65957923	0.067576717
	13.67318438	0.06198686
	13.7003947	0.071393843
	13.71399986	0.076991744
	13.75481534	0.056602634
	13.76842049	0.04953156
	13.78202565	0.053421218
	13.79563081	0.045727491
	13.80923597	0.043269819
	13.82284113	0.04661237
	13.83644629	0.040474078
	13.85005145	0.038280198
	13.8636566	0.038851884
	13.87726176	0.036994253
	13.89086692	0.038531697
	13.90447208	0.048186619
	13.91807724	0.047562245
	13.9316824	0.048456768
	13.94528756	0.045931482
	13.95889272	0.055147765
	13.97249787	0.045871616
	13.98610303	0.043050846
	13.99970819	0.042620665
	14.01331335	0.041765194
	14.02691851	0.047962643
	14.04052367	0.048801501
	14.05412883	0.050416206
	14.06773398	0.053688766
	14.08133914	0.05665578
	14.0949443	0.060393352
	14.10854946	0.060737697
	14.12215462	0.06142607
	14.13575978	0.061424122
	14.14936494	0.061663192
	14.16297009	0.0571214
	14.17657525	0.058321567
	14.19018041	0.059624933
	14.20378557	0.059048328
	14.21739073	0.05727431
	14.23099589	0.052521454
	14.24460105	0.049772015
	14.2582062	0.046587472
	14.27181136	0.045007272
	14.28541652	0.046023925
	14.29902168	0.042720918
	14.31262684	0.042488535
	14.326232	0.04268747
	14.33983716	0.040469001
	14.35344231	0.042833868
	14.36704747	0.041783767
	14.38065263	0.043527367
	14.39425779	0.046773966
	14.40786295	0.046169328
	14.42146811	0.043947008
	14.43507327	0.043644736
	14.44867842	0.041491086
	14.46228358	0.040368699
	14.47588874	0.037366672
	14.4894939	0.037109192
	14.50309906	0.037269383
	14.51670422	0.039297307
	14.53030938	0.038868536
	14.54391453	0.037669823
	14.55751969	0.037368934
