	e_energy	sigma
	30.0	0.0325
	35.0	0.0904
	40.0	0.166
	45.0	0.245
	50.0	0.319
	55.0	0.39
	60.0	0.438
	65.0	0.482
	70.0	0.523
	75.0	0.561
	80.0	0.587
	85.0	0.605
	90.0	0.632
	95.0	0.645
	100.0	0.656
	110.0	0.66
	120.0	0.661
	140.0	0.652
	160.0	0.633
	180.0	0.595
	200.0	0.566
	225.0	0.516
	250.0	0.493
	275.0	0.458
	300.0	0.438
	350.0	0.393
	400.0	0.351
	450.0	0.324
	500.0	0.299
	550.0	0.274
	600.0	0.248
	650.0	0.234
	700.0	0.217
	750.0	0.205
	800.0	0.2
	850.0	0.192
	900.0	0.183
	950.0	0.176
	1000.0	0.167
