	e_energy	sigma
	16.0	0.0211
	16.5	0.0466
	17.0	0.0713
	17.5	0.0985
	18.0	0.129
	18.5	0.164
	19.0	0.199
	19.5	0.23
	20.0	0.27
	20.5	0.308
	21.0	0.344
	21.5	0.38
	22.0	0.418
	22.5	0.455
	23.0	0.492
	23.5	0.528
	24.0	0.565
	24.5	0.603
	25.0	0.64
	30.0	0.962
	35.0	1.25
	40.0	1.54
	45.0	1.77
	50.0	1.91
	55.0	2.05
	60.0	2.16
	65.0	2.22
	70.0	2.3
	75.0	2.36
	80.0	2.4
	85.0	2.43
	90.0	2.47
	95.0	2.5
	100.0	2.51
	110.0	2.5
	120.0	2.48
	140.0	2.45
	160.0	2.36
	180.0	2.28
	200.0	2.19
	225.0	2.08
	250.0	1.98
	275.0	1.89
	300.0	1.82
	350.0	1.68
	400.0	1.56
	450.0	1.45
	500.0	1.36
	550.0	1.28
	600.0	1.2
	650.0	1.12
	700.0	1.07
	750.0	1.01
	800.0	0.971
	850.0	0.936
	900.0	0.907
	950.0	0.879
	1000.0	0.847
