	e_energy	sigma
	1.002	9.91
	1.012	9.88
	1.023	9.86
	1.033	9.96
	1.044	10.05
	1.055	10.04
	1.066	10.01
	1.078	10.21
	1.089	10.1
	1.101	10.17
	1.113	10.07
	1.125	10.06
	1.137	9.95
	1.15	10.03
	1.162	10.22
	1.175	10.31
	1.188	10.15
	1.202	10.14
	1.215	10.34
	1.229	10.27
	1.243	10.33
	1.258	10.32
	1.272	10.43
	1.287	10.42
	1.302	10.31
	1.317	10.44
	1.333	10.36
	1.349	10.61
	1.365	10.66
	1.381	10.55
	1.398	10.75
	1.415	10.76
	1.432	10.8
	1.45	10.96
	1.468	10.97
	1.487	10.98
	1.505	11.24
	1.524	11.29
	1.544	11.4
	1.563	11.58
	1.584	11.79
	1.604	11.86
	1.625	12.04
	1.647	12.3
	1.668	12.66
	1.691	13.0
	1.713	13.51
	1.736	13.79
	1.76	14.44
	1.784	15.28
	1.809	16.36
	1.834	17.46
	1.853	18.61
	1.866	19.12
	1.879	20.23
	1.892	21.19
	1.906	22.26
	1.922	23.23
	1.936	24.26
	1.951	25.4
	1.965	25.95
	1.98	25.88
	1.994	25.84
	2.009	25.61
	2.024	25.37
	2.039	24.52
	2.055	23.81
	2.07	23.69
	2.086	23.83
	2.102	24.13
	2.118	25.26
	2.134	27.18
	2.151	29.13
	2.167	30.77
	2.184	32.78
	2.201	33.22
	2.219	33.58
	2.236	32.62
	2.254	31.11
	2.272	29.75
	2.29	28.32
	2.308	27.14
	2.326	26.19
	2.345	26.36
	2.364	27.64
	2.383	28.82
	2.403	30.79
	2.422	32.06
	2.463	31.8
	2.483	30.85
	2.504	29.19
	2.525	27.25
	2.546	25.83
	2.567	25.18
	2.589	25.19
	2.611	25.63
	2.633	27.03
	2.656	27.9
	2.679	27.78
	2.702	26.74
	2.725	25.9
	2.749	24.33
	2.773	22.95
	2.798	22.19
	2.822	22.32
	2.848	22.49
	2.873	22.84
	2.899	23.28
	2.925	22.39
	2.951	21.64
	2.978	20.51
	3.005	19.73
	3.033	19.29
	3.061	19.3
	3.089	19.17
	3.118	19.24
	3.147	18.69
	3.176	18.22
	3.206	17.46
	3.236	16.95
	3.267	16.75
	3.298	16.69
	3.328	16.6
	3.36	16.51
	3.391	16.02
	3.423	15.9
	3.456	15.37
	3.489	15.16
	3.523	15.05
	3.557	15.05
	3.591	14.55
	3.626	14.51
	3.662	14.16
	3.698	14.14
	3.734	13.86
	3.772	13.71
	3.809	13.63
	3.848	13.34
	3.886	13.5
	3.926	13.31
	3.966	13.09
	4.007	13.21
	4.048	12.92
	4.09	12.89
	4.132	12.88
	4.176	12.48
	4.22	12.44
	4.264	12.54
	4.31	12.34
	4.356	12.31
	4.402	12.25
	4.45	12.19
	4.498	12.15
	4.547	11.95
	4.597	12.0
	4.648	11.99
	4.7	11.89
	4.752	11.9
	4.806	11.79
	4.86	11.74
