	e_energy	sigma
	16.0	1.299562030234692e-21
	16.5	1.3380355285297984e-21
	17.0	1.37434501455911e-21
	17.5	1.4086203259803895e-21
	18.0	1.4409818568930669e-21
	18.5	1.4715413815385477e-21
	19.0	1.5004027939290197e-21
	19.5	1.5276627732213257e-21
	20.0	1.5534113833652518e-21
	20.5	1.5777326144551027e-21
	21.0	1.6007048722700953e-21
	21.5	1.62240142167839e-21
	22.0	1.6428907888810406e-21
	22.5	1.6622371268688486e-21
	23.0	1.6805005479428326e-21
	23.5	1.697737426695815e-21
	24.0	1.714000676458578e-21
	24.5	1.7293400018705885e-21
	25.0	1.7438021299354044e-21
	30.0	1.8487047054426583e-21
	35.0	1.9015278175748455e-21
	40.0	1.921539160927369e-21
	45.0	1.9204253759207623e-21
	50.0	1.9055534366246487e-21
	55.0	1.881708307140613e-21
	60.0	1.8520711417738143e-21
	65.0	1.8187951607046155e-21
	70.0	1.7833574676794258e-21
	75.0	1.7467807735028813e-21
	80.0	1.7097768694147455e-21
	85.0	1.6728415895786556e-21
	90.0	1.6363189029221033e-21
	95.0	1.6004449070760304e-21
	100.0	1.5653784734115736e-21
	110.0	1.4980411743497888e-21
	120.0	1.4347145599125758e-21
	140.0	1.3201270538821215e-21
	160.0	1.2203853050054268e-21
	180.0	1.1334719406605626e-21
	200.0	1.0574048797312585e-21
	225.0	9.749713454359831e-22
	250.0	9.040558354920402e-22
	275.0	8.425036687405552e-22
	300.0	7.886335466670232e-22
	350.0	6.989411637223179e-22
	400.0	6.273650761953552e-22
	450.0	5.689770195576078e-22
	500.0	5.204678329471495e-22
	550.0	4.795410278950651e-22
	600.0	4.445562868515959e-22
	650.0	4.143122598417382e-22
	700.0	3.8790968591881596e-22
	750.0	3.6466245098931864e-22
	800.0	3.440381869182731e-22
	850.0	3.2561761651999856e-22
	900.0	3.09066112718105e-22
	950.0	2.941134079340023e-22
	1000.0	2.805388601094266e-22
