id	name	long_name	2sigma_u	1pi_u	3sigma_g	1pi_g	3sigma_u	3ssigma_g
0	N2	N${}_2$						
1	N2(X1Sigmag+)	N${}_2$ (X ${}^1\\Sigma_g^+$)	2	4	2	0	0	0
2	N2(A3Sigmau+)	N${}_2$ (A ${}^3\\Sigma_u^+$)	2	3	2	1	0	0
3	N2(B3Pig)	N${}_2$ (B ${}^3\\Pi_g$)	2	4	1	1	0	0
4	N2(W3Deltau)	N${}_2$ (W ${}^3\\Delta_u$)	2	3	2	1	0	0
5	N2(Bp3Sigmau-)	N${}_2$ (B${}^{'} $ ${}^3\\Sigma_u^-$)	2	3	2	1	0	0
6	N2(ap1Sigmau-)	N${}_2$ (a${}^{'}$ ${}^1\\Sigma_u^-$)	2	3	2	1	0	0
7	N2(a1Pig)	N${}_2$ (a ${}^1\\Pi_g$)	2	4	1	1	0	0
8	N2(w1Deltau)	N${}_2$ (w ${}^1\\Delta_u$)	2	3	2	1	0	0
9	N2(C3Piu)	N${}_2$ (C ${}^3\\Pi_u$)	1	4	2	1	0	0
10	N2(E3Sigmag+)	N${}_2$ (E ${}^3\\Sigma_g^+$)	2	4	1	0	0	1
11	N2(app1Sigmag+)	N${}_2$ (a${}^{''}$ ${}^1\\Sigma_g^+$)						
12	N2(c4p1Sigmau+)	N${}_2$ (c${}_4^{'}$ ${}^1\\Sigma_u^+$)						
